date,hit_count,text_count
2004-11-10,1,1
2005-01-05,1,1
2005-06-25,2,2
2005-07-14,1,1
2005-10-27,1,1
2005-12-01,1,1
2006-07-19,1,1
2006-09-15,1,1
2006-11-09,1,1
2007-01-16,1,1
2007-02-15,1,1
2007-02-20,1,1
2007-03-03,1,1
2007-04-12,1,1
2007-04-27,1,1
2007-05-04,1,1
2007-05-05,1,1
2007-05-08,1,1
2007-05-25,1,1
2007-05-29,1,1
2007-05-30,1,1
2007-06-02,1,1
2007-06-11,1,1
2007-06-21,1,1
2007-06-29,1,1
2007-08-04,1,1
2007-08-06,1,1
2007-08-14,1,1
2007-08-20,1,1
2007-08-23,1,1
2007-08-31,1,1
2007-09-13,1,1
2007-09-25,1,1
2007-09-29,1,1
2007-10-13,1,1
2007-10-24,1,1
2007-10-30,1,1
2007-11-28,1,1
2007-12-06,1,1
2007-12-13,1,1
2007-12-17,1,1
2007-12-28,1,1
2008-01-18,1,1
2008-01-22,2,2
2008-01-24,1,1
2008-02-05,1,1
2008-02-21,1,1
2008-04-01,1,1
2008-05-07,1,1
2008-05-30,1,1
2008-06-07,1,1
2008-06-17,1,1
2008-07-09,3,3
2008-07-10,1,1
2008-10-21,1,1
2008-10-25,1,1
2008-10-30,1,1
2008-11-19,1,1
2008-11-28,3,3
2008-11-29,1,1
2008-12-05,1,1
2008-12-13,1,1
2008-12-17,1,1
2009-01-23,1,1
2009-02-13,1,1
2009-02-14,1,1
2009-04-11,1,1
2009-05-25,1,1
2009-08-28,1,1
2009-09-02,1,1
2009-09-26,1,1
2009-10-30,2,2
2009-11-02,1,1
2009-12-08,1,1
2009-12-12,1,1
2009-12-19,1,1
2009-12-31,1,1
2010-01-09,1,1
2010-01-18,1,1
2010-01-22,1,1
2010-02-20,1,1
2010-03-17,1,1
2010-03-22,1,1
2010-03-27,1,1
2010-04-22,1,1
2010-05-18,1,1
2010-06-26,1,1
2010-10-27,1,1
2010-12-16,1,1
2010-12-22,1,1
2011-01-03,1,1
2011-01-14,1,1
2011-01-25,1,1
2011-03-24,1,1
2011-04-08,1,1
2011-06-18,1,1
2011-09-12,1,1
2011-09-15,1,1
2011-09-22,1,1
2011-12-13,1,1
2012-02-10,1,1
2012-03-02,1,1
2012-05-05,1,1
2012-07-06,1,1
2012-07-10,1,1
2012-07-17,1,1
2012-08-27,1,1
2012-09-15,1,1
2012-09-18,1,1
2012-09-29,1,1
2012-12-07,1,1
2012-12-15,1,1
2013-01-04,1,1
2013-03-02,1,1
2013-08-08,1,1
2013-09-28,1,1
2013-11-12,1,1
2014-03-06,1,1
2014-05-03,1,1
2014-06-18,1,1
2014-09-23,1,1
2014-09-24,1,1
2014-12-04,1,1
2015-04-21,1,1
2015-05-20,1,1
2015-07-22,1,1
2015-10-21,1,1
2015-11-25,1,1
2015-12-01,1,1
2015-12-04,1,1
2016-01-07,1,1
2016-01-30,1,1
2016-04-15,1,1
2016-05-13,1,1
2016-06-03,1,1
2016-06-18,1,1
2016-07-09,1,1
2016-07-19,1,1
2016-09-05,1,1
2016-09-24,1,1
2016-10-17,1,1
2016-11-02,2,2
2016-11-08,1,1
2016-11-10,1,1
2016-11-12,1,1
2016-11-14,1,1
2016-11-16,1,1
2016-11-25,1,1
2016-12-01,1,1
2016-12-12,1,1
2016-12-14,1,1
2016-12-29,1,1
2017-03-21,1,1
2017-03-22,1,1
2017-03-29,1,1
2017-03-31,1,1
2017-04-01,1,1
2017-04-08,1,1
2017-05-11,1,1
2017-05-12,2,2
2017-05-17,1,1
2017-06-02,1,1
2017-06-03,1,1
2017-06-07,1,1
2017-06-26,1,1
2017-06-30,1,1
2017-08-10,1,1
2017-08-24,1,1
2017-09-06,1,1
2017-09-07,1,1
2017-10-06,1,1
2017-10-19,2,2
2017-10-27,1,1
2017-10-28,1,1
2017-11-03,1,1
2017-11-04,1,1
2017-11-06,2,2
2017-11-07,1,1
2017-11-08,1,1
2017-11-14,2,2
2017-11-16,2,2
2017-11-17,2,2
2017-11-18,2,2
2017-11-20,1,1
2017-11-27,1,1
2017-11-29,1,1
2017-12-09,1,1
2017-12-19,1,1
2018-01-09,1,1
2018-01-10,1,1
2018-01-12,1,1
2018-01-13,1,1
2018-01-15,1,1
2018-01-16,1,1
2018-01-26,1,1
2018-01-27,1,1
2018-01-31,1,1
2018-03-17,1,1
2018-03-28,2,2
2018-04-04,1,1
2018-04-27,1,1
2018-06-06,1,1
2018-06-07,1,1
2018-06-19,2,2
2018-06-20,1,1
2018-06-25,1,1
2018-07-25,1,1
2018-08-07,2,2
2018-08-15,1,1
2018-08-22,1,1
2018-08-29,1,1
2018-09-19,2,2
2018-10-02,1,1
2018-10-06,1,1
2018-10-08,2,2
2018-10-09,1,1
2018-10-16,1,1
2018-10-30,1,1
2018-11-15,1,1
2018-11-20,1,1
2018-11-29,1,1
2018-12-01,1,1
2018-12-04,1,1
2018-12-06,1,1
2018-12-08,1,1
2018-12-10,1,1
2018-12-11,1,1
2018-12-13,1,1
2018-12-17,3,3
2019-01-05,1,1
2019-01-15,1,1
2019-01-19,1,1
2019-01-24,1,1
2019-01-25,2,2
2019-01-26,1,1
2019-01-28,1,1
2019-01-29,3,3
2019-01-31,1,1
2019-02-06,1,1
2019-02-14,2,2
2019-02-22,1,1
2019-03-06,1,1
2019-03-15,2,2
2019-03-16,1,1
2019-03-21,1,1
2019-03-23,1,1
2019-04-03,1,1
2019-04-08,1,1
2019-04-09,1,1
2019-04-17,1,1
2019-04-29,1,1
2019-05-02,1,1
2019-05-04,2,2
2019-05-08,1,1
2019-05-11,1,1
2019-05-13,1,1
2019-05-14,1,1
2019-05-22,1,1
2019-05-25,1,1
2019-05-29,1,1
2019-05-31,2,2
2019-06-01,1,1
2019-06-03,1,1
2019-06-04,2,2
2019-06-05,1,1
2019-06-06,1,1
2019-06-08,1,1
2019-06-12,1,1
2019-06-13,1,1
2019-06-14,2,2
2019-06-17,1,1
2019-06-19,1,1
2019-06-21,1,1
2019-06-26,1,1
2019-06-27,1,1
2019-07-01,1,1
2019-07-03,1,1
2019-07-08,1,1
2019-07-09,1,1
2019-07-10,1,1
2019-07-11,1,1
2019-07-13,1,1
2019-07-16,2,2
2019-07-17,2,2
2019-07-18,2,2
2019-07-20,1,1
2019-07-27,1,1
2019-07-30,1,1
2019-07-31,1,1
2019-08-05,2,2
2019-08-07,1,1
2019-08-10,1,1
2019-08-12,1,1
2019-08-14,2,2
2019-08-16,1,1
2019-08-17,1,1
2019-08-19,1,1
2019-08-21,1,1
2019-08-22,2,2
2019-08-30,2,2
2019-08-31,1,1
2019-09-02,1,1
2019-09-03,2,2
2019-09-06,1,1
2019-09-11,2,2
2019-09-12,3,3
2019-09-13,2,2
2019-09-14,2,2
2019-09-16,3,3
2019-09-17,1,1
2019-09-18,1,1
2019-09-20,2,2
2019-09-21,5,5
2019-09-23,1,1
2019-09-24,5,5
2019-09-27,1,1
2019-09-28,1,1
2019-09-30,1,1
2019-10-02,1,1
2019-10-05,2,2
2019-10-08,3,3
2019-10-09,2,2
2019-10-10,1,1
2019-10-12,2,2
2019-10-16,1,1
2019-10-17,1,1
2019-10-22,2,2
2019-10-23,1,1
2019-10-24,1,1
2019-10-25,1,1
2019-10-26,1,1
2019-11-01,2,2
2019-11-02,1,1
2019-11-06,1,1
2019-11-08,1,1
2019-11-09,1,1
2019-11-11,1,1
2019-11-15,1,1
2019-11-16,2,2
2019-11-20,1,1
2019-11-23,1,1
2019-11-27,1,1
2019-11-28,3,3
2019-11-29,2,2
2019-12-03,3,3
2019-12-04,2,2
2019-12-06,1,1
2019-12-09,1,1
2019-12-10,1,1
2019-12-11,1,1
2019-12-12,2,2
2019-12-13,1,1
2019-12-14,2,2
2019-12-16,1,1
2019-12-20,1,1
2019-12-21,1,1
2019-12-23,1,1
2019-12-30,1,1
2019-12-31,1,1
2020-01-03,1,1
2020-01-11,3,3
2020-01-13,1,1
2020-01-14,1,1
2020-01-15,3,3
2020-01-16,1,1
2020-01-17,1,1
2020-01-18,1,1
2020-01-21,1,1
2020-01-23,1,1
2020-01-24,1,1
2020-01-25,2,2
2020-01-27,2,2
2020-01-29,1,1
2020-01-30,1,1
2020-02-01,2,2
2020-02-03,1,1
2020-02-04,3,3
2020-02-06,1,1
2020-02-08,1,1
2020-02-17,1,1
2020-02-18,1,1
2020-02-21,1,1
2020-02-22,2,2
2020-02-29,1,1
2020-03-04,1,1
2020-03-05,1,1
2020-03-06,2,2
2020-03-07,1,1
2020-03-10,1,1
2020-03-12,1,1
2020-03-16,1,1
2020-03-17,1,1
2020-03-19,1,1
2020-04-16,1,1
2020-04-25,2,2
2020-04-27,2,2
2020-04-29,1,1
2020-05-02,1,1
2020-05-11,1,1
2020-05-13,1,1
2020-05-15,1,1
2020-05-23,2,2
2020-05-26,1,1
2020-05-27,2,2
2020-05-28,1,1
2020-06-12,1,1
2020-06-17,2,2
2020-06-18,1,1
2020-06-19,1,1
2020-06-20,1,1
2020-06-22,1,1
2020-07-01,2,2
2020-07-02,1,1
2020-07-03,1,1
2020-07-04,2,2
2020-07-06,1,1
2020-07-08,1,1
2020-07-10,1,1
2020-07-11,1,1
2020-07-13,1,1
2020-07-22,1,1
2020-07-23,2,2
2020-07-27,1,1
2020-07-31,1,1
2020-08-07,1,1
2020-08-12,1,1
2020-08-14,1,1
2020-08-21,1,1
2020-08-26,2,2
2020-08-28,1,1
2020-08-29,1,1
2020-09-08,3,3
2020-09-10,1,1
2020-09-11,1,1
2020-09-12,2,2
2020-09-15,3,3
2020-09-16,1,1
2020-09-17,1,1
2020-09-19,1,1
2020-09-22,1,1
2020-09-24,2,2
2020-09-26,2,2
2020-10-01,1,1
2020-10-05,2,2
2020-10-06,1,1
2020-10-09,2,2
2020-10-13,1,1
2020-10-16,1,1
2020-10-21,1,1
2020-10-23,1,1
2020-10-24,1,1
2020-10-26,1,1
2020-10-27,1,1
2020-10-30,1,1
2020-10-31,1,1
2020-11-03,1,1
2020-11-05,1,1
2020-11-06,1,1
2020-11-11,1,1
2020-11-12,2,2
2020-11-13,1,1
2020-11-14,1,1
2020-11-16,1,1
2020-11-20,1,1
2020-11-21,1,1
2020-11-25,2,2
2020-11-27,1,1
