date,hit_count,text_count
1999-03-29,1,1
1999-08-23,1,1
1999-09-28,1,1
1999-10-21,1,1
1999-10-26,1,1
1999-11-25,1,1
1999-12-20,1,1
1999-12-28,1,1
2000-04-13,1,1
2000-06-17,1,1
2000-09-14,1,1
2000-09-15,1,1
2000-09-16,1,1
2000-09-28,1,1
2000-10-23,1,1
2000-10-31,1,1
2000-11-14,1,1
2000-11-25,1,1
2000-12-07,1,1
2001-01-31,1,1
2001-02-12,1,1
2001-02-17,1,1
2001-03-12,1,1
2001-03-27,1,1
2001-04-02,1,1
2001-04-07,1,1
2001-04-14,2,2
2001-04-17,1,1
2001-04-21,1,1
2001-05-09,1,1
2001-05-22,1,1
2001-05-28,1,1
2001-06-05,1,1
2001-06-18,1,1
2001-06-25,1,1
2001-06-26,1,1
2001-07-17,2,2
2001-07-19,2,2
2001-07-20,1,1
2001-07-23,2,2
2001-07-24,1,1
2001-07-31,1,1
2001-09-05,1,1
2001-09-07,1,1
2001-10-02,1,1
2001-10-06,1,1
2001-10-09,1,1
2001-11-06,1,1
2001-11-12,1,1
2001-12-29,1,1
2002-01-29,1,1
2002-03-22,1,1
2002-05-17,1,1
2002-05-22,1,1
2002-07-06,1,1
2002-07-09,1,1
2002-07-16,1,1
2002-08-17,1,1
2002-08-24,1,1
2002-08-30,1,1
2002-09-02,1,1
2002-09-05,1,1
2002-09-25,1,1
2002-10-14,1,1
2002-10-23,1,1
2002-11-29,1,1
2003-04-01,1,1
2003-04-08,1,1
2003-05-26,1,1
2003-05-27,2,2
2003-06-03,1,1
2003-06-24,1,1
2003-09-22,1,1
2003-11-06,1,1
2004-01-13,1,1
2004-01-15,2,2
2004-02-09,1,1
2004-03-31,1,1
2004-05-10,1,1
2004-05-21,1,1
2004-06-15,1,1
2004-10-14,1,1
2004-12-17,1,1
2005-02-21,1,1
2005-03-10,1,1
2005-03-11,1,1
2005-05-06,1,1
2005-05-18,1,1
2005-05-30,1,1
2005-06-14,1,1
2005-06-22,1,1
2005-07-04,1,1
2005-07-06,1,1
2005-07-07,1,1
2005-08-05,1,1
2005-08-24,1,1
2005-08-26,1,1
2005-08-30,1,1
2005-09-03,1,1
2005-09-17,1,1
2005-09-29,1,1
2005-11-02,1,1
2005-12-02,1,1
2005-12-09,1,1
2005-12-10,1,1
2005-12-12,1,1
2005-12-30,1,1
2006-01-03,1,1
2006-03-31,1,1
2006-04-05,1,1
2006-04-12,1,1
2006-04-18,1,1
2006-05-15,1,1
2006-05-16,1,1
2006-05-17,1,1
2006-06-02,1,1
2006-06-09,1,1
2006-07-18,1,1
2006-07-19,1,1
2006-07-22,1,1
2006-08-04,1,1
2006-08-09,1,1
2006-08-14,1,1
2006-09-05,1,1
2006-10-18,1,1
2006-10-21,1,1
2006-10-27,1,1
2006-11-03,1,1
2006-11-21,1,1
2006-11-28,1,1
2006-12-06,1,1
2006-12-27,1,1
2006-12-28,1,1
2006-12-30,1,1
2007-01-02,1,1
2007-01-19,1,1
2007-01-22,1,1
2007-01-24,1,1
2007-01-25,1,1
2007-01-26,1,1
2007-01-30,1,1
2007-02-01,1,1
2007-02-02,1,1
2007-02-07,2,2
2007-02-08,1,1
2007-02-09,2,2
2007-02-12,1,1
2007-02-16,2,2
2007-02-23,1,1
2007-02-28,2,2
2007-03-03,1,1
2007-03-05,2,2
2007-03-07,1,1
2007-03-09,1,1
2007-03-12,2,2
2007-03-16,1,1
2007-03-17,1,1
2007-03-20,1,1
2007-03-21,1,1
2007-03-23,1,1
2007-03-26,2,2
2007-04-04,1,1
2007-04-05,1,1
2007-04-07,1,1
2007-04-13,2,2
2007-04-17,1,1
2007-04-18,1,1
2007-04-25,1,1
2007-04-26,1,1
2007-04-27,1,1
2007-04-30,1,1
2007-05-02,1,1
2007-05-04,1,1
2007-05-05,1,1
2007-05-07,1,1
2007-05-08,1,1
2007-05-09,1,1
2007-05-10,1,1
2007-05-11,1,1
2007-05-12,1,1
2007-05-14,2,2
2007-05-15,1,1
2007-05-18,1,1
2007-05-22,1,1
2007-05-23,1,1
2007-05-25,2,2
2007-05-26,1,1
2007-05-29,2,2
2007-05-30,3,3
2007-06-01,2,2
2007-06-04,2,2
2007-06-06,4,4
2007-06-07,3,3
2007-06-08,3,3
2007-06-09,2,2
2007-06-11,2,2
2007-06-15,1,1
2007-06-16,1,1
2007-06-18,1,1
2007-06-22,2,2
2007-06-28,1,1
2007-06-30,1,1
2007-07-05,1,1
2007-07-07,1,1
2007-07-11,1,1
2007-07-14,1,1
2007-07-17,1,1
2007-07-19,1,1
2007-07-21,1,1
2007-07-27,1,1
2007-07-28,1,1
2007-08-04,1,1
2007-08-11,1,1
2007-08-17,1,1
2007-08-18,2,2
2007-08-20,1,1
2007-08-28,1,1
2007-09-03,1,1
2007-09-04,1,1
2007-09-05,1,1
2007-09-12,2,2
2007-09-14,1,1
2007-09-19,1,1
2007-09-24,1,1
2007-09-25,1,1
2007-09-26,2,2
2007-09-28,1,1
2007-09-29,1,1
2007-10-08,1,1
2007-10-13,1,1
2007-10-24,2,2
2007-10-25,1,1
2007-11-03,1,1
2007-11-09,2,2
2007-11-10,1,1
2007-11-12,2,2
2007-11-14,1,1
2007-11-15,2,2
2007-11-17,2,2
2007-11-19,1,1
2007-11-21,1,1
2007-11-26,1,1
2007-11-27,2,2
2007-11-29,1,1
2007-12-03,2,2
2007-12-04,3,3
2007-12-06,3,3
2007-12-07,1,1
2007-12-08,2,2
2007-12-13,1,1
2007-12-14,2,2
2007-12-17,1,1
2007-12-18,1,1
2007-12-20,1,1
2007-12-21,3,3
2007-12-22,1,1
2007-12-24,2,2
2007-12-27,1,1
2007-12-29,1,1
2008-01-03,1,1
2008-01-10,1,1
2008-01-16,3,3
2008-01-17,1,1
2008-01-19,2,2
2008-01-21,1,1
2008-01-28,1,1
2008-02-01,1,1
2008-02-08,2,2
2008-02-11,2,2
2008-02-14,1,1
2008-02-22,1,1
2008-02-23,2,2
2008-02-26,1,1
2008-02-27,4,4
2008-03-01,1,1
2008-03-05,1,1
2008-03-06,1,1
2008-03-10,1,1
2008-03-12,2,2
2008-03-17,1,1
2008-03-25,1,1
2008-04-04,1,1
2008-04-05,2,2
2008-04-11,1,1
2008-04-16,1,1
2008-04-18,1,1
2008-04-19,1,1
2008-04-22,1,1
2008-04-24,1,1
2008-04-25,2,2
2008-04-28,1,1
2008-04-30,1,1
2008-05-02,1,1
2008-05-05,1,1
2008-05-06,1,1
2008-05-08,1,1
2008-05-14,1,1
2008-05-16,1,1
2008-05-19,2,2
2008-05-20,1,1
2008-05-21,2,2
2008-05-23,1,1
2008-05-26,2,2
2008-05-28,2,2
2008-05-30,1,1
2008-06-02,1,1
2008-06-09,1,1
2008-06-16,1,1
2008-06-18,3,3
2008-06-20,2,2
2008-06-21,1,1
2008-07-01,1,1
2008-07-03,1,1
2008-07-05,1,1
2008-07-09,1,1
2008-07-18,1,1
2008-07-19,1,1
2008-07-22,1,1
2008-07-23,2,2
2008-07-26,1,1
2008-07-28,1,1
2008-07-30,1,1
2008-08-05,1,1
2008-08-06,1,1
2008-08-08,1,1
2008-08-09,3,3
2008-08-13,1,1
2008-08-14,2,2
2008-08-16,1,1
2008-08-18,1,1
2008-08-19,1,1
2008-08-20,2,2
2008-08-22,2,2
2008-08-23,1,1
2008-08-26,1,1
2008-08-29,1,1
2008-09-03,2,2
2008-09-05,1,1
2008-09-06,1,1
2008-09-16,1,1
2008-09-17,1,1
2008-09-18,1,1
2008-09-20,1,1
2008-09-23,1,1
2008-09-26,1,1
2008-09-27,2,2
2008-09-29,1,1
2008-10-01,1,1
2008-10-02,1,1
2008-10-04,1,1
2008-10-08,2,2
2008-10-11,2,2
2008-10-18,1,1
2008-10-28,1,1
