date,hit_count,text_count
1999-11-04,1,1
2000-01-08,1,1
2000-04-13,1,1
2000-04-27,1,1
2000-05-12,1,1
2000-11-14,1,1
2001-07-23,1,1
2001-10-09,1,1
2001-10-30,1,1
2002-08-13,1,1
2002-08-23,1,1
2002-09-03,1,1
2002-09-05,2,2
2003-01-14,1,1
2004-02-18,1,1
2004-03-29,1,1
2004-06-01,1,1
2004-06-04,1,1
2004-09-09,1,1
2005-03-23,1,1
2005-05-27,1,1
2005-06-08,1,1
2005-06-22,1,1
2005-06-30,2,2
2005-08-22,1,1
2005-10-27,1,1
2006-03-27,1,1
2006-06-09,1,1
2006-07-26,1,1
2006-08-09,1,1
2006-10-21,1,1
2006-11-18,1,1
2006-12-29,1,1
2007-01-11,1,1
2007-01-15,1,1
2007-01-23,1,1
2007-01-29,2,2
2007-01-30,2,2
2007-02-01,1,1
2007-02-05,1,1
2007-02-06,2,2
2007-02-08,1,1
2007-02-12,3,3
2007-02-19,3,3
2007-02-21,1,1
2007-02-23,1,1
2007-02-28,1,1
2007-03-02,3,3
2007-03-06,1,1
2007-03-09,1,1
2007-03-10,1,1
2007-03-12,1,1
2007-03-13,2,2
2007-03-15,2,2
2007-03-16,2,2
2007-03-20,1,1
2007-03-22,1,1
2007-04-10,1,1
2007-04-18,2,2
2007-04-25,2,2
2007-04-26,1,1
2007-04-27,1,1
2007-05-02,1,1
2007-05-04,1,1
2007-05-05,3,3
2007-05-09,1,1
2007-05-12,1,1
2007-05-14,1,1
2007-05-18,1,1
2007-05-19,1,1
2007-05-26,1,1
2007-06-08,1,1
2007-06-12,1,1
2007-06-16,1,1
2007-07-03,2,2
2007-07-07,1,1
2007-07-30,2,2
2007-08-06,1,1
2007-08-22,1,1
2007-08-24,1,1
2007-09-10,1,1
2007-09-12,1,1
2007-09-13,1,1
2007-09-25,1,1
2007-10-09,1,1
2007-10-19,1,1
2007-10-26,1,1
2007-10-27,1,1
2007-10-29,1,1
2007-10-31,1,1
2007-11-05,1,1
2007-11-10,1,1
2007-11-12,1,1
2007-11-14,1,1
2007-11-26,1,1
2007-11-27,3,3
2007-12-03,1,1
2007-12-05,1,1
2007-12-08,1,1
2008-01-12,1,1
2008-01-24,2,2
2008-01-25,1,1
2008-01-31,1,1
2008-02-01,1,1
2008-02-27,1,1
2008-03-08,1,1
2008-03-12,2,2
2008-03-14,2,2
2008-03-18,1,1
2008-03-27,1,1
2008-04-08,1,1
2008-04-19,2,2
2008-04-26,1,1
2008-04-28,1,1
2008-05-17,1,1
2008-05-21,1,1
2008-05-30,1,1
2008-06-19,1,1
2008-06-23,1,1
2008-06-24,1,1
2008-07-07,1,1
2008-07-10,1,1
2008-07-18,2,2
2008-07-23,1,1
2008-08-06,1,1
2008-08-09,1,1
2008-08-20,1,1
2008-09-15,1,1
2008-10-13,1,1
2008-10-16,1,1
2008-10-29,1,1
2008-11-13,1,1
2008-11-15,1,1
2008-11-21,1,1
2008-11-22,1,1
2008-12-02,1,1
2008-12-08,1,1
2008-12-10,1,1
2008-12-18,1,1
2008-12-31,1,1
2009-01-23,1,1
2009-02-17,1,1
2009-02-25,1,1
2009-03-20,1,1
2009-03-25,1,1
2009-03-27,1,1
2009-04-04,1,1
2009-05-11,1,1
2009-05-13,1,1
2009-05-23,1,1
2009-05-30,1,1
2009-06-17,1,1
2009-06-29,1,1
2009-07-03,1,1
