date,hit_count,text_count
1994-03-17,1,1
1995-03-23,1,1
2000-09-27,1,1
2000-11-29,1,1
2001-04-04,1,1
2002-07-24,1,1
2005-11-16,1,1
2006-08-16,1,1
2006-11-29,2,2
2007-01-10,1,1
2007-02-07,1,1
2007-05-09,1,1
2007-05-16,1,1
2007-05-30,1,1
2007-06-06,1,1
2007-06-13,1,1
2007-07-04,5,5
2007-09-05,2,2
2007-10-10,1,1
2007-12-12,1,1
2007-12-19,1,1
2008-01-09,1,1
2008-04-30,1,1
2008-06-04,1,1
2008-06-18,2,2
2008-07-02,3,3
2008-08-06,1,1
2008-10-22,1,1
2008-11-26,1,1
2009-02-04,1,1
2009-03-25,1,1
2009-07-01,1,1
2009-08-26,1,1
2009-09-30,1,1
2009-10-07,1,1
2009-11-04,2,2
2009-11-18,1,1
2009-11-25,2,2
2010-02-03,1,1
2010-03-03,1,1
2010-03-24,1,1
2010-03-31,1,1
2010-06-23,1,1
2010-09-01,2,2
2010-10-13,2,2
2010-12-08,1,1
2011-03-24,1,1
2011-04-28,1,1
2011-09-08,1,1
2012-04-19,2,2
2012-06-06,1,1
2013-10-10,1,1
2013-10-24,2,2
2013-12-05,1,1
2014-01-16,2,2
2014-08-28,1,1
2014-09-18,1,1
2015-06-04,1,1
2015-11-12,1,1
2015-12-10,2,2
2016-06-30,1,1
2016-07-07,1,1
2016-10-27,1,1
2017-03-30,1,1
2017-09-14,1,1
2017-11-23,1,1
2019-03-07,1,1
2019-09-12,1,1
2019-10-24,1,1
2019-11-07,1,1
2019-12-12,1,1
2020-01-09,1,1
2020-01-30,1,1
2020-06-04,1,1
2020-09-17,1,1
2020-10-22,2,2
2020-11-05,1,1
2021-02-11,1,1
2021-03-25,1,1
2021-05-27,1,1
2021-06-03,2,2
2021-06-24,2,2
2021-08-12,4,4
2021-09-02,2,2
2021-09-30,1,1
2021-10-28,1,1
2021-12-02,1,1
2021-12-09,1,1
2022-02-24,1,1
2022-04-14,1,1
2022-04-21,1,1
2022-05-25,2,2
2022-06-16,1,1
2022-08-11,2,2
2022-10-06,1,1
2022-11-17,1,1
