date,hit_count,text_count
2014-10-29,2,2
2014-10-30,1,1
2014-11-13,1,1
2014-12-04,2,2
2014-12-13,1,1
2014-12-15,1,1
2014-12-16,1,1
2014-12-30,1,1
2015-01-23,1,1
2015-01-29,1,1
2015-02-21,1,1
2015-03-10,1,1
2015-05-20,1,1
2015-05-27,1,1
2015-05-29,1,1
2015-06-06,1,1
2015-06-09,2,2
2015-06-10,1,1
2015-06-11,2,2
2015-06-18,1,1
2015-06-25,1,1
2015-06-27,1,1
2015-06-30,1,1
2015-07-01,2,2
2015-07-02,1,1
2015-07-17,2,2
2015-07-20,1,1
2015-07-31,1,1
2015-08-05,1,1
2015-08-06,1,1
2015-08-07,2,2
2015-08-08,1,1
2015-08-18,1,1
2015-08-20,1,1
2015-09-05,1,1
2015-10-01,1,1
2015-10-27,1,1
2015-11-03,1,1
2015-11-21,1,1
2015-11-24,1,1
2015-11-25,2,2
2015-11-28,1,1
2015-12-03,2,2
2015-12-05,1,1
2015-12-07,1,1
2015-12-10,1,1
2015-12-12,1,1
2015-12-14,3,3
2015-12-17,1,1
2015-12-22,1,1
2016-02-26,1,1
2016-03-30,1,1
2016-03-31,1,1
2016-04-19,1,1
2016-04-22,1,1
2016-06-01,1,1
2016-06-10,1,1
2016-06-21,1,1
2016-07-11,1,1
2016-07-21,1,1
2016-08-09,2,2
2016-08-17,3,3
2016-08-22,1,1
2016-08-24,1,1
2016-09-03,1,1
2016-09-05,1,1
2016-09-14,1,1
2016-09-27,1,1
2016-10-01,1,1
2016-10-21,1,1
2016-11-03,2,2
2016-11-09,1,1
2016-11-18,1,1
2016-11-19,1,1
2016-11-26,1,1
2016-12-06,1,1
2016-12-12,1,1
2016-12-28,1,1
2017-01-09,1,1
2017-01-13,2,2
2017-01-14,1,1
2017-01-19,1,1
2017-01-25,1,1
2017-02-14,1,1
2017-02-22,2,2
2017-03-10,1,1
2017-03-20,1,1
2017-04-13,1,1
2017-04-22,1,1
2017-04-24,2,2
2017-04-27,1,1
2017-05-03,1,1
2017-05-05,1,1
2017-05-12,1,1
2017-05-13,1,1
2017-05-17,1,1
2017-05-27,2,2
2017-05-29,1,1
2017-06-03,2,2
2017-06-12,1,1
2017-06-19,1,1
2017-06-24,1,1
2017-06-27,1,1
2017-07-03,1,1
2017-07-05,1,1
2017-07-07,2,2
2017-07-08,1,1
2017-07-10,1,1
2017-07-19,1,1
2017-07-20,1,1
2017-08-04,2,2
2017-08-07,1,1
2017-08-12,1,1
2017-08-18,1,1
2017-08-28,1,1
2017-09-06,1,1
2017-09-07,1,1
2017-09-08,1,1
2017-09-13,1,1
2017-09-18,1,1
2017-10-05,1,1
2017-10-12,1,1
2017-10-14,1,1
2017-10-21,1,1
2017-10-25,1,1
2017-10-26,1,1
2017-10-27,4,4
2017-11-04,1,1
2017-11-06,1,1
2017-11-08,1,1
2017-11-09,1,1
2017-11-11,1,1
2017-11-13,2,2
2017-11-15,2,2
2017-11-16,4,4
2017-11-17,1,1
2017-11-18,1,1
2017-11-27,2,2
2017-12-02,1,1
2017-12-13,1,1
2017-12-15,2,2
2017-12-20,1,1
2018-01-09,1,1
2018-01-15,1,1
2018-01-29,1,1
2018-02-05,1,1
2018-02-16,1,1
2018-02-24,1,1
2018-03-07,1,1
2018-03-22,1,1
2018-03-29,1,1
2018-04-05,2,2
2018-04-07,1,1
2018-04-13,2,2
2018-04-25,1,1
2018-04-26,1,1
2018-05-02,1,1
2018-05-03,1,1
2018-05-05,1,1
2018-05-08,1,1
2018-05-25,1,1
2018-05-28,1,1
2018-05-30,1,1
2018-06-09,1,1
2018-06-19,1,1
2018-06-26,1,1
2018-06-27,1,1
2018-07-02,1,1
2018-07-25,1,1
2018-07-30,1,1
2018-08-01,2,2
2018-08-02,1,1
2018-08-06,1,1
2018-08-08,1,1
2018-08-09,1,1
2018-08-11,1,1
2018-08-29,1,1
2018-09-05,1,1
2018-09-17,1,1
2018-09-25,2,2
2018-09-27,1,1
2018-10-06,1,1
2018-10-08,1,1
2018-10-09,1,1
2018-10-11,1,1
2018-10-17,1,1
2018-10-19,1,1
2018-11-06,1,1
2018-11-15,1,1
2018-11-27,1,1
2018-11-29,3,3
2018-12-01,1,1
2018-12-04,2,2
2018-12-05,1,1
2018-12-06,1,1
2018-12-08,1,1
2018-12-11,1,1
2018-12-12,1,1
2018-12-15,1,1
2018-12-17,3,3
2019-01-05,1,1
2019-01-07,1,1
2019-01-08,1,1
2019-01-10,1,1
2019-01-11,1,1
2019-01-19,1,1
2019-01-22,2,2
2019-01-24,1,1
2019-01-25,1,1
2019-01-26,2,2
2019-01-28,2,2
2019-02-01,1,1
2019-02-02,2,2
2019-02-07,1,1
2019-02-11,1,1
2019-02-13,1,1
2019-02-16,1,1
2019-02-18,1,1
2019-02-20,3,3
2019-02-22,1,1
2019-02-27,2,2
2019-02-28,1,1
2019-03-02,1,1
2019-03-04,3,3
2019-03-08,1,1
2019-03-12,2,2
2019-03-13,1,1
2019-03-14,1,1
2019-03-15,1,1
2019-03-18,1,1
2019-03-20,1,1
2019-03-22,1,1
2019-03-23,3,3
2019-03-26,1,1
2019-03-27,2,2
2019-03-28,1,1
2019-03-30,1,1
2019-04-01,2,2
2019-04-06,1,1
2019-04-13,1,1
2019-04-16,1,1
2019-04-25,1,1
2019-04-27,2,2
2019-04-30,1,1
2019-05-11,2,2
2019-05-15,1,1
2019-05-16,1,1
2019-05-20,2,2
2019-05-23,1,1
2019-05-24,1,1
2019-05-29,1,1
2019-05-31,1,1
2019-06-01,1,1
2019-06-06,2,2
2019-06-08,1,1
2019-06-18,1,1
2019-06-19,1,1
2019-06-21,1,1
2019-06-24,4,4
2019-06-26,2,2
2019-06-29,1,1
2019-07-01,2,2
2019-07-02,4,4
2019-07-03,1,1
2019-07-05,1,1
2019-07-09,1,1
2019-07-11,3,3
2019-07-13,3,3
2019-07-15,1,1
2019-07-16,1,1
2019-07-17,1,1
2019-07-19,2,2
2019-07-20,1,1
2019-07-22,1,1
2019-07-24,1,1
2019-07-25,2,2
2019-07-31,1,1
2019-08-01,2,2
2019-08-03,2,2
2019-08-05,3,3
2019-08-06,1,1
2019-08-07,1,1
2019-08-10,1,1
2019-08-12,1,1
2019-08-13,3,3
2019-08-14,1,1
2019-08-16,1,1
2019-08-19,1,1
2019-08-20,1,1
2019-08-21,1,1
2019-08-22,2,2
2019-08-23,1,1
2019-08-24,1,1
2019-08-29,2,2
2019-08-31,1,1
2019-09-04,1,1
2019-09-06,3,3
2019-09-09,1,1
2019-09-11,2,2
2019-09-12,3,3
2019-09-14,2,2
2019-09-16,1,1
2019-09-17,1,1
2019-09-18,2,2
2019-09-19,1,1
2019-09-20,2,2
2019-09-21,1,1
2019-09-24,1,1
2019-09-25,1,1
2019-09-26,2,2
2019-09-27,3,3
2019-09-28,2,2
2019-09-30,2,2
2019-10-01,1,1
2019-10-04,3,3
2019-10-05,3,3
2019-10-07,1,1
2019-10-08,1,1
2019-10-09,1,1
2019-10-10,3,3
2019-10-11,1,1
2019-10-15,1,1
2019-10-17,2,2
2019-10-18,2,2
2019-10-19,1,1
2019-10-26,5,5
2019-10-28,2,2
2019-10-31,1,1
2019-11-02,5,5
2019-11-06,2,2
2019-11-11,1,1
2019-11-12,3,3
2019-11-13,1,1
2019-11-14,2,2
2019-11-16,1,1
2019-11-19,1,1
2019-11-20,1,1
2019-11-22,1,1
2019-11-23,1,1
2019-11-25,1,1
2019-11-26,3,3
2019-11-27,4,4
2019-11-28,1,1
2019-11-29,1,1
2019-11-30,4,4
2019-12-03,3,3
2019-12-04,3,3
2019-12-05,2,2
2019-12-06,2,2
2019-12-07,1,1
2019-12-12,1,1
2019-12-13,3,3
2019-12-14,3,3
2019-12-16,2,2
2019-12-18,1,1
2019-12-19,2,2
2019-12-21,3,3
2019-12-23,1,1
2019-12-28,1,1
2019-12-30,1,1
2020-01-03,2,2
2020-01-04,2,2
2020-01-07,1,1
2020-01-09,1,1
2020-01-10,1,1
2020-01-13,2,2
2020-01-14,2,2
2020-01-15,4,4
2020-01-16,2,2
2020-01-17,2,2
2020-01-18,3,3
2020-01-20,1,1
2020-01-22,1,1
2020-01-23,3,3
2020-01-24,1,1
2020-01-28,1,1
2020-01-29,5,5
2020-01-30,3,3
2020-01-31,1,1
2020-02-01,1,1
2020-02-03,2,2
2020-02-05,2,2
2020-02-06,2,2
2020-02-08,1,1
2020-02-12,2,2
2020-02-13,2,2
2020-02-14,1,1
2020-02-15,2,2
2020-02-17,1,1
2020-02-18,1,1
2020-02-19,3,3
2020-02-21,2,2
2020-02-22,2,2
2020-02-24,1,1
2020-02-25,2,2
2020-02-26,1,1
2020-02-27,1,1
2020-02-29,3,3
2020-03-02,1,1
2020-03-03,1,1
2020-03-04,2,2
2020-03-05,2,2
2020-03-06,2,2
2020-03-07,3,3
2020-03-09,2,2
2020-03-10,1,1
2020-03-11,2,2
2020-03-12,2,2
2020-03-13,3,3
2020-03-14,2,2
2020-03-18,2,2
2020-03-31,1,1
2020-04-15,1,1
2020-04-16,1,1
2020-04-27,1,1
2020-04-29,1,1
2020-05-05,1,1
2020-05-14,1,1
2020-05-15,2,2
2020-05-18,1,1
2020-05-20,1,1
2020-06-03,1,1
2020-06-08,1,1
2020-06-10,1,1
2020-06-12,1,1
2020-06-15,2,2
2020-06-18,1,1
2020-06-20,1,1
2020-06-24,1,1
2020-06-27,1,1
2020-06-29,1,1
2020-06-30,1,1
2020-07-01,1,1
2020-07-02,1,1
2020-07-03,2,2
2020-07-04,3,3
2020-07-09,2,2
2020-07-14,1,1
2020-07-17,2,2
2020-07-20,1,1
2020-07-22,1,1
2020-07-23,1,1
2020-07-25,1,1
2020-07-28,1,1
2020-07-31,1,1
2020-08-04,1,1
2020-08-06,2,2
2020-08-07,1,1
2020-08-11,2,2
2020-08-17,1,1
2020-08-26,1,1
2020-08-28,1,1
2020-08-31,2,2
2020-09-03,2,2
2020-09-07,1,1
2020-09-08,1,1
2020-09-12,3,3
2020-09-16,1,1
2020-09-17,1,1
2020-09-18,1,1
2020-09-22,2,2
2020-09-24,1,1
2020-09-25,1,1
2020-09-26,4,4
2020-10-02,1,1
2020-10-05,1,1
2020-10-06,1,1
2020-10-07,1,1
2020-10-08,1,1
2020-10-10,2,2
2020-10-13,2,2
2020-10-15,1,1
2020-10-23,2,2
2020-10-24,1,1
2020-10-28,1,1
2020-10-29,2,2
2020-11-03,1,1
2020-11-05,1,1
2020-11-06,2,2
2020-11-07,1,1
2020-11-10,1,1
2020-11-13,1,1
2020-11-17,1,1
2020-11-18,1,1
2020-11-23,2,2
2020-11-24,2,2
2020-11-27,1,1
2020-11-28,4,4
2020-12-01,1,1
2020-12-02,2,2
2020-12-03,1,1
2020-12-05,2,2
2020-12-07,1,1
2020-12-08,2,2
2020-12-09,1,1
2020-12-10,1,1
2020-12-12,2,2
2020-12-14,1,1
2020-12-15,2,2
2020-12-16,2,2
2020-12-18,1,1
2020-12-21,1,1
2020-12-22,1,1
2020-12-30,1,1
2021-01-04,1,1
2021-01-13,2,2
2021-01-14,4,4
2021-01-15,1,1
2021-01-18,1,1
2021-01-25,1,1
2021-01-27,1,1
2021-01-28,1,1
2021-02-03,2,2
2021-02-04,1,1
2021-02-08,2,2
2021-02-10,1,1
2021-02-12,1,1
2021-02-17,1,1
2021-02-20,1,1
2021-02-24,1,1
2021-02-25,1,1
2021-03-01,1,1
2021-03-03,1,1
2021-03-06,1,1
2021-03-16,1,1
2021-03-17,3,3
2021-03-18,1,1
2021-03-20,1,1
2021-03-24,3,3
2021-03-25,1,1
2021-03-26,2,2
2021-04-03,1,1
2021-04-06,2,2
2021-04-07,2,2
2021-04-10,1,1
2021-04-14,1,1
2021-04-17,2,2
2021-04-21,2,2
2021-04-23,1,1
2021-04-24,3,3
2021-04-30,3,3
2021-05-03,4,4
2021-05-04,1,1
2021-05-05,1,1
2021-05-06,5,5
2021-05-07,2,2
2021-05-08,2,2
2021-05-10,2,2
2021-05-11,1,1
2021-05-14,4,4
2021-05-15,1,1
2021-05-17,2,2
2021-05-19,3,3
2021-05-20,2,2
2021-05-21,1,1
2021-05-22,2,2
2021-05-25,1,1
2021-05-27,2,2
2021-05-28,1,1
2021-05-29,1,1
2021-06-01,1,1
2021-06-02,1,1
2021-06-05,1,1
2021-06-09,1,1
2021-06-10,1,1
2021-06-14,1,1
2021-06-15,2,2
2021-06-16,2,2
2021-06-17,2,2
2021-06-18,2,2
2021-06-19,1,1
2021-06-21,1,1
2021-06-22,2,2
2021-06-23,6,6
2021-06-25,4,4
2021-06-28,1,1
2021-06-30,1,1
2021-07-02,4,4
2021-07-03,2,2
2021-07-07,4,4
2021-07-08,1,1
2021-07-10,5,5
2021-07-12,3,3
2021-07-13,3,3
2021-07-14,5,5
2021-07-15,2,2
2021-07-16,3,3
2021-07-17,2,2
2021-07-19,1,1
2021-07-20,1,1
2021-07-21,3,3
2021-07-22,5,5
2021-07-23,2,2
2021-07-24,3,3
2021-07-28,1,1
2021-07-30,1,1
2021-07-31,2,2
2021-08-03,2,2
2021-08-04,2,2
2021-08-05,2,2
2021-08-06,1,1
2021-08-09,2,2
2021-08-10,3,3
2021-08-11,1,1
2021-08-12,3,3
2021-08-13,2,2
2021-08-14,2,2
2021-08-16,2,2
2021-08-17,1,1
2021-08-19,3,3
2021-08-21,1,1
2021-08-23,2,2
2021-08-24,1,1
2021-08-25,3,3
2021-08-26,2,2
2021-08-28,1,1
2021-08-30,3,3
2021-08-31,6,6
2021-09-01,2,2
2021-09-02,2,2
2021-09-03,1,1
2021-09-04,1,1
2021-09-06,2,2
2021-09-07,2,2
2021-09-08,3,3
2021-09-09,2,2
2021-09-10,1,1
2021-09-11,4,4
2021-09-13,1,1
2021-09-14,2,2
2021-09-15,3,3
2021-09-17,1,1
2021-09-18,2,2
2021-09-20,4,4
2021-09-21,1,1
2021-09-22,3,3
2021-09-23,1,1
2021-09-24,5,5
2021-09-25,8,8
2021-09-27,1,1
2021-09-28,2,2
2021-10-01,1,1
2021-10-02,5,5
2021-10-05,2,2
2021-10-06,7,7
2021-10-07,1,1
2021-10-08,3,3
2021-10-09,1,1
2021-10-11,1,1
2021-10-12,4,4
2021-10-14,2,2
2021-10-15,3,3
2021-10-18,3,3
2021-10-19,1,1
2021-10-20,1,1
2021-10-21,2,2
2021-10-22,7,7
2021-10-23,3,3
2021-10-25,1,1
2021-10-26,2,2
2021-10-27,3,3
2021-10-28,4,4
2021-10-30,3,3
2021-11-02,4,4
2021-11-04,5,5
2021-11-05,1,1
2021-11-06,1,1
2021-11-08,3,3
2021-11-09,3,3
2021-11-10,6,6
2021-11-11,4,4
2021-11-13,3,3
2021-11-15,1,1
2021-11-16,3,3
2021-11-17,2,2
2021-11-19,1,1
2021-11-20,3,3
2021-11-25,1,1
2021-11-26,2,2
2021-11-29,2,2
2021-12-02,2,2
2021-12-03,5,5
2021-12-04,1,1
2021-12-06,1,1
2021-12-07,1,1
2021-12-08,6,6
2021-12-09,2,2
2021-12-11,2,2
2021-12-13,1,1
2021-12-14,3,3
2021-12-16,2,2
2021-12-17,2,2
2021-12-18,2,2
2021-12-21,1,1
2021-12-22,2,2
2021-12-23,1,1
2021-12-27,1,1
2021-12-28,1,1
2021-12-29,4,4
2021-12-30,1,1
2021-12-31,3,3
2022-01-03,3,3
2022-01-04,1,1
2022-01-05,1,1
2022-01-10,2,2
2022-01-11,3,3
2022-01-12,4,4
2022-01-13,1,1
2022-01-14,1,1
2022-01-15,2,2
2022-01-18,2,2
2022-01-20,2,2
2022-01-22,2,2
2022-01-24,2,2
2022-01-25,1,1
2022-01-26,1,1
2022-01-27,2,2
2022-01-28,2,2
2022-01-29,2,2
2022-01-31,3,3
2022-02-02,2,2
2022-02-03,2,2
2022-02-04,1,1
2022-02-05,1,1
2022-02-07,1,1
2022-02-08,2,2
2022-02-10,1,1
2022-02-12,1,1
2022-02-14,1,1
