date,hit_count,text_count
2014-10-30,1,1
2014-11-03,1,1
2014-11-07,1,1
2014-11-08,1,1
2014-11-12,1,1
2014-11-13,1,1
2014-11-17,1,1
2014-11-27,2,2
2014-11-29,2,2
2014-12-01,1,1
2014-12-04,2,2
2014-12-05,1,1
2014-12-11,2,2
2014-12-13,2,2
2014-12-15,1,1
2014-12-16,1,1
2014-12-22,1,1
2014-12-29,1,1
2015-01-10,1,1
2015-01-17,1,1
2015-01-19,1,1
2015-01-20,1,1
2015-01-22,1,1
2015-02-06,2,2
2015-02-07,1,1
2015-02-11,1,1
2015-02-20,1,1
2015-02-21,2,2
2015-02-23,2,2
2015-02-26,1,1
2015-02-28,1,1
2015-03-10,1,1
2015-03-13,1,1
2015-03-18,1,1
2015-03-21,1,1
2015-04-22,1,1
2015-04-27,1,1
2015-04-28,1,1
2015-05-04,1,1
2015-05-06,1,1
2015-05-11,1,1
2015-05-18,1,1
2015-05-19,1,1
2015-05-21,1,1
2015-05-27,2,2
2015-05-28,2,2
2015-05-30,1,1
2015-06-01,2,2
2015-06-02,5,5
2015-06-05,1,1
2015-06-06,1,1
2015-06-08,2,2
2015-06-09,3,3
2015-06-11,1,1
2015-06-12,1,1
2015-06-13,1,1
2015-06-16,1,1
2015-06-26,1,1
2015-06-27,2,2
2015-06-30,1,1
2015-07-01,1,1
2015-07-09,1,1
2015-07-11,2,2
2015-07-13,1,1
2015-07-14,1,1
2015-07-16,2,2
2015-07-20,1,1
2015-07-21,2,2
2015-07-23,1,1
2015-08-04,2,2
2015-08-06,1,1
2015-08-07,1,1
2015-08-11,1,1
2015-08-20,1,1
2015-08-26,2,2
2015-09-01,2,2
2015-09-03,1,1
2015-09-05,2,2
2015-09-07,1,1
2015-09-08,1,1
2015-09-09,2,2
2015-09-12,1,1
2015-09-16,1,1
2015-09-25,2,2
2015-09-26,1,1
2015-09-28,1,1
2015-10-01,1,1
2015-10-14,2,2
2015-10-20,2,2
2015-10-26,1,1
2015-10-27,1,1
2015-11-05,1,1
2015-11-13,1,1
2015-11-14,1,1
2015-11-18,1,1
2015-11-24,1,1
2015-11-26,1,1
2015-11-30,2,2
2015-12-01,1,1
2015-12-03,2,2
2015-12-07,3,3
2015-12-08,1,1
2015-12-10,2,2
2015-12-12,1,1
2015-12-19,1,1
2015-12-21,1,1
2015-12-29,1,1
2016-01-02,1,1
2016-01-11,1,1
2016-01-14,1,1
2016-01-16,1,1
2016-01-18,1,1
2016-01-25,1,1
2016-01-28,2,2
2016-02-01,2,2
2016-02-03,1,1
2016-02-04,1,1
2016-02-06,2,2
2016-02-08,1,1
2016-02-11,1,1
2016-02-15,1,1
2016-02-20,3,3
2016-02-23,1,1
2016-02-25,1,1
2016-02-27,1,1
2016-03-01,2,2
2016-03-02,1,1
2016-03-03,1,1
2016-03-11,1,1
2016-03-12,2,2
2016-03-15,1,1
2016-03-21,1,1
2016-03-22,1,1
2016-03-23,1,1
2016-03-30,2,2
2016-04-02,1,1
2016-04-04,1,1
2016-04-09,1,1
2016-04-11,2,2
2016-04-14,3,3
2016-04-18,2,2
2016-04-19,2,2
2016-04-22,1,1
2016-04-28,1,1
2016-04-29,1,1
2016-04-30,1,1
2016-05-06,1,1
2016-05-24,1,1
2016-05-30,1,1
2016-06-09,1,1
2016-06-10,1,1
2016-06-29,1,1
2016-06-30,1,1
2016-07-08,1,1
2016-07-09,1,1
2016-07-13,1,1
2016-07-16,1,1
2016-07-19,1,1
2016-07-21,1,1
2016-07-28,1,1
2016-08-09,1,1
2016-08-11,1,1
2016-08-12,1,1
2016-08-24,3,3
2016-08-27,1,1
2016-08-29,1,1
2016-09-08,1,1
2016-09-14,1,1
2016-09-17,1,1
2016-09-30,1,1
2016-10-07,3,3
2016-10-13,1,1
2016-10-17,1,1
2016-10-18,1,1
