date,hit_count,text_count
2001-07-16,1,1
2003-08-16,1,1
2004-05-28,1,1
2008-04-24,1,1
2008-11-15,1,1
2009-09-17,1,1
2009-09-26,1,1
2009-10-02,2,2
2010-06-11,1,1
2010-07-15,1,1
2010-09-25,1,1
2010-12-30,1,1
2011-10-01,1,1
2011-11-26,1,1
2011-12-15,1,1
2012-10-13,1,1
2013-04-08,1,1
2013-11-18,1,1
2014-11-26,1,1
2014-11-27,1,1
2015-03-28,1,1
2016-02-26,1,1
2016-05-18,1,1
2016-10-05,1,1
2017-11-11,1,1
2018-04-25,1,1
2018-06-27,1,1
2018-07-24,1,1
2018-07-28,1,1
2018-07-30,2,2
2018-08-06,1,1
2018-08-09,1,1
2018-08-10,1,1
2018-08-11,3,3
2018-08-16,1,1
2018-10-10,1,1
2018-10-16,1,1
2018-12-28,1,1
2019-02-11,1,1
2019-02-14,1,1
2019-02-27,1,1
2019-03-18,1,1
2019-03-25,1,1
2019-03-28,1,1
2019-03-29,1,1
2019-04-09,2,2
2019-05-10,1,1
2019-05-24,1,1
2019-05-29,1,1
2019-06-01,1,1
2019-06-07,2,2
2019-06-21,1,1
2019-06-27,3,3
2019-06-29,1,1
2019-07-02,1,1
2019-07-04,1,1
2019-07-06,1,1
2019-07-08,3,3
2019-07-09,1,1
2019-07-16,2,2
2019-07-18,3,3
2019-07-23,1,1
2019-07-27,1,1
2019-08-07,1,1
2019-08-08,1,1
2019-08-09,1,1
2019-08-14,1,1
2019-08-21,1,1
2019-08-27,1,1
2019-09-02,1,1
2019-09-11,2,2
2019-09-16,1,1
2019-09-17,1,1
2019-09-18,1,1
2019-09-19,1,1
2019-09-20,1,1
2019-09-21,1,1
2019-09-23,1,1
2019-09-24,1,1
2019-09-25,2,2
2019-09-26,1,1
2019-09-27,1,1
2019-10-02,1,1
2019-10-05,1,1
2019-10-07,1,1
2019-10-08,2,2
2019-10-10,1,1
2019-10-11,1,1
2019-10-14,1,1
2019-10-15,1,1
2019-10-17,3,3
2019-10-22,1,1
2019-10-30,1,1
2019-10-31,2,2
2019-11-04,2,2
2019-11-08,1,1
2019-11-14,1,1
2019-11-15,1,1
2019-11-20,1,1
2019-11-29,1,1
2019-12-02,1,1
2019-12-07,1,1
2019-12-12,1,1
2019-12-16,1,1
2019-12-20,1,1
2019-12-23,1,1
2019-12-30,1,1
2020-01-07,1,1
2020-01-09,1,1
2020-01-14,1,1
2020-01-23,1,1
2020-02-01,1,1
2020-02-04,1,1
2020-02-24,1,1
2020-03-06,1,1
2020-04-10,1,1
2020-04-28,1,1
