date,hit_count,text_count
2002-08-12,1,1
2002-08-15,1,1
2002-08-16,1,1
2004-08-19,1,1
2005-07-15,1,1
2006-11-14,1,1
2007-02-14,1,1
2007-02-28,1,1
2007-03-02,1,1
2007-03-05,1,1
2007-03-06,1,1
2007-03-17,1,1
2007-04-10,1,1
2007-04-13,1,1
2007-04-17,1,1
2007-04-18,1,1
2007-05-05,1,1
2007-08-06,1,1
2007-08-30,1,1
2007-10-13,1,1
2007-12-31,1,1
2008-06-24,1,1
2008-07-14,1,1
2008-07-15,1,1
2008-07-16,1,1
2008-10-11,1,1
2008-11-22,1,1
2009-01-28,1,1
2009-05-15,1,1
2009-05-28,1,1
2009-10-23,1,1
2009-10-28,1,1
2009-10-30,1,1
2009-12-04,1,1
2009-12-11,1,1
2009-12-14,1,1
2010-02-16,1,1
2010-04-17,1,1
2010-05-27,1,1
2010-06-10,1,1
2010-08-14,1,1
2010-10-12,1,1
2011-12-10,1,1
2011-12-17,2,2
2017-04-25,1,1
2017-11-06,1,1
2018-03-09,1,1
2018-08-22,2,2
2018-10-09,1,1
2019-01-18,1,1
2019-02-23,1,1
2019-03-30,1,1
2019-04-04,1,1
2019-04-13,1,1
2019-04-25,2,2
2019-04-26,1,1
2019-04-27,1,1
2019-05-09,1,1
2019-05-10,1,1
2019-05-23,1,1
2019-05-25,2,2
2019-05-27,1,1
2019-06-08,1,1
2019-06-13,1,1
2019-06-20,2,2
2019-06-24,1,1
2019-07-03,1,1
2019-07-05,2,2
2019-07-06,1,1
2019-07-10,1,1
2019-07-23,2,2
2019-07-29,2,2
2019-08-03,1,1
2019-08-05,1,1
2019-08-06,1,1
2019-08-07,1,1
2019-08-20,1,1
2019-08-24,1,1
2019-08-28,1,1
2019-08-30,2,2
2019-08-31,2,2
2019-09-06,6,6
2019-09-21,1,1
2019-09-23,1,1
2019-09-27,1,1
2019-09-28,1,1
2019-10-01,1,1
2019-10-03,2,2
2019-10-09,1,1
2019-10-18,1,1
2019-10-23,1,1
2019-11-02,1,1
2019-11-16,1,1
2019-11-20,1,1
2019-11-26,1,1
2019-11-29,1,1
2019-11-30,1,1
2019-12-04,1,1
2019-12-11,1,1
2019-12-13,1,1
2019-12-14,1,1
2019-12-16,2,2
2019-12-21,1,1
2019-12-30,1,1
2020-01-16,1,1
2020-01-17,1,1
2020-01-25,1,1
2020-01-28,1,1
2020-02-03,1,1
2020-02-17,1,1
2020-02-19,1,1
2020-02-25,1,1
2020-04-09,1,1
2020-04-23,1,1
2020-04-25,1,1
2020-04-27,1,1
2020-04-30,1,1
2020-05-13,1,1
2020-05-19,1,1
2020-06-03,1,1
2020-06-04,1,1
2020-06-06,1,1
2020-06-08,1,1
2020-06-27,1,1
2020-09-03,1,1
2020-09-07,1,1
2020-09-10,1,1
2020-09-15,1,1
2020-09-22,1,1
2020-09-25,1,1
2020-09-26,2,2
2020-11-02,1,1
2020-11-21,1,1
2020-11-27,1,1
2020-12-01,1,1
2020-12-07,1,1
2020-12-12,1,1
2020-12-19,1,1
2021-01-30,1,1
2021-02-22,2,2
2021-03-04,1,1
2021-03-18,1,1
2021-03-20,1,1
2021-03-29,1,1
2021-05-25,1,1
2021-06-09,2,2
2021-06-22,1,1
2021-07-12,1,1
2021-07-16,3,3
2021-07-17,2,2
2021-07-21,2,2
2021-07-22,2,2
2021-07-23,2,2
2021-07-28,1,1
2021-08-05,1,1
2021-08-10,1,1
2021-08-26,1,1
2021-08-30,1,1
2021-09-01,1,1
2021-09-02,1,1
2021-09-03,1,1
2021-09-04,1,1
2021-09-07,2,2
2021-09-09,1,1
2021-09-16,1,1
2021-09-17,1,1
2021-09-24,1,1
2021-10-06,1,1
2021-10-25,1,1
2021-10-27,1,1
2021-10-30,1,1
2021-11-03,1,1
2021-11-04,2,2
2021-11-05,1,1
2021-11-08,1,1
2021-11-09,2,2
2021-11-12,1,1
2021-11-13,1,1
2021-11-15,1,1
2021-11-27,1,1
2021-12-09,1,1
2021-12-10,2,2
2021-12-11,2,2
2021-12-17,1,1
2021-12-27,1,1
2022-01-14,1,1
2022-01-24,1,1
2022-03-01,1,1
2022-03-03,1,1
2022-03-10,1,1
2022-03-18,1,1
2022-03-29,1,1
2022-03-31,1,1
2022-04-04,1,1
2022-05-17,1,1
2022-05-20,1,1
2022-05-24,1,1
2022-05-27,1,1
2022-06-02,1,1
2022-06-07,1,1
2022-06-11,1,1
2022-06-16,1,1
2022-06-20,1,1
2022-06-27,1,1
2022-07-13,2,2
2022-07-19,1,1
2022-07-20,1,1
2022-07-22,1,1
2022-07-23,1,1
2022-07-25,1,1
2022-07-28,1,1
2022-08-04,2,2
2022-08-05,1,1
2022-08-09,1,1
2022-08-18,1,1
2022-09-03,2,2
2022-09-07,1,1
2022-09-09,1,1
2022-09-13,2,2
2022-09-16,1,1
2022-09-24,1,1
2022-10-04,1,1
2022-10-06,1,1
2022-10-12,1,1
2022-10-13,1,1
2022-10-24,1,1
2022-10-28,1,1
2022-11-07,1,1
2022-11-09,3,3
2022-11-11,1,1
2022-11-18,2,2
2022-11-21,3,3
2022-11-22,1,1
2022-11-26,1,1
2022-12-01,1,1
2022-12-22,1,1
2022-12-27,1,1
