date,hit_count,text_count
2000-10-19,1,1
2001-01-27,1,1
2001-07-24,1,1
2002-04-18,1,1
2002-06-06,1,1
2003-11-06,1,1
2004-03-31,1,1
2006-01-18,1,1
2006-09-29,1,1
2006-11-14,1,1
2007-01-13,1,1
2007-01-31,1,1
2007-02-21,1,1
2007-04-21,1,1
2007-04-23,1,1
2007-05-31,1,1
2007-06-08,1,1
2007-07-07,1,1
2007-08-21,1,1
2007-08-23,1,1
2007-12-05,1,1
2007-12-15,1,1
2008-02-11,1,1
2008-02-13,1,1
2008-02-14,1,1
2008-02-18,1,1
2008-05-08,1,1
2008-05-10,1,1
2008-05-17,1,1
2008-06-11,1,1
2008-06-12,1,1
2008-06-19,1,1
2008-07-10,1,1
2008-07-19,2,2
2008-07-31,1,1
2008-09-11,1,1
2008-09-20,1,1
2008-11-05,1,1
2008-12-10,3,3
2008-12-18,1,1
2009-01-03,3,3
2009-01-10,1,1
2009-01-19,1,1
2009-02-06,1,1
2009-03-30,1,1
2009-03-31,1,1
2009-04-20,1,1
2009-05-05,2,2
2009-05-25,1,1
2009-06-25,1,1
2009-06-29,1,1
2009-07-18,1,1
2009-08-14,1,1
2009-08-22,2,2
2009-09-02,1,1
2009-09-24,1,1
2009-09-28,1,1
2009-10-09,1,1
2009-10-27,1,1
2009-11-04,1,1
2009-11-21,1,1
2009-11-24,1,1
2009-12-02,1,1
2009-12-03,1,1
2009-12-04,1,1
2009-12-05,1,1
2009-12-09,1,1
2009-12-11,1,1
2009-12-12,1,1
2009-12-14,1,1
2009-12-15,1,1
2009-12-17,1,1
2009-12-18,1,1
2009-12-19,1,1
2009-12-23,1,1
2010-01-07,1,1
2010-01-12,1,1
2010-01-23,1,1
2010-02-01,1,1
2010-02-18,1,1
2010-04-27,3,3
2010-05-10,1,1
2010-09-24,1,1
2010-09-29,1,1
2010-10-13,2,2
2010-10-20,1,1
2010-11-05,1,1
2010-12-03,1,1
2010-12-17,3,3
2011-02-26,1,1
2011-03-09,1,1
2011-03-10,1,1
2011-05-14,1,1
2011-06-07,1,1
2011-06-09,1,1
2011-06-28,1,1
2011-08-20,1,1
2011-08-31,1,1
2011-09-05,1,1
2011-11-28,1,1
2011-12-12,2,2
2011-12-13,2,2
2011-12-14,1,1
2011-12-16,1,1
2011-12-22,1,1
2012-03-09,2,2
2012-03-22,2,2
2012-03-31,1,1
2012-05-29,1,1
2012-06-04,1,1
2017-02-16,1,1
2017-02-18,2,2
2017-03-11,1,1
2017-03-20,1,1
2017-03-23,1,1
2017-03-25,2,2
2017-04-06,2,2
2017-04-22,1,1
2017-05-09,1,1
2017-05-23,1,1
2017-06-23,1,1
2017-06-30,1,1
2017-07-07,1,1
2017-07-08,1,1
2017-07-18,1,1
2017-08-05,1,1
2017-08-22,1,1
2017-09-16,1,1
2017-10-28,1,1
2017-11-04,1,1
2017-11-06,1,1
2017-11-08,1,1
2017-11-14,1,1
2017-11-16,3,3
2017-11-18,3,3
2017-12-08,1,1
2017-12-20,1,1
2018-01-09,1,1
2018-01-25,1,1
2018-02-13,1,1
2018-02-23,1,1
2018-03-16,1,1
2018-03-17,1,1
2018-03-28,1,1
2018-06-04,1,1
2018-06-09,1,1
2018-06-28,2,2
2018-08-22,2,2
2018-09-13,1,1
2018-09-19,1,1
2018-10-09,1,1
2018-10-11,1,1
2018-10-13,1,1
2018-10-20,1,1
2018-11-13,1,1
2018-11-22,1,1
2018-11-24,1,1
2018-11-26,1,1
2018-12-03,1,1
2018-12-12,2,2
2018-12-13,1,1
2018-12-17,1,1
2018-12-28,1,1
2018-12-29,1,1
2019-01-19,1,1
2019-01-22,1,1
2019-01-28,2,2
2019-01-29,1,1
2019-02-04,1,1
2019-02-05,1,1
2019-02-07,1,1
2019-02-08,1,1
2019-02-09,1,1
2019-02-18,1,1
2019-02-23,1,1
2019-03-14,1,1
2019-03-16,1,1
2019-03-27,2,2
2019-03-28,1,1
2019-04-02,1,1
2019-04-06,1,1
2019-04-09,1,1
2019-04-27,1,1
2019-05-04,1,1
2019-05-11,1,1
2019-05-14,2,2
2019-05-15,1,1
2019-05-16,2,2
2019-05-18,2,2
2019-05-20,1,1
2019-05-24,1,1
2019-05-28,1,1
2019-05-29,1,1
2019-05-30,1,1
2019-06-04,1,1
2019-06-05,1,1
2019-06-07,1,1
2019-06-08,1,1
2019-06-13,1,1
2019-06-15,3,3
2019-06-19,1,1
2019-06-22,1,1
2019-06-24,1,1
2019-06-28,1,1
2019-07-03,1,1
2019-07-06,3,3
2019-07-08,1,1
2019-07-10,1,1
2019-07-17,1,1
2019-07-19,1,1
2019-07-20,2,2
2019-07-24,1,1
2019-07-31,1,1
2019-08-01,1,1
2019-08-06,2,2
2019-08-08,1,1
2019-08-09,1,1
2019-08-10,1,1
2019-08-12,1,1
2019-08-13,1,1
2019-08-17,2,2
2019-08-22,2,2
2019-08-23,1,1
2019-08-24,1,1
2019-08-26,1,1
2019-09-02,2,2
2019-09-05,1,1
2019-09-06,1,1
2019-09-07,1,1
2019-09-09,1,1
2019-09-11,1,1
2019-09-12,1,1
2019-09-14,2,2
2019-09-16,2,2
2019-09-17,1,1
2019-09-18,1,1
2019-09-19,1,1
2019-09-21,7,7
2019-09-23,1,1
2019-09-24,2,2
2019-09-25,1,1
2019-09-27,1,1
2019-09-28,2,2
2019-09-30,1,1
2019-10-01,1,1
2019-10-05,1,1
2019-10-07,1,1
2019-10-08,4,4
2019-10-10,5,5
2019-10-12,1,1
2019-10-16,4,4
2019-10-21,1,1
2019-10-23,1,1
2019-10-24,1,1
2019-10-25,2,2
2019-10-30,1,1
2019-11-09,2,2
2019-11-13,1,1
2019-11-14,1,1
2019-11-15,1,1
2019-11-16,1,1
2019-11-25,1,1
2019-11-27,1,1
2019-11-29,2,2
2019-11-30,2,2
2019-12-02,2,2
2019-12-03,1,1
2019-12-06,1,1
2019-12-09,1,1
2019-12-10,2,2
2019-12-11,2,2
2019-12-12,2,2
2019-12-13,2,2
2019-12-14,1,1
2019-12-16,2,2
2019-12-19,1,1
2019-12-21,2,2
2019-12-23,1,1
2019-12-27,1,1
2019-12-28,2,2
2019-12-31,1,1
2020-01-03,1,1
2020-01-04,1,1
2020-01-06,1,1
2020-01-08,2,2
2020-01-11,1,1
2020-01-13,1,1
2020-01-14,1,1
2020-01-15,1,1
2020-01-16,3,3
2020-01-17,1,1
2020-01-18,1,1
2020-01-20,3,3
2020-01-22,3,3
2020-01-23,1,1
2020-01-24,1,1
2020-01-30,2,2
2020-01-31,1,1
2020-02-05,1,1
2020-02-08,1,1
2020-02-10,1,1
2020-02-11,1,1
2020-02-14,1,1
2020-02-24,1,1
2020-02-27,1,1
2020-03-05,1,1
2020-03-06,2,2
2020-03-07,1,1
2020-03-12,1,1
2020-03-14,1,1
2020-03-20,1,1
2020-04-02,1,1
2020-04-06,3,3
2020-04-27,2,2
2020-05-04,1,1
2020-05-25,1,1
2020-05-26,1,1
2020-05-28,1,1
2020-06-04,1,1
2020-06-05,1,1
2020-06-10,1,1
2020-06-12,1,1
2020-06-13,1,1
2020-06-20,1,1
2020-06-27,1,1
2020-06-29,1,1
2020-06-30,1,1
2020-07-01,3,3
2020-07-09,1,1
2020-07-10,1,1
2020-07-29,1,1
2020-08-05,1,1
2020-08-08,1,1
2020-08-12,1,1
2020-08-13,2,2
2020-08-14,1,1
2020-08-22,2,2
2020-08-26,2,2
2020-09-02,1,1
2020-09-03,1,1
2020-09-09,1,1
2020-09-12,1,1
2020-09-14,1,1
2020-09-19,1,1
2020-09-26,1,1
2020-10-08,1,1
2020-10-19,1,1
2020-10-22,1,1
2020-10-24,1,1
2020-11-02,1,1
2020-11-10,1,1
2020-11-17,1,1
2020-11-18,1,1
2020-11-21,1,1
2020-11-30,1,1
2020-12-04,1,1
2020-12-10,1,1
2020-12-12,1,1
2020-12-19,1,1
2020-12-22,1,1
2021-01-30,1,1
2021-02-08,1,1
2021-02-25,1,1
2021-03-04,1,1
2021-03-06,1,1
2021-03-10,1,1
2021-03-11,1,1
2021-03-17,1,1
2021-03-18,1,1
2021-03-23,1,1
2021-03-29,1,1
2021-04-13,1,1
2021-04-16,2,2
2021-04-17,1,1
2021-04-22,3,3
2021-04-23,2,2
2021-04-29,1,1
2021-04-30,2,2
2021-05-05,2,2
2021-05-06,2,2
2021-05-07,2,2
2021-05-08,1,1
2021-05-10,2,2
2021-05-11,2,2
2021-05-14,3,3
2021-05-15,1,1
2021-05-18,4,4
2021-05-20,2,2
2021-05-26,1,1
2021-05-29,1,1
2021-05-31,1,1
2021-06-01,1,1
2021-06-03,1,1
2021-06-04,1,1
2021-06-08,1,1
2021-06-09,1,1
2021-06-10,1,1
2021-06-12,2,2
2021-06-14,3,3
2021-06-16,1,1
2021-06-17,1,1
2021-06-18,1,1
2021-06-19,1,1
2021-06-22,6,6
2021-06-23,3,3
2021-06-24,2,2
2021-06-25,3,3
2021-06-26,1,1
2021-06-30,3,3
2021-07-02,1,1
2021-07-03,1,1
2021-07-05,1,1
2021-07-07,2,2
2021-07-09,1,1
2021-07-12,2,2
2021-07-13,3,3
2021-07-14,2,2
2021-07-15,2,2
2021-07-16,3,3
2021-07-17,3,3
2021-07-19,1,1
2021-07-20,1,1
2021-07-21,2,2
2021-07-22,1,1
2021-07-24,2,2
2021-07-26,1,1
2021-07-29,1,1
2021-07-30,1,1
2021-07-31,1,1
2021-08-10,5,5
2021-08-12,1,1
2021-08-13,1,1
2021-08-14,2,2
2021-08-17,2,2
2021-08-18,1,1
2021-08-19,1,1
2021-08-20,1,1
2021-08-26,1,1
2021-08-30,2,2
2021-08-31,2,2
2021-09-01,1,1
2021-09-03,2,2
2021-09-07,2,2
2021-09-08,2,2
2021-09-11,2,2
2021-09-13,3,3
2021-09-15,1,1
2021-09-16,3,3
2021-09-17,2,2
2021-09-18,2,2
2021-09-21,2,2
2021-09-22,2,2
2021-09-23,2,2
2021-09-24,2,2
2021-09-25,1,1
2021-09-27,2,2
2021-09-28,1,1
2021-09-30,1,1
2021-10-01,1,1
2021-10-02,1,1
2021-10-05,1,1
2021-10-08,1,1
2021-10-11,1,1
2021-10-12,1,1
2021-10-13,1,1
2021-10-14,1,1
2021-10-16,1,1
2021-10-20,1,1
2021-10-25,4,4
2021-10-26,3,3
2021-10-27,3,3
2021-10-28,4,4
2021-10-29,3,3
2021-10-30,4,4
2021-11-01,5,5
2021-11-02,2,2
2021-11-03,3,3
2021-11-04,2,2
2021-11-05,3,3
2021-11-06,1,1
2021-11-10,1,1
2021-11-11,1,1
2021-11-13,1,1
2021-11-15,2,2
2021-11-16,2,2
2021-11-19,1,1
2021-11-23,1,1
2021-11-24,3,3
2021-11-25,3,3
2021-11-26,3,3
2021-11-27,1,1
2021-11-29,1,1
2021-11-30,2,2
2021-12-02,1,1
