date,hit_count,text_count
2000-01-04,1,1
2000-02-25,1,1
2000-03-15,1,1
2000-03-21,1,1
2000-04-04,1,1
2000-04-18,1,1
2000-04-20,1,1
2000-04-28,1,1
2000-06-09,1,1
2000-06-16,1,1
2000-09-08,1,1
2000-10-17,2,1
2000-10-19,6,3
2000-10-20,1,1
2000-11-02,1,1
2000-11-10,3,1
2000-11-17,1,1
2000-11-21,1,1
2000-11-23,1,1
2000-11-27,1,1
2000-12-19,1,1
2001-01-13,1,1
2001-01-23,1,1
2001-01-27,2,1
2001-02-02,1,1
2001-02-03,2,1
2001-02-24,3,1
2001-02-27,1,1
2001-03-06,1,1
2001-03-27,3,2
2001-03-28,1,1
2001-03-31,3,2
2001-04-06,1,1
2001-04-11,4,2
2001-04-17,1,1
2001-04-18,4,1
2001-05-30,1,1
2001-05-31,1,1
2001-06-05,1,1
2001-06-07,1,1
2001-06-15,1,1
2001-06-27,1,1
2001-07-07,1,1
2001-07-18,1,1
2001-07-19,1,1
2001-07-20,1,1
2001-07-24,2,1
2001-07-27,1,1
2001-07-28,1,1
2001-07-31,1,1
2001-08-25,1,1
2001-09-18,1,1
2001-09-28,4,1
2001-10-31,3,1
2001-11-20,2,2
2001-11-28,2,1
2001-12-10,1,1
2002-01-16,1,1
2002-02-15,2,1
2002-02-16,7,1
2002-02-27,1,1
2002-03-09,3,2
2002-03-23,2,1
2002-04-18,4,1
2002-04-19,3,2
2002-04-26,1,1
2002-05-03,1,1
2002-05-14,1,1
2002-06-05,3,1
2002-06-06,2,2
2002-06-11,3,1
2002-07-27,1,1
2002-08-12,3,1
2002-08-14,1,1
2002-08-15,1,1
2002-08-16,2,2
2002-08-23,1,1
2002-08-28,3,2
2002-09-05,1,1
2002-09-07,1,1
2002-09-12,2,1
2002-09-26,1,1
2002-10-02,1,1
2002-10-10,1,1
2002-10-11,5,1
2002-10-21,2,1
2002-11-15,1,1
2002-12-02,1,1
2002-12-07,1,1
2002-12-23,1,1
2003-01-06,1,1
2003-01-08,1,1
2003-01-10,2,1
2003-01-11,3,2
2003-01-14,3,1
2003-01-15,2,1
2003-01-17,3,1
2003-01-25,2,1
2003-04-08,1,1
2003-04-22,1,1
2003-04-23,1,1
2003-05-01,1,1
2003-05-15,1,1
2003-05-17,1,1
2003-06-03,5,2
2003-06-20,1,1
2003-06-24,3,1
2003-06-27,1,1
2003-07-17,3,1
2003-07-22,1,1
2003-08-04,1,1
2003-08-05,1,1
2003-08-09,2,2
2003-08-28,1,1
2003-09-06,1,1
2003-09-13,1,1
2003-09-19,1,1
2003-09-25,1,1
2003-11-06,2,1
2003-12-02,2,2
2004-01-06,1,1
2004-01-14,1,1
2004-01-19,1,1
2004-01-20,1,1
2004-02-18,1,1
2004-03-10,1,1
2004-03-13,2,2
2004-03-18,2,1
2004-03-27,1,1
2004-03-29,2,2
2004-04-02,3,2
2004-04-22,1,1
2004-04-23,4,3
2004-04-27,2,2
2004-04-28,1,1
2004-05-06,1,1
2004-05-11,1,1
2004-05-14,2,1
2004-05-18,2,1
2004-05-22,1,1
2004-06-04,1,1
2004-07-08,1,1
2004-07-17,1,1
2004-08-19,2,2
2004-08-26,1,1
2004-09-13,1,1
2004-09-16,1,1
2004-10-13,3,3
2004-11-04,1,1
2004-11-27,1,1
2004-12-09,1,1
2004-12-18,1,1
2004-12-21,2,2
2004-12-30,1,1
2005-02-17,3,2
2005-02-25,1,1
2005-03-15,1,1
2005-04-28,1,1
2005-06-28,2,1
2005-07-04,1,1
2005-07-09,3,2
2005-07-15,3,3
2005-07-30,1,1
2005-08-18,1,1
2005-08-19,1,1
2005-09-03,1,1
2005-09-05,1,1
2005-09-07,1,1
2005-09-10,1,1
2005-09-17,2,2
2005-10-06,2,1
2005-10-14,1,1
2005-10-15,1,1
2005-10-20,2,2
2005-10-27,1,1
2005-10-28,2,2
2005-11-03,4,1
2005-11-15,1,1
2005-11-19,2,1
2005-12-12,2,1
2005-12-15,1,1
2005-12-31,1,1
2006-01-16,4,1
2006-01-17,3,2
2006-01-18,1,1
2006-01-25,1,1
2006-02-04,1,1
2006-02-18,1,1
2006-03-04,5,1
2006-03-07,1,1
2006-03-08,10,2
2006-03-13,1,1
2006-03-20,1,1
2006-03-21,1,1
2006-03-23,1,1
2006-03-27,1,1
2006-04-04,1,1
2006-04-11,1,1
2006-04-13,2,1
2006-04-24,1,1
2006-05-10,1,1
2006-05-12,1,1
2006-05-13,1,1
2006-05-15,1,1
2006-05-25,1,1
2006-05-27,2,1
2006-05-30,1,1
2006-06-03,1,1
2006-06-07,3,1
2006-06-09,3,1
2006-06-15,1,1
2006-06-21,1,1
2006-06-27,1,1
2006-07-01,1,1
2006-07-05,1,1
2006-07-07,1,1
2006-08-12,6,2
2006-08-14,1,1
2006-08-15,1,1
2006-08-17,3,1
2006-08-19,1,1
2006-08-31,4,1
2006-09-13,1,1
2006-09-23,3,1
2006-09-27,4,2
2006-09-29,2,2
2006-10-04,1,1
2006-10-06,1,1
2006-10-09,3,1
2006-10-10,1,1
2006-10-11,3,1
2006-10-18,1,1
2006-10-25,1,1
2006-10-31,2,1
2006-11-03,1,1
2006-11-07,8,1
2006-11-08,6,2
2006-11-09,7,1
2006-11-11,7,3
2006-11-14,4,2
2006-11-16,3,1
2006-11-17,4,2
2006-11-18,6,2
2006-11-22,3,3
2006-11-25,1,1
2006-11-28,2,2
2006-12-01,1,1
2006-12-04,2,2
2006-12-05,1,1
2006-12-07,3,1
2006-12-09,1,1
2006-12-14,8,3
2006-12-15,2,2
2006-12-16,3,1
2006-12-19,4,2
2006-12-20,3,2
2006-12-21,2,2
2006-12-22,2,1
2006-12-23,1,1
2006-12-28,5,3
2006-12-29,2,2
2006-12-30,1,1
2007-01-03,1,1
2007-01-04,1,1
2007-01-05,1,1
2007-01-09,4,3
2007-01-10,1,1
2007-01-11,3,1
2007-01-12,3,3
2007-01-13,5,3
2007-01-15,2,1
2007-01-18,2,2
2007-01-19,1,1
2007-01-20,1,1
2007-01-23,3,3
2007-01-25,7,3
2007-01-27,1,1
2007-01-29,2,2
2007-01-30,1,1
2007-01-31,7,4
2007-02-01,1,1
2007-02-02,5,4
2007-02-03,6,3
2007-02-07,1,1
2007-02-08,6,4
2007-02-10,3,2
2007-02-12,3,2
2007-02-13,1,1
2007-02-14,2,2
2007-02-15,1,1
2007-02-16,6,3
2007-02-17,5,3
2007-02-20,4,4
2007-02-21,5,3
2007-02-22,2,1
2007-02-23,13,5
2007-02-24,6,4
2007-02-26,8,2
2007-02-27,4,1
2007-02-28,14,7
2007-03-01,6,2
2007-03-02,11,3
2007-03-03,18,4
2007-03-05,6,3
2007-03-06,12,4
2007-03-08,4,2
2007-03-09,4,2
2007-03-10,8,6
2007-03-12,4,2
2007-03-13,2,1
2007-03-14,10,4
2007-03-15,2,2
2007-03-16,12,4
2007-03-17,8,5
2007-03-19,2,1
2007-03-20,4,2
2007-03-21,9,6
2007-03-22,1,1
2007-03-23,1,1
2007-03-24,3,3
2007-03-26,11,5
2007-03-27,4,3
2007-03-29,3,3
2007-03-31,7,3
2007-04-03,5,1
2007-04-04,2,1
2007-04-07,1,1
2007-04-10,6,1
2007-04-11,2,2
2007-04-13,6,3
2007-04-14,4,2
2007-04-16,3,1
2007-04-17,2,1
2007-04-18,6,3
2007-04-19,3,2
2007-04-20,2,2
2007-04-21,3,2
2007-04-23,2,1
2007-04-24,2,1
2007-04-26,7,3
2007-04-28,9,6
2007-05-01,3,1
2007-05-03,2,2
2007-05-04,7,3
2007-05-05,4,3
2007-05-07,1,1
2007-05-08,1,1
2007-05-09,4,2
2007-05-10,1,1
2007-05-12,6,4
2007-05-14,8,4
2007-05-15,1,1
2007-05-17,3,3
2007-05-23,7,2
2007-05-25,1,1
2007-05-29,4,2
2007-05-30,4,2
2007-05-31,8,3
2007-06-02,4,3
2007-06-04,10,3
2007-06-05,5,2
2007-06-06,1,1
2007-06-07,2,2
2007-06-09,4,4
2007-06-11,2,1
2007-06-12,2,2
2007-06-13,2,2
2007-06-15,3,3
2007-06-19,3,2
2007-06-20,1,1
2007-06-21,6,2
2007-06-22,2,2
2007-06-23,3,3
2007-06-25,2,2
2007-06-26,6,2
2007-06-27,3,2
2007-07-02,1,1
2007-07-03,2,1
2007-07-04,14,7
2007-07-05,5,3
2007-07-06,9,5
2007-07-07,6,4
2007-07-09,2,2
2007-07-10,2,2
2007-07-14,14,5
2007-07-16,1,1
2007-07-18,7,1
2007-07-19,1,1
2007-07-23,2,1
2007-07-24,3,2
2007-07-25,3,1
2007-07-27,5,3
2007-07-28,2,2
2007-07-30,1,1
2007-08-03,1,1
2007-08-06,3,2
2007-08-07,2,2
2007-08-08,1,1
2007-08-11,4,1
2007-08-15,4,1
2007-08-16,2,1
2007-08-17,3,1
2007-08-18,4,2
2007-08-20,2,2
2007-08-21,4,2
2007-08-23,4,3
2007-08-25,5,1
2007-08-27,2,1
2007-08-28,3,1
2007-08-29,3,3
2007-08-30,3,1
2007-08-31,1,1
2007-09-01,5,1
2007-09-04,3,3
2007-09-05,3,1
2007-09-07,1,1
2007-09-08,6,3
2007-09-12,3,1
2007-09-13,5,3
2007-09-14,10,5
2007-09-20,2,2
2007-09-22,2,2
2007-09-24,1,1
2007-09-25,4,3
2007-10-01,1,1
2007-10-02,1,1
2007-10-10,1,1
2007-10-11,3,2
2007-10-12,1,1
2007-10-13,10,3
2007-10-15,1,1
2007-10-17,2,1
2007-10-18,2,1
2007-10-20,2,2
2007-10-23,6,2
2007-10-24,1,1
2007-10-25,3,3
2007-10-26,2,2
2007-10-29,3,2
2007-10-30,2,2
2007-10-31,1,1
2007-11-02,4,2
2007-11-03,3,3
2007-11-06,2,2
2007-11-07,1,1
2007-11-08,5,4
2007-11-10,1,1
2007-11-12,6,4
2007-11-19,7,4
2007-11-20,4,3
2007-11-21,1,1
2007-11-23,3,2
2007-11-24,2,2
2007-11-26,3,3
2007-11-27,1,1
2007-11-28,1,1
2007-11-29,2,2
2007-12-01,3,2
2007-12-03,8,4
2007-12-04,7,3
2007-12-05,3,3
2007-12-06,3,3
2007-12-07,2,1
2007-12-08,3,3
2007-12-10,2,2
2007-12-12,3,1
2007-12-13,1,1
2007-12-14,7,3
2007-12-15,3,2
2007-12-17,1,1
2007-12-18,6,2
2007-12-19,5,2
2007-12-20,2,1
2007-12-27,3,2
2007-12-28,1,1
2007-12-31,2,1
2008-01-03,1,1
2008-01-04,1,1
2008-01-08,1,1
2008-01-09,1,1
2008-01-11,10,2
2008-01-12,9,3
2008-01-14,2,1
2008-01-16,3,3
2008-01-17,1,1
2008-01-18,1,1
2008-01-19,7,3
2008-01-22,9,3
2008-01-23,2,2
2008-01-24,5,2
2008-01-25,6,4
2008-01-26,1,1
2008-01-28,1,1
2008-01-30,1,1
2008-02-01,2,1
2008-02-11,1,1
2008-02-13,6,5
2008-02-14,4,4
2008-02-15,5,2
2008-02-16,5,1
2008-02-18,1,1
