date,hit_count,text_count
2007-10-13,1,1
2007-10-23,1,1
2007-10-24,1,1
2007-12-08,2,2
2007-12-10,1,1
2007-12-20,1,1
2007-12-28,1,1
2008-01-26,1,1
2008-02-27,1,1
2008-04-23,1,1
2008-07-05,1,1
2008-11-20,1,1
2009-01-16,1,1
2009-01-17,1,1
2009-01-19,1,1
2009-04-02,1,1
2009-05-11,1,1
2009-05-25,1,1
2009-06-04,1,1
2009-07-11,1,1
2009-07-13,1,1
2009-09-21,1,1
2009-09-23,2,2
2009-10-14,1,1
2009-11-03,1,1
2009-12-03,1,1
2009-12-05,1,1
2009-12-07,1,1
2009-12-08,1,1
2009-12-14,1,1
2009-12-19,1,1
2010-01-02,1,1
2010-09-04,1,1
2011-04-16,1,1
2011-10-29,1,1
2011-12-13,1,1
2012-03-16,1,1
2012-07-06,1,1
2012-08-07,1,1
2013-01-09,1,1
2013-11-16,1,1
2013-11-20,1,1
2014-03-18,1,1
2015-01-27,1,1
2015-07-09,1,1
2015-10-23,1,1
2015-11-07,1,1
2016-08-19,1,1
2016-10-01,1,1
2016-10-05,1,1
2016-11-05,1,1
2016-11-12,1,1
2016-11-19,1,1
2017-05-12,1,1
2017-06-02,1,1
2017-06-30,1,1
2017-07-07,1,1
2017-09-06,1,1
2017-09-12,1,1
2017-11-02,1,1
2018-01-13,1,1
2018-03-08,1,1
2018-11-23,1,1
2018-12-15,1,1
2018-12-22,1,1
2019-01-26,1,1
2019-02-08,1,1
2019-03-05,1,1
2019-03-29,1,1
2019-04-08,1,1
2019-05-03,1,1
2019-05-04,1,1
2019-05-11,1,1
2019-05-25,1,1
2019-05-29,1,1
2019-06-03,1,1
2019-06-05,1,1
2019-06-15,1,1
2019-06-29,1,1
2019-07-05,1,1
2019-07-06,1,1
2019-07-11,3,3
2019-07-12,1,1
2019-07-15,1,1
2019-07-17,1,1
2019-07-18,1,1
2019-07-20,1,1
2019-07-22,1,1
2019-07-24,1,1
2019-07-30,1,1
2019-08-01,1,1
2019-08-03,1,1
2019-08-10,1,1
2019-08-14,1,1
2019-08-20,1,1
2019-08-26,1,1
2019-08-29,2,2
2019-08-30,2,2
2019-09-12,1,1
2019-09-13,1,1
2019-09-17,1,1
2019-09-19,1,1
2019-09-20,1,1
2019-09-21,2,2
2019-10-01,1,1
2019-10-02,1,1
2019-10-08,2,2
2019-10-11,1,1
