date,hit_count,text_count
2007-10-10,1,1
2007-11-17,1,1
2007-12-08,1,1
2007-12-12,1,1
2007-12-13,1,1
2007-12-14,1,1
2008-01-11,1,1
2008-01-16,1,1
2008-01-18,1,1
2008-01-24,1,1
2008-03-13,1,1
2008-04-22,1,1
2008-05-07,1,1
2008-06-10,1,1
2008-06-14,1,1
2008-07-09,1,1
2008-07-10,1,1
2008-07-18,1,1
2008-07-31,1,1
2008-10-04,1,1
2008-10-14,1,1
2008-10-16,1,1
2008-10-20,1,1
2008-10-21,1,1
2008-10-28,1,1
2008-11-06,1,1
2008-11-19,1,1
2008-11-24,1,1
2008-11-28,1,1
2008-12-01,1,1
2008-12-04,1,1
2008-12-13,4,4
2008-12-17,1,1
2009-01-12,1,1
2009-01-19,1,1
2009-01-31,1,1
2009-02-04,1,1
2009-05-09,1,1
2009-06-04,2,2
2009-06-27,1,1
2009-07-09,1,1
2009-07-10,2,2
2009-09-11,1,1
2009-09-24,1,1
2009-10-10,1,1
2009-10-16,1,1
2009-10-21,1,1
2009-10-31,2,2
2009-11-12,1,1
2009-11-25,1,1
2009-11-27,2,2
2009-12-01,1,1
2009-12-02,1,1
2009-12-08,3,3
2009-12-12,1,1
2009-12-18,2,2
2009-12-19,2,2
2009-12-21,1,1
2009-12-23,1,1
2010-01-30,1,1
2010-03-16,1,1
2010-03-24,1,1
2010-05-05,1,1
2010-06-09,1,1
2010-06-17,2,2
2010-06-18,1,1
2010-07-14,1,1
2010-08-10,1,1
2010-08-21,1,1
2010-09-04,1,1
2010-09-18,1,1
2010-11-09,1,1
2010-11-23,1,1
2010-11-27,1,1
2010-11-29,1,1
2010-11-30,2,2
2010-12-01,1,1
2010-12-11,2,2
2010-12-13,1,1
2010-12-30,1,1
2011-01-11,1,1
2011-01-21,1,1
2011-01-22,1,1
2011-02-22,1,1
2011-03-11,1,1
2011-06-16,1,1
2011-06-25,1,1
2011-07-02,1,1
2011-07-04,1,1
2011-07-16,1,1
2011-08-04,1,1
2011-08-06,2,2
2011-10-31,1,1
2011-11-12,1,1
2011-11-26,1,1
2011-12-03,1,1
2011-12-13,1,1
2012-01-20,1,1
2012-01-21,1,1
2012-02-02,1,1
2012-02-08,1,1
2012-02-28,1,1
2012-03-06,1,1
2012-03-13,1,1
2012-03-23,1,1
2012-04-12,1,1
2012-04-14,1,1
2012-04-20,1,1
2012-05-23,1,1
2012-05-26,1,1
2012-07-13,1,1
2012-07-17,3,3
2012-07-24,1,1
2012-08-07,1,1
2012-09-12,1,1
2012-09-15,1,1
2012-11-10,1,1
2012-11-19,1,1
2012-11-22,1,1
2012-11-24,1,1
2012-12-05,1,1
2012-12-12,1,1
2012-12-31,1,1
2013-01-16,1,1
2013-02-16,1,1
2013-02-23,1,1
2013-03-13,1,1
2013-04-19,1,1
2013-05-03,1,1
2013-08-15,1,1
2013-08-16,1,1
2013-08-17,1,1
2013-09-07,1,1
2013-09-28,1,1
2013-10-11,1,1
2013-10-30,1,1
2013-11-11,1,1
2013-11-22,1,1
2013-12-18,1,1
2013-12-23,1,1
2014-01-23,1,1
2014-01-29,1,1
2014-03-20,1,1
2014-04-01,1,1
2014-04-12,1,1
2014-06-03,1,1
2014-06-28,1,1
2014-07-10,1,1
2014-07-14,1,1
2014-08-23,1,1
2014-09-22,1,1
2014-10-10,1,1
2014-10-23,1,1
2014-10-25,1,1
2014-11-13,2,2
2014-11-24,1,1
2014-11-29,1,1
2014-12-22,1,1
2015-01-27,2,2
2015-02-14,1,1
2015-02-18,1,1
2015-02-20,1,1
2015-02-25,1,1
2015-03-07,1,1
2015-04-14,1,1
2015-04-20,1,1
2015-05-02,1,1
2015-05-20,1,1
2015-06-01,2,2
2015-07-08,1,1
2015-07-22,1,1
2015-08-04,1,1
2015-08-15,1,1
2015-09-05,2,2
2015-10-21,1,1
2015-11-07,1,1
2015-11-09,1,1
2015-11-11,1,1
2015-11-30,1,1
2015-12-01,1,1
2015-12-09,1,1
2015-12-12,1,1
2015-12-15,1,1
2015-12-16,2,2
2016-01-02,1,1
2016-01-09,1,1
2016-02-11,1,1
2016-03-07,1,1
2016-05-24,1,1
2016-06-02,1,1
2016-06-28,1,1
2016-08-06,1,1
2016-08-13,1,1
2016-08-25,1,1
2016-09-15,1,1
2016-10-05,1,1
2016-10-29,1,1
2016-11-02,1,1
2016-11-03,1,1
2016-11-08,2,2
2016-11-09,1,1
2016-11-11,1,1
2016-11-12,3,3
2016-11-19,1,1
2016-12-01,1,1
2017-02-14,1,1
2017-02-15,1,1
2017-03-21,1,1
2017-03-23,1,1
