date,hit_count,text_count
2011-01-22,1,1
2011-02-18,1,1
2011-03-07,1,1
2011-03-22,1,1
2011-06-22,1,1
2011-07-05,1,1
2011-07-07,1,1
2011-07-08,1,1
2011-07-26,1,1
2011-08-25,1,1
2011-09-30,1,1
2011-10-31,1,1
2011-12-08,1,1
2011-12-09,1,1
2011-12-10,1,1
2011-12-12,3,3
2012-01-17,1,1
2012-06-02,1,1
2012-07-17,1,1
2012-07-21,1,1
2012-11-05,1,1
2012-11-15,1,1
2012-11-23,1,1
2012-12-10,3,3
2013-06-07,1,1
2013-08-26,1,1
2013-11-25,1,1
2014-01-17,1,1
2014-01-23,2,2
2014-04-28,1,1
2014-06-16,1,1
2014-07-30,1,1
2014-09-25,1,1
2014-11-03,1,1
2014-11-13,1,1
2014-12-04,2,2
2014-12-13,1,1
2014-12-15,1,1
2015-01-17,1,1
2015-05-07,1,1
2015-08-05,1,1
2015-09-28,1,1
2015-11-17,1,1
2015-12-02,1,1
2015-12-03,1,1
2015-12-07,1,1
2015-12-14,2,2
2015-12-15,1,1
2016-01-09,1,1
2016-03-21,1,1
2016-06-01,1,1
2016-07-12,1,1
2016-08-17,1,1
2016-08-22,1,1
2016-09-19,1,1
2016-11-03,2,2
2016-11-07,1,1
2016-11-08,1,1
2016-11-10,1,1
2016-12-12,1,1
2017-02-07,1,1
2017-03-30,1,1
2017-04-13,1,1
2017-05-09,1,1
2017-05-27,2,2
2017-05-29,1,1
2017-06-02,2,2
2017-06-19,1,1
2017-06-30,1,1
2017-07-06,1,1
2017-07-07,1,1
2017-09-23,1,1
2017-10-18,1,1
2017-10-26,1,1
2017-10-27,2,2
2017-10-28,1,1
2017-11-02,1,1
2017-11-06,3,3
2017-11-09,1,1
2017-11-14,1,1
2017-11-16,2,2
2017-11-17,1,1
2017-11-18,1,1
2017-11-20,1,1
2017-12-02,1,1
2017-12-13,1,1
2017-12-28,1,1
2018-01-09,2,2
2018-01-13,1,1
2018-01-19,1,1
2018-02-21,1,1
2018-03-21,1,1
2018-04-11,1,1
2018-04-18,1,1
2018-06-07,1,1
2018-06-30,1,1
2018-07-18,1,1
2018-08-07,1,1
2018-08-08,1,1
2018-08-09,1,1
2018-08-23,1,1
2018-09-12,1,1
2018-09-14,1,1
2018-09-15,2,2
2018-09-17,1,1
2018-09-18,1,1
2018-09-29,1,1
2018-10-06,1,1
2018-10-09,1,1
2018-10-29,1,1
2018-12-08,1,1
2018-12-17,1,1
2018-12-31,1,1
2019-01-14,1,1
2019-01-17,1,1
2019-01-23,2,2
2019-01-25,1,1
2019-01-26,1,1
2019-01-31,1,1
2019-02-02,1,1
2019-02-22,1,1
2019-02-25,1,1
2019-03-13,1,1
2019-03-16,1,1
2019-03-18,1,1
2019-03-23,1,1
2019-03-27,2,2
2019-03-28,1,1
2019-03-29,1,1
2019-03-30,1,1
2019-04-01,2,2
2019-04-06,1,1
2019-04-09,1,1
2019-04-30,1,1
2019-05-11,1,1
2019-05-13,1,1
2019-05-15,1,1
2019-05-25,1,1
2019-05-29,1,1
2019-05-30,1,1
2019-06-05,2,2
2019-06-13,2,2
2019-06-15,1,1
2019-06-17,1,1
2019-06-22,1,1
2019-06-24,1,1
2019-07-03,1,1
2019-07-05,1,1
2019-07-06,1,1
2019-07-15,1,1
2019-07-17,3,3
2019-07-19,1,1
2019-07-20,1,1
2019-07-24,1,1
2019-08-01,1,1
2019-08-06,1,1
2019-08-07,2,2
2019-08-12,2,2
2019-08-13,1,1
2019-08-15,1,1
2019-08-17,1,1
2019-08-19,1,1
2019-08-21,2,2
2019-08-22,1,1
2019-08-26,1,1
2019-08-27,1,1
2019-08-29,1,1
2019-08-30,1,1
2019-09-04,2,2
2019-09-05,2,2
2019-09-06,1,1
2019-09-10,1,1
2019-09-11,3,3
2019-09-13,1,1
2019-09-17,1,1
2019-09-18,1,1
2019-09-19,1,1
2019-09-21,2,2
2019-09-23,2,2
2019-09-24,2,2
2019-10-05,2,2
2019-10-07,1,1
2019-10-08,1,1
2019-10-10,2,2
2019-10-14,1,1
2019-10-16,1,1
2019-11-01,1,1
2019-11-07,1,1
2019-11-16,2,2
2019-11-20,1,1
2019-11-28,1,1
2019-12-05,1,1
2019-12-06,1,1
2019-12-09,1,1
2019-12-11,1,1
2019-12-12,2,2
2019-12-14,1,1
2019-12-16,1,1
2019-12-19,1,1
2019-12-21,1,1
2019-12-23,1,1
2019-12-31,1,1
2020-01-03,3,3
2020-01-08,1,1
2020-01-14,1,1
2020-01-16,2,2
2020-01-17,2,2
2020-01-21,2,2
2020-01-22,1,1
2020-01-28,1,1
2020-01-30,2,2
2020-02-01,1,1
2020-02-03,1,1
2020-02-04,1,1
2020-02-06,1,1
2020-02-14,3,3
2020-02-19,1,1
2020-02-22,2,2
2020-02-27,1,1
2020-02-28,1,1
2020-02-29,1,1
2020-03-05,2,2
2020-03-07,1,1
2020-03-09,1,1
2020-03-10,1,1
2020-04-11,1,1
2020-04-16,1,1
2020-04-27,1,1
2020-04-28,1,1
2020-05-04,2,2
2020-06-06,1,1
2020-06-20,1,1
2020-07-02,1,1
2020-07-04,1,1
2020-07-08,1,1
2020-07-09,1,1
2020-07-14,3,3
2020-07-17,2,2
2020-07-22,1,1
2020-07-29,1,1
2020-08-21,1,1
2020-09-03,1,1
2020-09-05,1,1
2020-09-11,1,1
2020-09-15,1,1
2020-09-17,1,1
2020-09-22,1,1
2020-09-28,1,1
2020-10-02,1,1
2020-10-12,1,1
2020-10-14,1,1
2020-10-20,1,1
2020-10-21,1,1
2020-10-24,1,1
2020-11-03,1,1
2020-11-04,1,1
2020-11-05,1,1
2020-11-06,1,1
2020-11-09,3,3
2020-11-10,1,1
2020-11-18,1,1
2020-11-24,1,1
2020-11-25,1,1
2020-11-26,1,1
2020-12-01,1,1
2020-12-05,1,1
2020-12-07,1,1
2020-12-10,2,2
2020-12-11,1,1
2020-12-19,2,2
2020-12-28,1,1
2020-12-29,2,2
2020-12-30,1,1
2021-01-06,1,1
2021-01-08,2,2
2021-01-15,1,1
2021-01-27,1,1
2021-01-28,1,1
2021-01-30,1,1
2021-02-05,1,1
2021-02-15,1,1
2021-02-25,1,1
2021-02-27,1,1
2021-03-02,1,1
2021-03-04,1,1
2021-03-13,2,2
2021-03-20,1,1
2021-03-30,1,1
2021-03-31,1,1
2021-04-19,1,1
2021-04-21,1,1
2021-04-22,3,3
2021-04-23,1,1
2021-04-24,1,1
2021-04-26,1,1
2021-04-27,1,1
2021-04-29,1,1
2021-04-30,2,2
2021-05-03,2,2
2021-05-04,1,1
2021-05-06,2,2
2021-05-07,1,1
2021-05-13,1,1
2021-05-20,1,1
2021-05-26,2,2
2021-05-28,1,1
2021-06-01,1,1
2021-06-07,1,1
2021-06-11,1,1
2021-06-14,1,1
2021-06-15,2,2
2021-06-16,1,1
2021-06-19,1,1
2021-06-21,3,3
2021-06-23,1,1
2021-06-24,1,1
2021-06-25,1,1
2021-06-30,1,1
2021-07-01,1,1
2021-07-02,1,1
2021-07-06,1,1
2021-07-07,1,1
2021-07-13,1,1
2021-07-14,1,1
2021-07-15,1,1
2021-07-16,2,2
2021-07-17,2,2
2021-07-19,1,1
2021-07-20,1,1
2021-07-21,1,1
2021-07-22,2,2
2021-07-24,1,1
2021-07-27,1,1
2021-07-28,1,1
2021-07-29,1,1
2021-07-30,1,1
2021-08-04,2,2
2021-08-06,1,1
2021-08-10,2,2
2021-08-19,1,1
2021-08-21,1,1
2021-08-23,1,1
2021-08-24,2,2
2021-08-30,1,1
2021-08-31,3,3
2021-09-04,1,1
2021-09-10,1,1
2021-09-11,1,1
2021-09-13,1,1
2021-09-14,2,2
2021-09-15,1,1
2021-09-16,3,3
2021-09-20,1,1
2021-09-22,1,1
2021-09-23,1,1
2021-09-24,2,2
2021-09-25,1,1
2021-09-27,1,1
2021-09-28,1,1
2021-09-29,1,1
2021-10-05,1,1
2021-10-06,1,1
2021-10-11,1,1
2021-10-19,1,1
2021-10-21,3,3
2021-10-23,5,5
2021-10-26,1,1
2021-10-28,1,1
2021-10-30,2,2
2021-11-04,1,1
2021-11-05,1,1
2021-11-09,1,1
2021-11-10,1,1
2021-11-12,1,1
2021-11-13,1,1
2021-11-15,1,1
2021-11-16,2,2
2021-11-17,2,2
2021-11-19,1,1
2021-11-23,2,2
2021-11-24,1,1
2021-11-27,1,1
2021-12-07,1,1
2021-12-08,2,2
2021-12-13,1,1
2021-12-14,1,1
2021-12-15,1,1
2021-12-18,1,1
2021-12-21,1,1
2021-12-22,1,1
2021-12-24,1,1
2021-12-31,1,1
2022-01-03,2,2
2022-01-04,2,2
2022-01-11,2,2
2022-01-12,2,2
2022-01-15,1,1
2022-01-17,2,2
2022-01-18,3,3
2022-01-22,2,2
2022-01-27,2,2
2022-01-29,1,1
2022-01-31,1,1
2022-02-02,1,1
2022-02-03,1,1
2022-02-11,1,1
2022-02-24,1,1
2022-02-28,1,1
2022-03-05,1,1
2022-03-07,1,1
2022-03-11,1,1
2022-03-18,1,1
2022-03-19,1,1
2022-03-21,2,2
2022-04-04,1,1
2022-04-05,1,1
2022-04-08,2,2
2022-04-11,1,1
2022-04-16,1,1
2022-04-20,1,1
2022-04-29,2,2
2022-04-30,1,1
2022-05-03,1,1
2022-05-11,1,1
2022-05-12,1,1
2022-05-13,1,1
2022-05-14,1,1
2022-05-19,1,1
2022-05-26,1,1
2022-05-28,1,1
2022-05-30,1,1
2022-06-02,1,1
2022-06-04,3,3
2022-06-07,1,1
2022-06-09,1,1
2022-06-10,2,2
2022-06-24,2,2
2022-06-25,2,2
2022-06-28,1,1
2022-06-29,3,3
2022-07-02,1,1
2022-07-04,2,2
2022-07-08,1,1
2022-07-15,1,1
2022-07-18,1,1
2022-07-20,2,2
2022-07-30,1,1
2022-08-03,1,1
2022-08-06,2,2
2022-08-13,1,1
2022-08-20,1,1
2022-08-25,1,1
2022-08-30,1,1
2022-09-02,1,1
2022-09-03,1,1
2022-09-16,1,1
2022-09-24,1,1
2022-09-30,1,1
2022-10-01,1,1
2022-10-06,1,1
2022-10-07,1,1
2022-10-08,2,2
2022-10-10,1,1
2022-10-19,1,1
2022-10-21,1,1
2022-10-22,2,2
2022-10-31,1,1
2022-11-05,3,3
2022-11-07,3,3
2022-11-09,1,1
2022-11-12,1,1
2022-11-14,1,1
2022-11-17,1,1
2022-11-19,1,1
2022-11-24,2,2
2022-11-25,1,1
2022-12-03,1,1
2022-12-05,1,1
2022-12-09,1,1
2022-12-12,2,2
2022-12-14,1,1
2022-12-15,1,1
2022-12-19,1,1
2022-12-23,1,1
2022-12-27,1,1
