date,hit_count,text_count
2000-03-11,1,1
2000-11-14,1,1
2001-07-20,1,1
2001-10-18,1,1
2001-10-19,1,1
2001-11-03,1,1
2001-11-13,1,1
2001-11-28,1,1
2002-03-09,1,1
2002-08-22,1,1
2003-07-12,2,2
2003-12-04,1,1
2004-05-26,1,1
2005-02-11,1,1
2005-05-11,1,1
2005-05-12,1,1
2006-02-16,1,1
2006-07-22,1,1
2006-10-11,1,1
2006-11-13,2,2
2006-11-21,1,1
2006-12-02,1,1
2007-01-09,1,1
2007-01-26,1,1
2007-02-05,1,1
2007-02-07,1,1
2007-02-17,1,1
2007-02-21,1,1
2007-02-27,1,1
2007-02-28,1,1
2007-03-05,1,1
2007-03-07,1,1
2007-03-10,1,1
2007-03-17,1,1
2007-03-24,1,1
2007-03-30,1,1
2007-04-10,1,1
2007-05-02,3,3
2007-05-04,1,1
2007-05-05,2,2
2007-05-12,1,1
2007-07-07,2,2
2007-08-24,1,1
2007-09-19,1,1
2007-10-13,1,1
2007-10-15,1,1
2007-10-23,1,1
2007-10-27,1,1
2007-11-03,1,1
2007-11-21,1,1
2007-12-17,2,2
2007-12-31,2,2
2008-02-15,1,1
2008-03-08,1,1
2008-08-02,1,1
2008-08-04,1,1
2008-08-05,1,1
2008-08-07,1,1
2008-10-20,2,2
2008-12-02,1,1
2008-12-15,1,1
2008-12-17,1,1
2008-12-23,1,1
2009-03-28,1,1
2009-04-01,1,1
2009-05-25,1,1
2009-06-02,1,1
2009-06-13,1,1
2009-09-02,1,1
2009-09-23,1,1
2009-09-25,1,1
2009-10-01,1,1
2009-12-07,1,1
2009-12-16,1,1
2009-12-19,1,1
2010-02-26,1,1
2010-03-29,1,1
2010-05-05,1,1
2010-05-11,1,1
2010-05-18,1,1
2010-07-21,1,1
2010-08-05,1,1
2010-08-10,1,1
2010-12-21,1,1
2011-05-26,1,1
2012-04-10,1,1
2012-06-25,1,1
2012-11-19,1,1
2013-09-19,1,1
2013-10-16,1,1
2013-11-16,1,1
2013-12-12,1,1
2013-12-14,1,1
2014-10-11,1,1
2014-10-31,1,1
2015-03-27,1,1
2015-04-20,1,1
2015-05-22,1,1
2015-06-22,1,1
2015-06-27,1,1
2015-09-24,1,1
2015-10-23,1,1
2015-10-31,2,2
2015-11-05,1,1
2015-11-09,1,1
2015-11-10,1,1
2015-11-13,1,1
2015-11-14,1,1
2015-12-12,2,2
2016-02-08,1,1
2016-02-22,1,1
2016-03-09,1,1
2016-05-04,1,1
2016-05-25,1,1
2016-08-31,1,1
2016-10-05,1,1
2016-10-06,1,1
2016-10-08,1,1
2016-11-19,1,1
2016-12-08,1,1
2016-12-10,1,1
2017-02-17,1,1
2017-04-03,1,1
2017-05-18,2,2
2017-05-27,1,1
2017-09-05,1,1
2017-11-13,1,1
2018-09-04,1,1
2018-09-19,1,1
2018-11-10,1,1
2018-11-15,1,1
2018-12-03,1,1
2018-12-11,1,1
2018-12-19,1,1
2019-01-21,2,2
2019-01-26,1,1
2019-02-08,1,1
2019-02-18,1,1
2019-03-02,1,1
2019-03-07,1,1
2019-03-13,1,1
2019-03-19,1,1
2019-04-06,1,1
2019-04-08,1,1
2019-04-12,1,1
2019-05-07,1,1
2019-05-08,1,1
2019-05-11,1,1
2019-05-13,1,1
2019-05-14,1,1
2019-05-16,1,1
2019-05-20,1,1
2019-06-01,1,1
2019-06-12,1,1
2019-06-17,1,1
2019-07-09,1,1
2019-07-12,1,1
2019-07-16,1,1
2019-07-17,1,1
2019-07-24,1,1
2019-07-29,1,1
2019-07-31,1,1
2019-08-02,1,1
2019-08-03,4,4
2019-08-05,1,1
2019-08-09,1,1
2019-08-12,1,1
2019-08-14,1,1
2019-08-17,1,1
2019-08-19,1,1
2019-08-20,2,2
2019-08-24,2,2
2019-08-30,1,1
2019-09-03,1,1
2019-09-05,1,1
2019-09-11,1,1
2019-09-16,1,1
2019-09-17,1,1
2019-09-21,2,2
2019-09-23,1,1
2019-09-24,1,1
2019-09-25,1,1
2019-09-28,2,2
2019-09-30,1,1
2019-10-05,1,1
2019-10-08,4,4
2019-10-09,1,1
2019-10-11,1,1
2019-10-12,1,1
2019-10-15,1,1
2019-10-16,2,2
2019-10-17,1,1
2019-10-18,2,2
2019-10-23,2,2
2019-10-24,2,2
2019-10-26,1,1
2019-11-05,1,1
2019-11-06,1,1
2019-11-13,1,1
2019-11-21,2,2
2019-11-27,1,1
2019-11-28,1,1
2019-11-29,2,2
2019-11-30,2,2
2019-12-03,1,1
2019-12-04,1,1
2019-12-13,1,1
2019-12-16,1,1
2019-12-20,1,1
2019-12-27,1,1
2019-12-28,1,1
2020-01-03,1,1
2020-01-04,1,1
2020-01-07,2,2
2020-01-09,1,1
2020-01-15,1,1
2020-01-16,1,1
2020-01-17,1,1
2020-01-21,1,1
2020-01-22,3,3
2020-02-03,1,1
2020-02-04,1,1
2020-02-05,1,1
2020-02-06,1,1
2020-02-07,2,2
2020-02-10,1,1
2020-02-13,1,1
2020-02-19,2,2
2020-02-20,1,1
2020-02-28,1,1
2020-03-02,1,1
2020-03-12,1,1
2020-04-23,1,1
2020-04-25,1,1
2020-04-28,1,1
2020-05-04,1,1
2020-06-03,1,1
2020-06-13,1,1
2020-06-22,1,1
2020-07-11,1,1
2020-07-17,1,1
2020-08-06,1,1
2020-08-10,2,2
2020-08-12,1,1
2020-08-14,1,1
2020-08-21,1,1
2020-08-24,1,1
2020-09-01,2,2
2020-09-03,1,1
2020-09-09,3,3
2020-09-16,1,1
2020-09-23,2,2
2020-09-24,1,1
2020-09-25,1,1
2020-09-26,1,1
2020-10-06,1,1
2020-10-12,1,1
2020-10-14,2,2
2020-10-19,1,1
2020-10-21,1,1
2020-10-22,1,1
2020-10-24,1,1
2020-10-26,1,1
2020-10-27,1,1
2020-10-28,1,1
2020-11-02,1,1
2020-11-28,1,1
2020-11-30,1,1
2020-12-01,1,1
2020-12-08,1,1
2020-12-09,1,1
2020-12-22,1,1
2020-12-28,2,2
2020-12-30,1,1
2020-12-31,1,1
2021-01-02,1,1
2021-01-05,2,2
2021-01-06,1,1
2021-01-11,1,1
2021-01-29,4,4
2021-02-09,1,1
2021-02-18,2,2
2021-02-22,1,1
2021-02-27,1,1
2021-03-03,1,1
2021-03-08,1,1
2021-03-09,1,1
2021-03-11,1,1
2021-03-19,1,1
2021-03-20,1,1
2021-03-25,1,1
2021-04-07,1,1
2021-04-13,2,2
2021-04-15,1,1
2021-04-17,1,1
2021-04-19,1,1
2021-04-23,1,1
2021-04-29,1,1
2021-05-05,1,1
2021-05-14,1,1
2021-06-04,1,1
2021-06-05,1,1
2021-06-15,1,1
2021-06-19,2,2
2021-06-24,1,1
2021-06-25,1,1
2021-07-03,1,1
2021-07-05,1,1
2021-07-16,3,3
2021-07-21,1,1
2021-07-23,2,2
2021-07-24,3,3
2021-07-30,2,2
2021-08-02,1,1
2021-08-04,2,2
2021-08-05,1,1
2021-08-06,2,2
2021-08-07,3,3
2021-08-11,1,1
2021-08-12,2,2
2021-08-13,2,2
2021-08-14,1,1
2021-08-20,1,1
2021-08-21,1,1
2021-08-27,3,3
2021-09-03,3,3
2021-09-04,2,2
2021-09-06,1,1
2021-09-10,2,2
2021-09-14,2,2
2021-09-16,1,1
2021-09-17,2,2
2021-09-18,2,2
2021-09-21,1,1
2021-09-22,1,1
2021-09-23,1,1
2021-09-25,4,4
2021-10-01,3,3
2021-10-02,2,2
2021-10-08,3,3
2021-10-09,2,2
2021-10-16,2,2
2021-10-18,2,2
2021-10-20,1,1
2021-10-22,2,2
2021-10-23,3,3
2021-10-25,1,1
2021-10-29,1,1
2021-10-30,1,1
2021-11-02,2,2
2021-11-04,2,2
2021-11-05,1,1
2021-11-08,3,3
2021-11-10,1,1
2021-11-12,2,2
2021-11-13,1,1
2021-11-20,2,2
2021-11-25,2,2
2021-11-26,3,3
2021-11-30,1,1
2021-12-03,1,1
2021-12-04,1,1
2021-12-09,1,1
2021-12-15,1,1
2021-12-17,2,2
2021-12-18,1,1
2021-12-23,1,1
2021-12-31,1,1
2022-01-08,1,1
2022-01-10,1,1
2022-01-14,1,1
2022-01-15,1,1
