date,hit_count,text_count
2000-01-20,1,1
2000-03-11,1,1
2000-08-28,1,1
2000-08-29,1,1
2000-09-21,1,1
2000-10-26,1,1
2000-11-14,1,1
2000-11-24,2,2
2001-03-05,1,1
2001-03-28,2,2
2001-06-01,1,1
2001-06-12,1,1
2001-06-13,1,1
2001-06-16,2,2
2001-06-22,1,1
2001-07-14,1,1
2001-07-19,1,1
2001-07-20,1,1
2001-07-23,2,2
2001-07-28,2,2
2001-08-23,1,1
2001-09-14,1,1
2001-09-18,1,1
2001-09-22,1,1
2001-09-29,1,1
2001-10-06,1,1
2001-11-02,1,1
2001-11-12,1,1
2001-12-07,1,1
2002-01-04,1,1
2002-02-08,1,1
2002-02-09,1,1
2002-02-25,1,1
2002-03-19,1,1
2002-03-25,1,1
2002-04-12,1,1
2002-05-11,1,1
2002-05-22,1,1
2002-05-24,1,1
2002-07-02,1,1
2002-07-19,1,1
2002-07-30,1,1
2002-08-20,1,1
2002-08-23,2,2
2002-08-30,2,2
2002-09-02,1,1
2002-09-05,1,1
2002-09-09,1,1
2002-09-13,1,1
2002-09-14,1,1
2002-09-18,1,1
2002-09-24,1,1
2002-09-30,1,1
2002-10-05,1,1
2002-12-30,1,1
2003-01-11,1,1
2003-01-14,1,1
2003-02-26,1,1
2003-04-07,1,1
2003-04-30,1,1
2003-05-21,1,1
2003-06-23,1,1
2003-06-25,2,2
2003-07-28,1,1
2003-10-15,1,1
2003-12-16,2,2
2004-02-03,1,1
2004-03-03,1,1
2004-03-18,1,1
2004-03-22,1,1
2004-03-31,3,3
2004-05-26,1,1
2004-05-27,1,1
2004-06-01,1,1
2004-06-04,1,1
2004-06-07,1,1
2004-09-25,1,1
2004-10-23,1,1
2004-12-09,1,1
2004-12-22,2,2
2005-02-05,1,1
2005-02-09,2,2
2005-02-10,1,1
2005-02-14,1,1
2005-02-16,2,2
2005-02-22,2,2
2005-02-23,1,1
2005-02-24,1,1
2005-02-25,1,1
2005-04-23,1,1
2005-05-11,1,1
2005-05-12,1,1
2005-06-01,1,1
2005-06-10,1,1
2005-07-04,3,3
2005-07-05,2,2
2005-07-06,1,1
2005-07-08,1,1
2005-07-09,1,1
2005-07-12,1,1
2005-07-13,1,1
2005-07-19,1,1
2005-08-10,1,1
2005-09-13,1,1
2005-09-17,1,1
2005-09-29,2,2
2005-10-28,2,2
2005-10-31,1,1
2005-12-08,2,2
2005-12-12,1,1
2006-01-25,1,1
2006-02-07,1,1
2006-02-13,2,2
2006-02-16,1,1
2006-02-20,1,1
2006-03-04,1,1
2006-03-23,1,1
2006-04-10,2,2
2006-05-11,1,1
2006-05-13,1,1
2006-05-23,1,1
2006-06-17,1,1
2006-07-15,1,1
2006-07-18,2,2
2006-08-26,1,1
2006-08-29,2,2
2006-09-25,1,1
2006-09-29,1,1
2006-10-04,1,1
2006-10-10,1,1
2006-10-11,1,1
2006-11-07,1,1
2006-11-08,1,1
2006-11-13,2,2
2006-11-18,1,1
2006-11-24,1,1
2006-12-15,1,1
2006-12-27,1,1
2007-01-15,1,1
2007-01-26,1,1
2007-01-27,1,1
2007-02-01,1,1
2007-02-03,3,3
2007-02-05,1,1
2007-02-07,1,1
2007-02-09,1,1
2007-02-22,1,1
2007-02-28,1,1
2007-03-01,1,1
2007-03-05,3,3
2007-03-06,1,1
2007-03-08,1,1
2007-03-13,1,1
2007-03-14,2,2
2007-03-17,2,2
2007-03-19,1,1
2007-03-21,3,3
2007-03-23,1,1
2007-03-24,1,1
2007-03-27,2,2
2007-03-29,1,1
2007-04-03,1,1
2007-04-05,1,1
2007-04-07,1,1
2007-04-11,1,1
2007-04-12,1,1
2007-04-13,1,1
2007-04-24,1,1
2007-04-26,1,1
2007-05-03,2,2
2007-05-05,1,1
2007-05-08,1,1
2007-05-10,1,1
2007-05-12,2,2
2007-05-14,3,3
2007-05-16,1,1
2007-05-19,1,1
2007-05-22,2,2
2007-05-24,2,2
2007-05-26,2,2
2007-05-29,4,4
2007-05-30,3,3
2007-06-01,3,3
2007-06-04,1,1
2007-06-05,1,1
2007-06-06,2,2
2007-06-08,4,4
2007-06-09,3,3
2007-06-11,2,2
2007-06-12,1,1
2007-06-13,3,3
2007-06-16,1,1
2007-06-20,1,1
2007-06-23,2,2
2007-06-29,2,2
2007-07-04,2,2
2007-07-06,1,1
2007-07-07,2,2
2007-07-09,2,2
2007-07-12,2,2
2007-07-14,1,1
2007-07-17,1,1
2007-07-27,1,1
2007-07-31,1,1
2007-08-03,1,1
2007-08-04,2,2
2007-08-11,1,1
2007-08-17,1,1
2007-08-24,1,1
2007-09-03,1,1
2007-09-04,1,1
2007-09-05,3,3
2007-09-06,3,3
2007-09-08,1,1
2007-09-10,1,1
2007-09-13,1,1
2007-09-14,1,1
2007-09-17,3,3
2007-09-18,1,1
2007-09-19,1,1
2007-09-22,2,2
2007-09-29,1,1
2007-10-05,2,2
2007-10-08,1,1
2007-10-13,1,1
2007-10-15,2,2
2007-10-18,1,1
2007-10-27,1,1
2007-10-29,1,1
2007-10-30,1,1
2007-11-02,1,1
2007-11-09,1,1
2007-11-10,2,2
2007-11-12,1,1
2007-11-14,1,1
2007-11-15,3,3
2007-11-16,1,1
2007-11-17,1,1
2007-11-19,3,3
2007-11-20,1,1
2007-11-21,2,2
2007-11-22,1,1
2007-11-23,1,1
2007-11-27,1,1
2007-11-28,1,1
2007-12-04,2,2
2007-12-05,1,1
2007-12-06,1,1
2007-12-07,3,3
2007-12-08,4,4
2007-12-10,5,5
2007-12-12,1,1
2007-12-14,1,1
2007-12-15,1,1
2007-12-17,2,2
2007-12-19,1,1
2007-12-21,1,1
2007-12-22,2,2
2007-12-24,1,1
2007-12-31,1,1
2008-01-02,1,1
2008-01-11,1,1
2008-01-18,1,1
2008-01-22,1,1
2008-01-24,1,1
2008-01-25,1,1
2008-01-28,1,1
2008-01-29,1,1
2008-02-02,2,2
2008-02-04,1,1
2008-02-06,1,1
2008-02-19,1,1
2008-02-26,1,1
2008-03-04,2,2
2008-03-06,1,1
2008-03-08,1,1
2008-03-14,1,1
2008-03-25,2,2
2008-04-03,1,1
2008-04-04,1,1
2008-04-09,1,1
2008-04-16,1,1
2008-04-18,1,1
2008-04-21,1,1
2008-04-22,1,1
2008-04-23,1,1
2008-04-25,2,2
2008-05-02,1,1
2008-05-07,2,2
2008-05-09,1,1
2008-05-13,1,1
2008-05-20,3,3
2008-05-21,1,1
2008-05-24,1,1
2008-05-27,1,1
2008-05-29,1,1
2008-06-02,2,2
2008-06-04,1,1
2008-06-12,1,1
2008-06-19,3,3
2008-06-23,1,1
2008-06-28,1,1
2008-07-01,1,1
2008-07-03,1,1
2008-07-07,1,1
2008-07-09,4,4
2008-07-11,1,1
2008-07-12,1,1
2008-07-15,1,1
2008-07-19,1,1
2008-07-24,1,1
2008-07-28,1,1
2008-07-31,1,1
2008-08-06,1,1
2008-08-11,1,1
2008-08-16,1,1
2008-08-21,1,1
2008-08-26,1,1
2008-09-02,1,1
2008-09-06,2,2
2008-09-15,1,1
2008-09-17,1,1
2008-09-20,1,1
2008-09-24,1,1
2008-09-29,1,1
2008-10-09,1,1
2008-10-22,1,1
2008-10-28,1,1
2008-11-03,1,1
2008-11-04,1,1
2008-11-10,1,1
2008-11-12,1,1
2008-11-18,1,1
2008-11-22,1,1
2008-11-28,1,1
2008-11-29,1,1
2008-12-02,1,1
2008-12-06,1,1
2008-12-12,1,1
2008-12-13,2,2
2008-12-20,1,1
2008-12-22,1,1
2009-01-12,1,1
2009-01-13,1,1
2009-01-15,1,1
2009-01-20,1,1
2009-01-21,2,2
2009-02-02,1,1
2009-02-04,1,1
2009-02-05,1,1
2009-02-12,1,1
2009-02-18,2,2
2009-03-28,1,1
2009-04-04,1,1
2009-04-11,1,1
2009-04-24,1,1
2009-04-25,2,2
2009-04-27,3,3
2009-04-29,1,1
2009-05-08,1,1
2009-05-16,1,1
2009-05-30,2,2
2009-06-02,2,2
2009-06-08,1,1
2009-06-17,1,1
2009-06-18,3,3
2009-06-19,1,1
2009-06-20,2,2
2009-06-25,1,1
2009-06-30,1,1
2009-07-08,2,2
2009-07-10,1,1
2009-07-11,1,1
2009-07-16,1,1
2009-07-25,1,1
2009-07-28,1,1
2009-08-01,1,1
2009-08-06,1,1
2009-08-08,1,1
2009-08-12,2,2
2009-08-18,1,1
2009-09-03,1,1
2009-09-08,3,3
2009-09-11,1,1
2009-09-16,1,1
2009-09-19,2,2
2009-09-21,2,2
2009-09-22,2,2
2009-09-23,1,1
2009-09-24,1,1
2009-09-26,1,1
2009-09-30,1,1
2009-10-06,2,2
2009-10-09,2,2
2009-10-12,1,1
2009-10-17,1,1
2009-10-19,1,1
2009-10-29,1,1
2009-10-30,2,2
2009-10-31,1,1
2009-11-03,1,1
2009-11-04,3,3
2009-11-07,1,1
2009-11-12,1,1
2009-11-17,2,2
2009-11-20,1,1
2009-11-28,1,1
2009-11-30,1,1
2009-12-05,2,2
2009-12-07,2,2
2009-12-08,2,2
2009-12-09,2,2
2009-12-10,2,2
2009-12-12,6,6
2009-12-14,1,1
2009-12-16,3,3
2009-12-17,1,1
2009-12-18,1,1
2009-12-19,3,3
2009-12-21,2,2
2009-12-29,1,1
2009-12-30,1,1
2010-01-02,1,1
2010-01-12,1,1
2010-01-13,1,1
2010-01-20,1,1
2010-01-25,1,1
2010-01-28,1,1
2010-02-01,1,1
2010-02-05,1,1
2010-02-11,1,1
2010-02-15,2,2
2010-02-17,1,1
2010-02-18,1,1
2010-02-19,2,2
2010-02-27,1,1
2010-03-05,1,1
2010-03-15,1,1
2010-03-18,1,1
2010-03-29,1,1
2010-04-03,1,1
2010-04-07,3,3
2010-04-09,1,1
2010-04-12,1,1
2010-04-30,2,2
2010-05-27,2,2
2010-06-08,1,1
2010-06-17,1,1
2010-06-19,1,1
2010-06-23,1,1
2010-06-24,1,1
2010-07-02,1,1
2010-07-08,1,1
2010-07-17,1,1
2010-07-20,1,1
2010-07-21,1,1
2010-07-27,1,1
2010-07-28,1,1
2010-08-05,2,2
2010-08-12,1,1
2010-08-18,2,2
2010-08-27,1,1
2010-08-30,1,1
2010-08-31,1,1
2010-09-08,1,1
2010-09-11,1,1
2010-09-14,1,1
2010-09-22,2,2
2010-09-23,2,2
2010-09-25,1,1
2010-09-27,2,2
2010-09-29,1,1
2010-09-30,2,2
2010-10-05,1,1
2010-10-06,1,1
2010-10-07,2,2
2010-10-08,1,1
2010-10-09,1,1
2010-10-11,2,2
2010-10-12,1,1
2010-10-13,1,1
2010-10-14,1,1
2010-10-19,1,1
2010-10-23,1,1
2010-10-29,1,1
2010-11-18,1,1
2010-11-29,1,1
2010-12-06,1,1
2010-12-07,1,1
2010-12-13,4,4
2010-12-15,1,1
2010-12-31,1,1
2011-01-11,1,1
2011-01-26,1,1
2011-02-03,1,1
2011-03-03,2,2
2011-03-10,1,1
2011-03-19,1,1
2011-03-29,1,1
2011-04-02,1,1
2011-04-07,1,1
2011-04-08,2,2
2011-04-12,1,1
2011-04-15,1,1
2011-04-23,3,3
2011-04-26,1,1
2011-05-03,1,1
2011-05-05,1,1
2011-05-20,1,1
2011-05-31,2,2
2011-06-18,1,1
2011-06-20,1,1
2011-06-21,2,2
2011-07-04,1,1
2011-07-05,1,1
2011-07-11,1,1
2011-07-15,1,1
2011-07-26,1,1
2011-07-28,1,1
2011-08-17,1,1
2011-09-01,1,1
2011-09-15,2,2
2011-09-16,1,1
2011-10-04,1,1
2011-10-21,1,1
2011-10-26,2,2
2011-10-27,1,1
2011-11-05,1,1
2011-11-10,2,2
2011-11-11,2,2
2011-11-15,2,2
2011-11-28,2,2
2011-12-05,1,1
2011-12-08,2,2
2011-12-10,2,2
2011-12-12,3,3
2011-12-14,1,1
2011-12-22,1,1
2011-12-24,1,1
2012-01-16,1,1
2012-01-31,1,1
2012-02-09,1,1
2012-02-24,1,1
2012-03-01,1,1
2012-03-02,1,1
2012-03-13,1,1
2012-04-25,1,1
2012-05-02,1,1
2012-05-03,2,2
2012-05-08,1,1
2012-05-21,1,1
2012-05-23,1,1
2012-05-25,1,1
2012-06-01,1,1
2012-06-16,1,1
2012-06-20,3,3
2012-06-22,1,1
2012-06-26,1,1
2012-07-07,1,1
2012-07-09,1,1
2012-08-10,2,2
2012-08-17,2,2
2012-08-25,1,1
2012-08-29,1,1
2012-08-30,1,1
2012-09-04,1,1
2012-09-10,1,1
2012-09-20,1,1
2012-09-21,2,2
2012-10-04,1,1
2012-11-09,1,1
2012-11-13,1,1
2012-11-22,1,1
2012-11-26,1,1
2012-12-01,1,1
2012-12-03,1,1
2012-12-05,1,1
2012-12-07,2,2
2012-12-08,2,2
2012-12-11,1,1
2012-12-12,1,1
2012-12-29,1,1
2013-01-18,1,1
2013-01-19,2,2
2013-01-21,1,1
2013-01-22,1,1
2013-01-23,1,1
2013-01-28,1,1
2013-02-08,1,1
2013-02-11,1,1
2013-02-21,2,2
2013-03-11,2,2
2013-05-04,1,1
2013-05-13,1,1
2013-05-16,2,2
2013-05-22,1,1
2013-05-25,1,1
2013-05-27,1,1
2013-06-15,3,3
2013-06-26,1,1
2013-06-28,1,1
2013-07-16,1,1
2013-07-29,1,1
2013-08-05,1,1
2013-08-19,1,1
2013-08-30,1,1
2013-09-02,1,1
2013-09-13,1,1
2013-09-19,1,1
2013-09-21,1,1
2013-09-28,1,1
2013-10-05,1,1
2013-10-19,1,1
2013-10-22,1,1
2013-10-24,1,1
2013-11-06,1,1
2013-11-07,1,1
2013-11-11,2,2
2013-11-18,1,1
2013-11-22,4,4
2013-11-25,1,1
2013-11-30,1,1
2013-12-04,1,1
2013-12-12,1,1
2013-12-30,1,1
2014-01-06,2,2
2014-01-09,1,1
2014-01-17,1,1
2014-01-21,1,1
2014-01-23,1,1
2014-01-24,1,1
2014-02-18,1,1
2014-02-19,1,1
2014-03-04,1,1
2014-03-13,1,1
2014-03-14,1,1
2014-03-31,1,1
2014-04-01,3,3
2014-04-14,2,2
2014-05-02,1,1
2014-05-10,1,1
2014-05-26,1,1
2014-06-10,1,1
2014-08-05,1,1
2014-08-20,1,1
2014-08-26,1,1
2014-09-01,1,1
2014-09-03,1,1
2014-09-11,1,1
2014-09-18,1,1
2014-09-22,4,4
2014-09-24,2,2
2014-09-25,2,2
2014-10-17,1,1
2014-10-21,2,2
2014-10-24,2,2
2014-10-30,1,1
2014-11-06,1,1
2014-11-10,1,1
2014-11-13,2,2
2014-11-17,1,1
2014-11-26,1,1
2014-12-01,1,1
2014-12-09,1,1
2014-12-15,1,1
2014-12-18,1,1
2014-12-27,1,1
2014-12-30,1,1
2014-12-31,1,1
2015-01-07,1,1
2015-01-21,1,1
2015-01-22,1,1
2015-02-23,1,1
2015-03-20,1,1
2015-03-24,2,2
2015-04-25,2,2
2015-05-12,1,1
2015-05-13,1,1
2015-05-18,1,1
2015-05-27,1,1
2015-05-30,2,2
2015-06-01,1,1
2015-06-02,1,1
2015-06-03,1,1
2015-06-15,2,2
2015-06-16,1,1
2015-06-17,1,1
2015-06-19,2,2
2015-06-20,1,1
2015-06-25,1,1
2015-07-23,2,2
2015-08-04,2,2
2015-08-14,1,1
2015-08-17,2,2
2015-08-18,1,1
2015-08-27,1,1
2015-08-29,2,2
2015-09-03,1,1
2015-09-10,1,1
2015-09-26,2,2
2015-10-15,1,1
2015-10-21,1,1
2015-10-23,1,1
2015-10-24,1,1
2015-10-31,2,2
2015-11-03,1,1
2015-11-05,1,1
2015-11-09,1,1
2015-11-13,1,1
2015-11-14,2,2
2015-11-18,1,1
2015-11-20,1,1
2015-11-30,2,2
2015-12-07,1,1
2015-12-09,3,3
2015-12-10,1,1
2015-12-12,2,2
2015-12-14,1,1
2015-12-16,1,1
2015-12-22,1,1
2015-12-31,1,1
2016-01-02,1,1
2016-01-09,1,1
2016-01-12,1,1
2016-01-16,1,1
2016-01-22,1,1
2016-02-08,1,1
2016-02-12,1,1
2016-02-15,1,1
2016-02-16,2,2
2016-02-24,1,1
2016-02-25,2,2
2016-03-01,2,2
2016-03-02,1,1
2016-03-09,1,1
2016-03-16,1,1
2016-03-18,1,1
2016-03-21,1,1
2016-03-23,4,4
2016-03-24,1,1
2016-03-26,1,1
2016-03-30,2,2
2016-03-31,1,1
2016-04-20,1,1
2016-04-28,3,3
2016-04-29,1,1
2016-05-04,1,1
2016-05-07,1,1
2016-05-10,1,1
2016-05-18,1,1
2016-05-24,2,2
2016-06-09,3,3
2016-06-15,2,2
2016-06-30,1,1
2016-08-06,1,1
2016-08-11,1,1
2016-08-19,1,1
2016-08-26,1,1
2016-08-31,1,1
2016-09-05,1,1
2016-09-07,1,1
2016-09-08,1,1
2016-09-17,2,2
2016-09-30,1,1
2016-10-07,1,1
2016-10-10,1,1
2016-10-11,1,1
2016-10-18,2,2
2016-10-24,2,2
2016-10-26,1,1
2016-10-27,1,1
2016-10-28,1,1
2016-11-05,2,2
2016-11-07,1,1
2016-11-09,2,2
2016-11-11,1,1
2016-11-12,1,1
2016-11-17,1,1
2016-11-19,1,1
2016-11-24,1,1
2016-11-25,1,1
2016-12-02,2,2
2016-12-07,1,1
