date,hit_count,text_count
2011-07-22,2,2
2011-07-26,1,1
2011-07-28,1,1
2011-08-01,3,3
2011-08-09,1,1
2011-08-10,1,1
2011-08-18,1,1
2011-09-24,1,1
2011-09-26,1,1
2011-10-04,1,1
2011-10-06,1,1
2011-10-15,1,1
2011-10-19,1,1
2011-10-26,1,1
2011-10-27,1,1
2011-10-31,1,1
2011-11-12,1,1
2011-11-16,1,1
2011-11-21,1,1
2011-11-25,1,1
2011-12-08,2,2
2011-12-09,1,1
2011-12-12,2,2
2011-12-13,1,1
2011-12-30,1,1
2012-01-19,1,1
2012-01-21,1,1
2012-01-27,1,1
2012-01-28,1,1
2012-02-04,1,1
2012-02-08,1,1
2012-02-21,1,1
2012-02-24,1,1
2012-02-29,1,1
2012-03-01,1,1
2012-03-12,1,1
2012-03-14,1,1
2012-03-15,1,1
2012-03-16,1,1
2012-03-20,1,1
2012-03-29,2,2
2012-04-03,2,2
2012-04-17,1,1
2012-04-24,1,1
2012-05-04,1,1
2012-05-05,1,1
2012-05-23,1,1
2012-05-30,1,1
2012-05-31,1,1
2012-06-14,1,1
2012-06-16,1,1
2012-06-20,1,1
2012-06-23,2,2
2012-06-26,1,1
2012-06-29,2,2
2012-07-03,2,2
2012-07-06,1,1
2012-07-09,1,1
2012-07-17,1,1
2012-07-19,2,2
2012-07-24,1,1
2012-07-27,1,1
2012-08-13,1,1
2012-08-21,1,1
2012-08-25,1,1
2012-08-30,1,1
2012-09-15,1,1
2012-09-19,1,1
2012-09-26,2,2
2012-09-29,1,1
2012-10-12,1,1
2012-10-15,2,2
2012-10-20,1,1
2012-10-23,1,1
2012-10-26,1,1
2012-10-30,1,1
2012-11-09,1,1
2012-11-21,1,1
2012-11-23,1,1
2012-11-26,1,1
2012-11-27,1,1
2012-12-08,1,1
2012-12-10,1,1
2012-12-13,1,1
2013-01-05,1,1
2013-01-10,1,1
2013-01-26,1,1
2013-01-28,1,1
2013-02-14,1,1
2013-02-27,1,1
2013-03-11,1,1
2013-03-14,1,1
2013-03-15,1,1
2013-03-20,1,1
2013-04-17,1,1
2013-04-23,2,2
2013-04-27,1,1
2013-06-01,1,1
2013-06-03,1,1
2013-06-15,1,1
2013-06-24,1,1
2013-06-26,2,2
2013-07-22,1,1
2013-08-02,1,1
2013-08-16,1,1
2013-08-19,1,1
2013-08-21,1,1
2013-08-26,1,1
2013-09-14,1,1
2013-09-28,2,2
2013-10-14,1,1
2013-10-16,1,1
2013-10-26,1,1
2013-11-06,1,1
2013-11-13,1,1
2013-11-14,2,2
2013-11-21,1,1
2013-11-22,1,1
2013-11-23,1,1
2013-11-25,1,1
2013-11-29,1,1
2013-12-09,1,1
2013-12-14,1,1
2013-12-18,1,1
2014-01-08,1,1
2014-01-13,1,1
2014-01-20,1,1
2014-01-30,2,2
2014-02-03,1,1
2014-02-10,3,3
2014-02-18,1,1
2014-03-03,1,1
2014-03-12,1,1
2014-03-19,1,1
2014-03-25,1,1
2014-03-28,1,1
2014-03-31,1,1
2014-04-01,1,1
2014-04-12,1,1
2014-04-19,1,1
2014-04-28,1,1
2014-05-17,1,1
2014-06-05,1,1
2014-07-11,1,1
2014-07-28,1,1
2014-07-29,1,1
2014-09-02,1,1
2014-09-15,1,1
2014-09-20,1,1
2014-09-22,1,1
2014-09-23,2,2
2014-09-24,1,1
2014-10-14,1,1
2014-10-19,1,1
2014-10-21,1,1
2014-10-22,1,1
2014-10-25,2,2
2014-11-03,1,1
2014-11-07,2,2
2014-11-10,1,1
2014-11-11,1,1
2014-11-12,2,2
2014-11-15,1,1
2014-11-18,2,2
2014-11-24,1,1
2014-12-03,1,1
2014-12-05,1,1
2014-12-15,1,1
2014-12-18,1,1
2014-12-20,1,1
2014-12-22,1,1
2014-12-29,1,1
2014-12-30,1,1
2015-01-02,1,1
2015-01-12,1,1
2015-02-16,1,1
2015-02-21,1,1
2015-02-23,2,2
2015-02-24,1,1
2015-03-02,1,1
2015-03-04,1,1
2015-03-05,1,1
2015-03-24,1,1
2015-04-16,1,1
2015-04-25,2,2
2015-04-27,1,1
2015-04-28,1,1
2015-04-30,2,2
2015-05-05,1,1
2015-05-12,1,1
2015-05-13,1,1
2015-05-23,1,1
2015-05-30,2,2
2015-06-06,1,1
2015-06-08,1,1
2015-06-09,2,2
2015-06-10,1,1
2015-06-13,1,1
2015-06-20,1,1
2015-06-25,1,1
2015-06-26,1,1
2015-06-29,1,1
2015-07-06,1,1
2015-07-08,1,1
2015-07-09,1,1
2015-07-11,1,1
2015-07-13,1,1
2015-07-25,1,1
2015-08-01,1,1
2015-08-04,1,1
2015-08-15,1,1
2015-08-17,1,1
2015-08-21,1,1
2015-08-28,1,1
2015-08-29,1,1
2015-09-16,1,1
2015-09-22,1,1
2015-09-24,2,2
2015-09-25,1,1
2015-10-02,1,1
2015-10-09,1,1
2015-10-20,1,1
2015-10-24,1,1
2015-10-26,1,1
2015-10-29,1,1
2015-11-12,1,1
2015-11-17,1,1
2015-11-20,1,1
2015-11-21,1,1
2015-11-27,1,1
2015-11-28,2,2
2015-11-30,1,1
2015-12-02,1,1
2015-12-04,1,1
2015-12-07,2,2
2015-12-08,1,1
2015-12-14,1,1
2015-12-31,2,2
2016-01-09,2,2
2016-01-14,2,2
2016-01-20,1,1
2016-02-10,1,1
2016-02-12,1,1
2016-02-16,1,1
2016-02-23,1,1
2016-02-24,1,1
2016-03-10,2,2
2016-03-17,2,2
2016-03-18,3,3
2016-03-21,1,1
2016-03-22,1,1
2016-03-23,2,2
2016-03-24,2,2
2016-04-02,4,4
2016-04-09,1,1
2016-04-11,2,2
2016-04-28,1,1
2016-05-02,1,1
2016-05-04,1,1
2016-05-06,1,1
2016-05-09,1,1
2016-05-23,1,1
2016-06-02,2,2
2016-06-06,1,1
2016-06-15,1,1
2016-07-04,2,2
2016-07-09,1,1
2016-07-14,1,1
2016-07-15,1,1
2016-08-10,1,1
2016-08-12,1,1
2016-08-20,1,1
2016-08-23,2,2
2016-08-24,1,1
2016-08-25,1,1
2016-08-26,1,1
2016-08-27,1,1
2016-09-07,1,1
2016-09-08,1,1
2016-09-22,1,1
2016-10-01,1,1
2016-10-13,1,1
2016-10-19,2,2
2016-10-29,1,1
2016-11-03,1,1
2016-11-04,1,1
2016-11-08,2,2
2016-11-10,3,3
2016-11-15,1,1
2016-11-26,1,1
2016-11-28,1,1
2016-11-29,1,1
2016-11-30,1,1
2016-12-08,1,1
2016-12-09,1,1
2016-12-15,1,1
2016-12-17,1,1
2016-12-20,1,1
2016-12-30,1,1
2017-01-05,1,1
2017-01-12,2,2
2017-01-14,2,2
2017-01-28,1,1
2017-02-06,1,1
2017-02-27,1,1
2017-03-02,1,1
2017-03-03,1,1
2017-03-09,1,1
2017-03-14,1,1
2017-03-20,1,1
2017-03-24,1,1
2017-03-25,2,2
2017-03-28,1,1
2017-03-30,2,2
2017-03-31,1,1
2017-04-05,3,3
2017-04-07,1,1
2017-04-10,1,1
2017-04-11,1,1
2017-04-21,1,1
2017-04-22,2,2
2017-04-24,1,1
2017-04-28,1,1
2017-05-03,1,1
2017-05-04,1,1
2017-05-05,1,1
2017-05-17,1,1
2017-05-22,1,1
2017-05-23,1,1
2017-05-24,2,2
2017-05-27,1,1
2017-05-29,4,4
2017-06-02,2,2
2017-06-03,3,3
2017-06-22,1,1
2017-06-26,1,1
2017-06-30,1,1
2017-07-03,1,1
2017-07-04,1,1
2017-07-05,2,2
2017-07-06,1,1
2017-07-07,2,2
2017-07-08,3,3
2017-07-10,3,3
2017-07-11,1,1
2017-07-13,1,1
2017-07-24,1,1
2017-07-26,1,1
2017-08-01,1,1
2017-08-02,1,1
2017-08-03,1,1
2017-08-12,3,3
2017-08-16,1,1
2017-08-17,2,2
2017-08-18,1,1
2017-08-22,1,1
2017-08-23,1,1
2017-08-24,1,1
2017-08-25,3,3
2017-08-26,1,1
2017-09-01,1,1
2017-09-02,2,2
2017-09-04,1,1
2017-09-06,1,1
2017-09-09,1,1
2017-09-13,1,1
2017-09-15,1,1
2017-09-16,2,2
2017-09-18,1,1
2017-09-19,1,1
2017-09-20,1,1
2017-09-21,3,3
2017-09-22,1,1
2017-09-23,1,1
2017-09-29,1,1
2017-10-06,1,1
2017-10-14,1,1
2017-10-16,1,1
2017-10-21,2,2
2017-10-23,1,1
2017-11-02,1,1
2017-11-06,3,3
2017-11-07,2,2
2017-11-11,1,1
2017-11-13,2,2
2017-11-16,3,3
2017-11-17,1,1
2017-11-18,1,1
2017-11-25,1,1
2017-11-27,1,1
2017-11-28,1,1
2017-11-29,1,1
2017-11-30,2,2
2017-12-01,1,1
2017-12-04,2,2
2017-12-05,1,1
2017-12-06,1,1
2017-12-14,2,2
2017-12-15,1,1
2017-12-18,1,1
2017-12-27,1,1
2017-12-28,1,1
2018-01-08,1,1
2018-01-12,1,1
2018-01-13,2,2
2018-01-17,2,2
2018-01-24,1,1
2018-01-25,1,1
2018-01-26,2,2
2018-01-29,1,1
2018-02-03,2,2
2018-02-06,1,1
2018-02-27,1,1
2018-03-01,1,1
2018-03-03,1,1
2018-03-05,1,1
2018-03-15,1,1
2018-03-23,1,1
2018-03-31,1,1
2018-04-17,1,1
2018-04-19,1,1
2018-04-20,1,1
2018-04-23,1,1
2018-04-26,2,2
2018-04-27,3,3
2018-04-30,1,1
2018-05-03,1,1
2018-05-05,1,1
2018-05-08,3,3
2018-05-09,1,1
2018-05-12,1,1
2018-05-23,2,2
2018-05-29,1,1
2018-06-02,3,3
2018-06-11,1,1
2018-06-15,1,1
2018-06-16,1,1
2018-06-19,1,1
2018-06-22,1,1
2018-06-25,1,1
2018-06-29,1,1
2018-07-16,1,1
2018-07-17,1,1
2018-07-20,1,1
2018-07-26,1,1
2018-08-01,2,2
2018-08-08,1,1
2018-08-20,1,1
2018-08-24,1,1
2018-08-27,1,1
2018-08-28,1,1
2018-08-29,1,1
2018-08-30,1,1
2018-09-05,2,2
2018-09-06,2,2
2018-09-14,4,4
2018-09-15,2,2
2018-09-17,3,3
2018-09-20,2,2
2018-09-21,1,1
2018-09-22,1,1
2018-09-24,1,1
2018-09-25,3,3
2018-09-27,1,1
2018-09-28,3,3
2018-09-29,1,1
2018-10-01,1,1
2018-10-02,1,1
2018-10-04,1,1
2018-10-05,2,2
2018-10-06,2,2
2018-10-08,3,3
2018-10-09,4,4
2018-10-10,1,1
2018-10-15,1,1
2018-10-17,2,2
2018-10-18,1,1
2018-10-22,1,1
2018-10-23,1,1
2018-10-26,1,1
2018-10-29,1,1
2018-11-07,1,1
2018-11-19,2,2
2018-11-20,1,1
2018-11-24,2,2
2018-11-26,2,2
2018-11-28,4,4
2018-11-29,4,4
2018-12-03,2,2
2018-12-04,1,1
2018-12-05,1,1
2018-12-06,1,1
2018-12-07,2,2
2018-12-08,1,1
2018-12-10,2,2
2018-12-12,1,1
2018-12-15,2,2
2018-12-17,1,1
2018-12-18,1,1
2018-12-19,1,1
2018-12-21,1,1
2018-12-24,1,1
2018-12-27,3,3
2018-12-29,1,1
2018-12-31,2,2
2019-01-07,1,1
2019-01-11,2,2
2019-01-16,1,1
2019-01-19,6,6
2019-01-21,1,1
2019-01-22,1,1
2019-01-24,1,1
2019-01-26,3,3
2019-01-28,3,3
2019-01-29,1,1
2019-01-30,4,4
2019-01-31,1,1
2019-02-01,2,2
2019-02-02,5,5
2019-02-04,1,1
2019-02-05,1,1
2019-02-06,1,1
2019-02-07,2,2
2019-02-08,2,2
2019-02-09,3,3
2019-02-11,3,3
2019-02-12,2,2
2019-02-15,2,2
2019-02-16,1,1
2019-02-18,3,3
2019-02-19,1,1
2019-02-21,1,1
2019-02-23,7,7
2019-02-25,1,1
2019-02-26,1,1
2019-02-27,1,1
2019-02-28,1,1
2019-03-01,2,2
2019-03-02,7,7
2019-03-04,5,5
2019-03-06,5,5
2019-03-07,2,2
2019-03-08,2,2
2019-03-09,4,4
2019-03-11,3,3
2019-03-12,2,2
2019-03-13,8,8
2019-03-14,7,7
2019-03-15,2,2
2019-03-16,19,19
2019-03-18,3,3
2019-03-19,7,7
2019-03-20,5,5
2019-03-21,6,6
2019-03-22,4,4
2019-03-23,6,6
2019-03-25,2,2
2019-03-26,4,4
2019-03-27,5,5
2019-03-28,2,2
2019-03-29,3,3
2019-03-30,7,7
2019-04-01,4,4
2019-04-02,1,1
2019-04-03,2,2
2019-04-04,5,5
2019-04-05,3,3
2019-04-06,4,4
2019-04-08,2,2
2019-04-09,5,5
2019-04-10,5,5
2019-04-11,1,1
2019-04-12,2,2
2019-04-13,4,4
2019-04-15,1,1
2019-04-16,2,2
2019-04-17,2,2
2019-04-18,2,2
2019-04-20,2,2
2019-04-23,3,3
2019-04-24,3,3
2019-04-25,3,3
2019-04-26,3,3
2019-04-27,6,6
2019-04-29,2,2
2019-05-02,2,2
2019-05-03,2,2
2019-05-04,6,6
2019-05-06,1,1
2019-05-07,3,3
2019-05-08,3,3
2019-05-09,1,1
2019-05-10,6,6
2019-05-11,5,5
2019-05-13,1,1
2019-05-14,3,3
2019-05-15,2,2
2019-05-16,5,5
2019-05-17,2,2
2019-05-18,3,3
2019-05-20,4,4
2019-05-21,1,1
2019-05-22,2,2
2019-05-23,4,4
2019-05-24,5,5
2019-05-25,14,14
2019-05-27,6,6
2019-05-28,3,3
2019-05-29,2,2
2019-05-31,2,2
2019-06-01,3,3
2019-06-03,2,2
2019-06-04,2,2
2019-06-05,4,4
2019-06-06,2,2
2019-06-07,3,3
2019-06-08,4,4
2019-06-12,2,2
2019-06-13,6,6
2019-06-15,5,5
2019-06-17,1,1
2019-06-18,3,3
2019-06-19,2,2
2019-06-21,2,2
2019-06-22,2,2
2019-06-24,3,3
2019-06-25,4,4
2019-06-26,1,1
2019-06-27,1,1
2019-06-28,2,2
2019-06-29,5,5
2019-07-01,3,3
2019-07-02,1,1
2019-07-03,2,2
2019-07-04,3,3
2019-07-05,6,6
2019-07-06,6,6
2019-07-08,3,3
2019-07-09,3,3
2019-07-12,5,5
2019-07-13,6,6
2019-07-15,4,4
2019-07-16,2,2
2019-07-17,1,1
2019-07-18,1,1
2019-07-19,3,3
2019-07-20,5,5
2019-07-22,1,1
