date,hit_count,text_count
2011-07-18,1,1
2011-07-21,1,1
2011-07-26,1,1
2011-07-28,1,1
2011-08-02,1,1
2011-08-06,1,1
2011-08-10,2,2
2011-08-23,1,1
2011-08-27,1,1
2011-08-29,1,1
2011-08-30,1,1
2011-09-07,1,1
2011-09-23,2,2
2011-09-26,1,1
2011-09-28,1,1
2011-09-30,1,1
2011-10-19,1,1
2011-10-22,1,1
2011-11-05,1,1
2011-11-09,1,1
2011-11-17,1,1
2011-12-08,1,1
2011-12-09,1,1
2011-12-10,3,3
2011-12-12,1,1
2011-12-21,1,1
2012-01-02,1,1
2012-01-04,1,1
2012-01-05,1,1
2012-01-27,1,1
2012-01-30,1,1
2012-02-04,1,1
2012-02-07,2,2
2012-02-08,1,1
2012-02-10,3,3
2012-02-11,1,1
2012-03-01,1,1
2012-03-10,3,3
2012-03-12,1,1
2012-03-17,1,1
2012-03-22,2,2
2012-03-23,1,1
2012-03-27,1,1
2012-04-03,2,2
2012-04-17,1,1
2012-05-07,2,2
2012-05-16,1,1
2012-05-22,2,2
2012-06-15,1,1
2012-06-18,1,1
2012-06-27,1,1
2012-07-02,2,2
2012-07-16,1,1
2012-07-19,2,2
2012-07-27,1,1
2012-09-19,1,1
2012-10-15,1,1
2012-10-25,1,1
2012-11-13,1,1
2012-11-23,1,1
2012-11-26,3,3
2012-11-27,2,2
2012-12-10,1,1
2012-12-13,1,1
2012-12-20,1,1
2012-12-22,1,1
2012-12-28,1,1
2012-12-29,1,1
2013-01-05,1,1
2013-01-19,1,1
2013-02-19,1,1
2013-03-12,1,1
2013-04-29,1,1
2013-05-06,1,1
2013-05-17,2,2
2013-05-28,1,1
2013-06-07,1,1
2013-07-27,2,2
2013-07-31,1,1
2013-08-05,2,2
2013-08-21,1,1
2013-08-31,1,1
2013-09-03,1,1
2013-09-24,2,2
2013-09-30,1,1
2013-10-23,1,1
2013-11-06,1,1
2013-11-09,1,1
2013-11-19,1,1
2013-12-16,1,1
2014-01-11,1,1
2014-01-30,1,1
2014-02-03,1,1
2014-02-15,1,1
2014-02-25,1,1
2014-03-08,1,1
2014-03-12,1,1
2014-03-25,2,2
