date,hit_count,text_count
2000-03-13,1,1
2000-03-14,1,1
2000-05-16,1,1
2000-06-29,1,1
2000-07-10,1,1
2000-07-28,1,1
2000-10-19,1,1
2000-12-08,1,1
2001-02-16,1,1
2001-03-14,1,1
2001-03-31,1,1
2001-04-11,3,3
2001-11-27,2,2
2002-04-29,1,1
2002-08-09,1,1
2002-09-03,1,1
2002-09-12,1,1
2002-09-14,2,2
2002-09-16,1,1
2002-10-01,1,1
2002-10-10,1,1
2003-06-28,1,1
2003-07-26,1,1
2003-07-28,1,1
2003-08-06,1,1
2003-12-29,2,2
2003-12-30,3,3
2004-01-07,1,1
2004-01-14,1,1
2004-03-17,1,1
2004-05-07,1,1
2004-05-15,1,1
2004-05-19,1,1
2004-05-28,1,1
2004-05-29,1,1
2004-06-01,1,1
2004-06-02,2,2
2004-06-04,1,1
2004-06-18,1,1
2004-06-29,2,2
2004-07-24,1,1
2004-09-01,1,1
2004-09-10,1,1
2004-11-13,2,2
2004-12-09,1,1
2004-12-17,1,1
2005-01-10,1,1
2005-01-22,1,1
2005-02-16,1,1
2005-03-10,1,1
2005-03-26,1,1
2005-03-30,1,1
2005-04-01,1,1
2005-04-02,1,1
2005-05-07,1,1
2005-06-10,1,1
2005-06-15,1,1
2005-07-21,1,1
2005-07-28,1,1
2005-08-05,2,2
2005-08-06,1,1
2005-08-24,1,1
2005-09-07,1,1
2005-09-13,1,1
2005-10-22,2,2
2005-12-20,1,1
2006-01-09,1,1
2006-01-13,1,1
2006-04-03,1,1
2006-04-05,1,1
2006-05-16,1,1
2006-05-24,1,1
2006-05-26,1,1
2006-05-29,1,1
2006-06-13,1,1
2006-06-16,1,1
2006-09-14,2,2
2006-10-09,1,1
2006-10-21,2,2
2006-10-24,2,2
2006-11-10,1,1
2006-12-04,1,1
2006-12-22,1,1
2006-12-29,1,1
2007-01-10,1,1
2007-01-26,1,1
2007-02-05,1,1
2007-02-21,1,1
2007-02-24,1,1
2007-03-10,2,2
2007-03-12,1,1
2007-03-13,1,1
2007-03-14,1,1
2007-03-15,1,1
2007-03-16,1,1
2007-03-31,2,2
2007-04-04,2,2
2007-04-05,1,1
2007-04-10,1,1
2007-04-16,1,1
2007-04-19,1,1
2007-04-25,1,1
2007-04-27,2,2
2007-05-04,1,1
2007-05-07,1,1
2007-05-08,2,2
2007-05-11,1,1
2007-05-18,2,2
2007-06-01,1,1
2007-06-05,1,1
2007-06-06,1,1
2007-06-14,2,2
2007-06-16,1,1
2007-06-20,1,1
2007-06-23,1,1
2007-07-04,2,2
2007-07-06,1,1
2007-07-11,2,2
2007-07-12,2,2
2007-07-13,1,1
2007-07-14,1,1
2007-07-17,1,1
2007-07-18,1,1
2007-07-24,1,1
2007-07-25,1,1
2007-08-02,1,1
2007-08-07,1,1
2007-08-29,1,1
2007-08-31,1,1
2007-09-04,1,1
2007-09-18,2,2
2007-09-25,1,1
2007-09-26,1,1
2007-09-28,2,2
2007-09-29,1,1
2007-10-12,1,1
2007-10-13,1,1
2007-10-15,1,1
2007-10-20,2,2
2007-10-23,4,4
2007-10-25,1,1
2007-10-26,1,1
2007-10-29,2,2
2007-10-30,3,3
2007-11-03,1,1
2007-11-10,1,1
2007-11-13,1,1
2007-11-16,1,1
2007-11-17,1,1
2007-11-19,1,1
2007-11-23,1,1
2007-11-24,1,1
2007-11-27,1,1
2007-11-28,2,2
2007-12-07,2,2
2007-12-10,2,2
2007-12-22,1,1
2008-01-03,1,1
2008-01-05,1,1
2008-01-08,1,1
2008-01-11,1,1
2008-01-12,1,1
2008-01-14,1,1
2008-01-17,1,1
2008-01-24,2,2
2008-01-25,1,1
2008-01-29,1,1
2008-01-30,3,3
2008-02-09,2,2
2008-02-16,1,1
2008-03-06,1,1
2008-03-08,2,2
2008-03-10,1,1
2008-03-15,1,1
2008-03-19,2,2
2008-04-02,2,2
2008-04-11,2,2
2008-05-05,1,1
2008-05-10,1,1
2008-05-13,1,1
2008-05-14,1,1
2008-05-19,1,1
2008-05-23,1,1
2008-05-28,1,1
2008-06-05,3,3
2008-06-10,1,1
2008-06-14,1,1
2008-06-16,1,1
2008-06-18,3,3
2008-06-21,1,1
2008-06-24,3,3
2008-06-25,1,1
2008-06-28,3,3
2008-07-03,2,2
2008-07-09,2,2
2008-07-17,1,1
2008-07-25,1,1
2008-08-27,1,1
2008-09-04,1,1
2008-09-09,1,1
2008-09-10,2,2
2008-09-11,1,1
2008-09-15,1,1
2008-10-10,1,1
2008-10-16,1,1
2008-10-17,4,4
2008-10-18,1,1
2008-11-15,1,1
2008-12-03,1,1
2008-12-11,1,1
2008-12-16,1,1
2008-12-30,1,1
2009-01-03,1,1
