date,hit_count,text_count
2005-09-14,1,1
2005-09-21,1,1
2005-12-02,1,1
2006-01-04,1,1
2006-02-22,1,1
2006-09-04,1,1
2006-10-11,1,1
2006-11-06,1,1
2006-12-01,1,1
2006-12-04,1,1
2006-12-29,1,1
2007-01-26,1,1
2007-02-01,1,1
2007-02-22,1,1
2007-03-09,2,2
2007-03-10,2,2
2007-03-12,1,1
2007-03-13,1,1
2007-03-14,2,2
2007-03-17,2,2
2007-03-19,2,2
2007-03-21,1,1
2007-03-26,1,1
2007-03-27,1,1
2007-04-20,1,1
2007-04-25,1,1
2007-04-27,1,1
2007-05-03,2,2
2007-05-05,1,1
2007-05-21,1,1
2007-05-30,1,1
2007-05-31,1,1
2007-06-23,1,1
2007-07-02,1,1
2007-07-03,1,1
2007-08-06,2,2
2007-08-07,1,1
2007-08-16,1,1
2007-08-22,1,1
2007-08-24,1,1
2007-08-25,2,2
2007-10-11,1,1
2007-11-01,1,1
2007-11-02,1,1
2007-11-05,1,1
2007-11-08,1,1
2007-11-15,1,1
2007-11-21,1,1
2007-12-06,1,1
2008-01-24,1,1
2008-02-01,1,1
2008-02-21,1,1
2008-02-23,1,1
2008-03-13,1,1
2008-03-31,1,1
2008-04-03,2,2
2008-04-17,1,1
2008-05-19,2,2
2008-05-21,2,2
2008-06-19,1,1
2008-07-09,1,1
2008-08-19,1,1
2008-08-26,1,1
2008-09-15,1,1
2008-09-18,1,1
2008-09-24,1,1
2008-10-02,1,1
2008-10-04,1,1
2008-10-06,1,1
2008-10-21,1,1
2008-10-22,1,1
2008-11-24,1,1
2009-01-05,1,1
2009-01-07,1,1
2009-02-18,1,1
2009-03-02,1,1
2009-03-07,1,1
2009-03-21,1,1
2009-03-25,1,1
2009-04-04,1,1
2009-04-29,1,1
2009-05-19,1,1
2009-06-11,1,1
2009-06-19,1,1
2009-07-01,1,1
2009-07-04,1,1
2009-07-10,1,1
2009-07-16,1,1
2009-07-18,1,1
2009-07-27,1,1
2009-07-29,1,1
2009-07-31,1,1
2009-09-01,1,1
2009-09-02,2,2
2009-09-04,1,1
2009-09-08,1,1
2009-09-18,2,2
2009-09-22,1,1
2009-10-05,1,1
2009-10-12,1,1
2009-11-04,1,1
2009-11-23,1,1
2009-12-15,1,1
2009-12-16,1,1
2009-12-18,1,1
2010-01-02,1,1
2010-03-05,1,1
2010-03-13,2,2
2010-03-22,1,1
2010-03-23,1,1
2010-03-30,1,1
2010-04-07,2,2
2010-05-04,2,2
2010-05-06,1,1
2010-06-22,1,1
2010-07-08,1,1
2010-07-19,1,1
2010-08-13,1,1
2010-08-31,1,1
2010-09-10,1,1
2010-09-18,1,1
2010-09-20,1,1
2010-09-24,1,1
2010-10-01,1,1
2010-10-16,1,1
2010-10-21,1,1
2010-11-15,1,1
2011-01-04,2,2
2011-03-25,1,1
2011-04-06,1,1
2011-04-11,2,2
2011-04-12,1,1
2011-04-30,2,2
2011-05-10,1,1
2011-05-20,1,1
2011-06-22,1,1
2011-07-06,1,1
