date,hit_count,text_count
2007-09-28,1,1
2007-09-29,1,1
2007-10-13,1,1
2007-10-18,1,1
2007-10-20,2,2
2007-10-27,1,1
2007-11-12,1,1
2007-11-19,3,3
2007-11-22,3,3
2007-11-23,3,3
2007-11-26,1,1
2007-11-30,1,1
2007-12-04,1,1
2007-12-05,1,1
2007-12-08,1,1
2007-12-10,1,1
2007-12-13,1,1
2007-12-17,1,1
2007-12-20,1,1
2007-12-21,1,1
2007-12-27,1,1
2008-01-02,1,1
2008-01-11,1,1
2008-01-19,1,1
2008-02-16,1,1
2008-02-26,1,1
2008-02-27,1,1
2008-03-04,1,1
2008-03-07,1,1
2008-03-11,1,1
2008-03-28,1,1
2008-03-29,1,1
2008-04-01,1,1
2008-04-12,2,2
2008-04-16,1,1
2008-04-17,1,1
2008-04-19,1,1
2008-04-22,1,1
2008-04-25,2,2
2008-05-14,1,1
2008-05-21,1,1
2008-05-27,1,1
2008-06-18,1,1
2008-06-19,1,1
2008-06-21,1,1
2008-06-24,1,1
2008-06-28,1,1
2008-07-01,1,1
2008-07-09,1,1
2008-07-11,2,2
2008-08-07,1,1
2008-08-12,1,1
2008-08-19,2,2
2008-08-22,1,1
2008-08-29,1,1
2008-08-30,1,1
2008-09-04,1,1
2008-09-06,1,1
2008-09-11,2,2
2008-09-19,2,2
2008-09-20,1,1
2008-09-23,1,1
2008-09-24,1,1
2008-09-29,1,1
2008-10-02,1,1
2008-10-14,1,1
2008-10-27,1,1
2008-10-28,1,1
2008-10-29,1,1
2008-10-30,2,2
2008-11-06,1,1
2008-11-08,1,1
2008-11-13,1,1
2008-11-18,1,1
2008-12-03,1,1
2008-12-11,1,1
2008-12-13,2,2
2008-12-18,1,1
2008-12-27,1,1
2009-01-13,1,1
2009-01-16,1,1
2009-01-24,1,1
2009-01-30,1,1
2009-02-04,2,2
2009-03-05,1,1
2009-03-18,1,1
2009-03-21,1,1
2009-03-25,1,1
2009-03-26,1,1
2009-03-31,1,1
2009-04-03,1,1
2009-04-04,1,1
2009-04-14,1,1
2009-04-25,1,1
2009-05-09,2,2
2009-05-13,1,1
2009-05-25,1,1
2009-05-27,1,1
2009-06-02,1,1
2009-06-04,1,1
2009-06-23,1,1
2009-06-24,1,1
2009-06-25,1,1
2009-06-27,2,2
2009-07-01,1,1
2009-07-03,1,1
2009-07-07,1,1
2009-07-10,2,2
2009-08-01,1,1
2009-08-10,1,1
2009-08-12,1,1
2009-08-19,1,1
2009-09-10,1,1
2009-09-12,1,1
2009-09-16,1,1
2009-09-17,1,1
2009-09-19,3,3
2009-09-23,1,1
2009-09-24,1,1
2009-10-06,1,1
2009-10-08,1,1
2009-10-10,1,1
2009-10-14,2,2
2009-10-17,1,1
2009-10-20,1,1
2009-10-21,1,1
2009-10-26,1,1
2009-10-27,1,1
2009-10-28,1,1
2009-10-30,1,1
2009-10-31,1,1
2009-11-10,1,1
2009-11-16,1,1
2009-11-18,1,1
2009-11-21,1,1
2009-11-24,1,1
2009-11-28,1,1
2009-12-04,1,1
2009-12-07,2,2
2009-12-08,2,2
2009-12-10,1,1
2009-12-12,1,1
2009-12-14,1,1
2009-12-17,1,1
2009-12-18,1,1
2009-12-19,1,1
2009-12-28,1,1
2010-01-09,1,1
2010-01-12,2,2
2010-01-15,1,1
2010-01-23,1,1
2010-02-03,1,1
2010-02-04,1,1
2010-02-05,1,1
2010-02-06,1,1
2010-03-11,1,1
2010-03-19,1,1
2010-03-24,1,1
2010-04-15,1,1
2010-04-28,1,1
2010-06-17,1,1
2010-07-13,1,1
2010-07-17,1,1
2010-07-19,1,1
2010-07-23,1,1
2010-07-26,1,1
2010-08-19,1,1
2010-09-09,1,1
2010-10-08,1,1
2010-10-13,2,2
2010-10-15,1,1
2010-10-22,1,1
2010-10-29,1,1
2010-11-03,1,1
