date,hit_count,text_count
2000-02-01,2,2
2000-04-25,1,1
2000-04-26,1,1
2000-05-24,1,1
2000-11-13,1,1
2000-11-16,2,2
2000-11-20,1,1
2001-01-02,1,1
2001-01-26,1,1
2001-02-10,1,1
2001-03-10,1,1
2001-03-31,2,2
2001-04-23,1,1
2001-04-27,1,1
2001-05-18,1,1
2001-06-13,1,1
2001-06-15,1,1
2001-07-19,2,2
2001-07-21,1,1
2001-07-23,1,1
2001-07-24,2,2
2001-08-20,1,1
2001-10-30,1,1
2001-12-14,2,2
2001-12-15,1,1
2002-02-09,1,1
2002-02-13,1,1
2002-02-16,1,1
2002-04-12,1,1
2002-07-04,1,1
2002-07-20,1,1
2002-08-26,2,2
2002-08-27,1,1
2002-09-04,1,1
2002-09-05,2,2
2002-09-10,1,1
2002-09-13,1,1
2003-02-10,1,1
2003-04-16,1,1
2003-08-06,3,3
2003-08-09,1,1
2003-09-24,1,1
2003-09-25,1,1
2003-11-29,1,1
2003-12-28,1,1
2003-12-31,1,1
2004-01-02,1,1
2004-02-13,1,1
2004-03-01,1,1
2004-03-09,1,1
2004-03-10,1,1
2004-03-19,1,1
2004-03-31,1,1
2004-04-17,1,1
2004-04-19,1,1
2004-05-24,1,1
2004-06-01,1,1
2004-06-02,1,1
2004-06-04,1,1
2004-06-05,1,1
2004-07-10,1,1
2004-07-14,1,1
2004-09-11,2,2
2004-09-17,1,1
2004-10-14,1,1
2004-11-02,1,1
2004-11-07,1,1
2004-12-09,1,1
2004-12-11,1,1
2004-12-17,1,1
2004-12-20,1,1
2004-12-28,1,1
2005-01-14,1,1
2005-01-18,1,1
2005-01-21,1,1
2005-01-29,1,1
2005-02-10,1,1
2005-02-15,1,1
2005-02-17,1,1
2005-02-24,2,2
2005-04-15,1,1
2005-05-02,1,1
2005-05-12,1,1
2005-05-20,1,1
2005-06-28,1,1
2005-07-06,1,1
2005-07-07,1,1
2005-07-09,1,1
2005-09-02,1,1
2005-09-09,1,1
2005-09-29,1,1
2005-11-04,1,1
2005-11-05,1,1
2005-11-09,1,1
2005-11-30,1,1
2005-12-08,1,1
2005-12-10,1,1
2005-12-12,1,1
2005-12-31,1,1
2006-02-20,1,1
2006-02-22,1,1
2006-02-25,1,1
2006-04-13,1,1
2006-05-19,2,2
2006-05-30,3,3
2006-07-13,1,1
2006-07-19,1,1
2006-07-27,1,1
2006-07-29,1,1
2006-08-10,1,1
2006-08-15,1,1
2006-08-17,1,1
2006-08-19,2,2
2006-08-22,1,1
2006-09-12,1,1
2006-09-13,1,1
2006-09-16,1,1
2006-11-20,1,1
2006-11-21,1,1
2006-11-29,1,1
2006-12-02,2,2
2006-12-04,1,1
2006-12-20,1,1
2006-12-30,1,1
2007-01-13,1,1
2007-01-30,1,1
2007-02-01,2,2
2007-02-03,1,1
2007-02-05,2,2
2007-02-07,2,2
2007-02-08,1,1
2007-02-12,2,2
2007-02-19,1,1
2007-02-27,1,1
2007-03-02,1,1
2007-03-05,2,2
2007-03-07,1,1
2007-03-08,1,1
2007-03-09,1,1
2007-03-10,3,3
2007-03-15,3,3
2007-03-17,2,2
2007-03-22,1,1
2007-03-28,1,1
2007-03-29,1,1
2007-04-02,1,1
2007-04-07,1,1
2007-04-11,1,1
2007-04-12,1,1
2007-04-13,1,1
2007-04-14,1,1
2007-04-17,2,2
2007-04-18,1,1
2007-04-20,2,2
2007-04-25,1,1
2007-04-26,1,1
2007-04-27,2,2
2007-05-02,3,3
2007-05-03,1,1
2007-05-04,1,1
2007-05-07,2,2
2007-05-09,1,1
2007-05-14,1,1
2007-05-18,1,1
2007-05-24,1,1
2007-05-25,1,1
2007-05-26,1,1
2007-05-29,2,2
2007-05-30,2,2
2007-05-31,2,2
2007-06-01,3,3
2007-06-02,2,2
2007-06-04,3,3
2007-06-05,2,2
2007-06-06,3,3
2007-06-07,6,6
2007-06-08,6,6
2007-06-09,5,5
2007-06-16,1,1
2007-06-21,1,1
2007-06-22,1,1
2007-06-23,3,3
2007-06-27,2,2
2007-06-29,1,1
2007-07-07,1,1
2007-07-09,2,2
2007-07-13,1,1
2007-07-14,1,1
2007-07-21,1,1
2007-07-25,1,1
2007-07-26,1,1
2007-07-30,2,2
2007-08-07,1,1
2007-08-08,1,1
2007-08-20,1,1
2007-08-23,1,1
2007-08-27,2,2
2007-08-28,2,2
2007-08-30,1,1
2007-08-31,1,1
2007-09-10,2,2
2007-09-13,1,1
2007-09-14,1,1
2007-09-17,1,1
2007-09-19,1,1
2007-09-29,2,2
2007-10-02,3,3
2007-10-04,3,3
2007-10-05,2,2
2007-10-06,1,1
2007-10-08,1,1
2007-10-10,1,1
2007-10-11,1,1
2007-10-26,1,1
2007-10-27,1,1
2007-10-29,2,2
2007-11-05,1,1
2007-11-07,1,1
2007-11-10,1,1
2007-11-13,1,1
2007-11-16,3,3
2007-11-17,1,1
2007-11-20,3,3
2007-11-23,3,3
2007-11-24,2,2
2007-11-26,2,2
2007-11-29,1,1
2007-12-03,1,1
2007-12-04,2,2
2007-12-05,1,1
2007-12-07,1,1
2007-12-08,3,3
2007-12-10,3,3
2007-12-11,1,1
2007-12-12,1,1
2007-12-14,5,5
2007-12-15,1,1
2007-12-17,3,3
2007-12-19,1,1
2007-12-22,1,1
2007-12-24,1,1
2007-12-28,1,1
2007-12-29,1,1
2007-12-31,6,6
2008-01-08,2,2
2008-01-09,2,2
2008-01-11,1,1
2008-01-12,1,1
2008-01-16,1,1
2008-01-19,2,2
2008-01-21,2,2
2008-01-23,2,2
2008-01-24,1,1
2008-01-30,1,1
2008-02-06,1,1
2008-02-07,1,1
2008-02-08,1,1
2008-02-13,1,1
2008-02-15,1,1
2008-02-26,1,1
2008-03-04,2,2
2008-03-06,1,1
2008-03-07,1,1
2008-03-08,1,1
2008-03-10,1,1
2008-03-11,1,1
2008-03-12,2,2
2008-03-13,1,1
2008-03-14,1,1
2008-03-22,1,1
2008-03-28,1,1
2008-03-29,1,1
2008-04-04,3,3
2008-04-07,3,3
2008-04-08,1,1
2008-04-09,1,1
2008-04-22,1,1
2008-05-05,1,1
2008-05-07,1,1
2008-05-16,1,1
2008-05-22,1,1
2008-05-30,2,2
2008-05-31,1,1
2008-06-10,2,2
2008-06-12,1,1
2008-06-21,1,1
2008-07-05,2,2
2008-07-07,2,2
2008-07-08,1,1
2008-07-09,1,1
2008-07-10,2,2
2008-07-12,1,1
2008-07-14,1,1
2008-07-16,2,2
2008-07-17,2,2
2008-07-25,1,1
2008-08-20,1,1
2008-08-23,1,1
2008-08-27,1,1
2008-08-30,1,1
2008-09-04,1,1
2008-09-09,1,1
2008-09-10,1,1
2008-09-11,1,1
2008-09-12,1,1
2008-09-13,1,1
2008-09-15,2,2
2008-10-10,1,1
2008-10-22,1,1
2008-11-13,2,2
2008-11-21,1,1
2008-12-13,1,1
2008-12-17,1,1
2008-12-27,1,1
2008-12-29,2,2
2009-01-13,1,1
2009-01-16,1,1
2009-01-21,1,1
2009-01-23,1,1
2009-01-27,1,1
2009-02-02,1,1
2009-02-09,1,1
2009-02-18,1,1
2009-02-21,1,1
2009-02-23,1,1
2009-02-26,1,1
2009-02-28,1,1
2009-03-07,1,1
2009-03-10,1,1
2009-03-13,1,1
2009-03-21,1,1
2009-03-23,2,2
2009-03-30,2,2
2009-04-04,1,1
2009-04-09,1,1
2009-04-27,1,1
2009-05-14,1,1
2009-05-15,1,1
2009-05-29,1,1
2009-05-30,3,3
2009-06-04,1,1
2009-06-05,1,1
2009-06-06,2,2
2009-06-11,2,2
2009-06-12,3,3
2009-06-29,1,1
2009-07-04,1,1
2009-07-08,1,1
2009-07-10,1,1
2009-07-11,2,2
2009-07-21,2,2
2009-08-04,1,1
2009-08-05,1,1
2009-08-14,1,1
2009-09-02,1,1
2009-09-03,1,1
2009-09-12,1,1
2009-09-19,1,1
2009-09-23,1,1
2009-09-24,1,1
2009-09-26,1,1
2009-10-17,1,1
2009-11-03,1,1
2009-11-11,1,1
2009-11-13,2,2
2009-11-23,1,1
2009-12-04,1,1
2009-12-05,1,1
2009-12-07,1,1
2009-12-10,2,2
2009-12-12,3,3
2009-12-14,2,2
2009-12-15,1,1
2009-12-16,1,1
2009-12-17,1,1
2009-12-19,2,2
2009-12-21,1,1
2009-12-23,1,1
2010-01-30,1,1
2010-04-23,1,1
2010-07-06,1,1
2010-07-07,1,1
2010-09-30,1,1
2010-11-15,1,1
2010-12-21,1,1
2011-01-14,1,1
