date,hit_count,text_count
2000-09-19,1,1
2000-11-13,1,1
2001-03-16,1,1
2001-03-29,1,1
2001-03-30,1,1
2001-04-24,1,1
2001-08-14,1,1
2001-11-17,1,1
2002-08-12,1,1
2002-08-14,1,1
2002-08-17,1,1
2002-08-20,1,1
2002-08-25,1,1
2003-07-20,1,1
2003-08-09,1,1
2003-08-27,1,1
2004-05-26,1,1
2004-12-19,1,1
2005-02-09,1,1
2005-09-16,1,1
2005-10-09,1,1
2005-11-24,1,1
2005-12-08,1,1
2005-12-24,1,1
2006-01-15,1,1
2006-02-22,1,1
2006-06-06,1,1
2006-06-07,1,1
2006-06-18,1,1
2006-07-09,1,1
2006-09-16,1,1
2006-09-25,1,1
2006-10-09,1,1
2006-10-15,1,1
2006-10-30,1,1
2006-10-31,2,2
2006-11-06,1,1
2006-11-10,1,1
2006-11-18,1,1
2006-12-17,1,1
2006-12-22,1,1
2006-12-24,1,1
2007-01-23,1,1
2007-01-30,2,2
2007-02-01,1,1
2007-02-05,1,1
2007-02-11,1,1
2007-02-19,1,1
2007-02-23,2,2
2007-02-24,2,2
2007-02-25,2,2
2007-03-01,1,1
2007-03-04,1,1
2007-03-06,1,1
2007-03-08,1,1
2007-03-11,3,3
2007-03-18,1,1
2007-03-23,1,1
2007-03-25,1,1
2007-04-18,1,1
2007-04-24,1,1
2007-05-05,2,2
2007-05-09,1,1
2007-05-16,1,1
2007-05-24,1,1
2007-05-25,1,1
2007-05-30,1,1
2007-06-02,1,1
2007-07-25,1,1
2007-07-30,1,1
2007-09-25,1,1
2007-09-27,1,1
2007-10-06,1,1
2007-10-28,1,1
2007-11-13,1,1
2007-11-18,1,1
2007-12-15,1,1
2007-12-17,1,1
2007-12-23,1,1
2007-12-31,2,2
2008-01-05,1,1
2008-06-01,2,2
2008-06-29,1,1
2008-08-24,1,1
2008-10-10,1,1
2008-10-20,1,1
2008-10-27,1,1
2008-11-02,1,1
2008-11-06,1,1
2008-11-15,1,1
2008-11-17,1,1
2008-11-19,1,1
2008-12-09,1,1
2008-12-12,1,1
2008-12-21,1,1
2009-01-07,1,1
2009-03-16,1,1
2009-04-01,1,1
2009-04-24,1,1
2009-05-09,1,1
2009-06-02,1,1
2009-06-07,1,1
2009-06-12,1,1
2009-07-11,1,1
2009-07-23,1,1
2009-08-07,1,1
