date,hit_count,text_count
2000-03-24,1,1
2000-04-08,1,1
2000-04-13,1,1
2000-04-23,1,1
2000-04-26,1,1
2000-05-26,1,1
2000-07-27,2,2
2000-09-11,1,1
2000-11-27,1,1
2001-02-10,1,1
2001-03-31,2,2
2001-04-01,1,1
2001-04-04,1,1
2001-04-10,1,1
2001-06-07,1,1
2001-07-14,1,1
2001-07-15,1,1
2001-07-27,1,1
2001-11-08,1,1
2002-05-11,1,1
2002-07-02,1,1
2002-08-15,1,1
2002-08-26,1,1
2002-08-31,1,1
2002-09-03,1,1
2002-09-05,1,1
2002-10-26,1,1
2003-02-09,1,1
2003-03-13,1,1
2003-07-27,1,1
2003-08-17,1,1
2003-09-14,1,1
2003-09-18,1,1
2003-09-22,1,1
2003-09-28,1,1
2003-11-10,1,1
2003-11-15,3,3
2003-12-01,1,1
2004-02-01,1,1
2004-03-05,1,1
2004-04-02,1,1
2004-04-08,1,1
2004-05-27,1,1
2004-06-03,1,1
2004-06-04,1,1
2004-06-05,1,1
2004-08-18,1,1
2004-10-23,1,1
2004-11-05,1,1
2004-11-07,1,1
2004-11-11,1,1
2004-11-24,1,1
2004-11-29,1,1
2004-12-13,1,1
2004-12-28,1,1
2005-02-16,1,1
2005-02-24,2,2
2005-04-24,1,1
2005-04-28,1,1
2005-05-27,1,1
2005-06-12,1,1
2005-06-20,1,1
2005-06-27,1,1
2005-06-30,1,1
2005-07-04,1,1
2005-07-09,1,1
2005-07-29,1,1
2005-08-25,1,1
2005-09-08,2,2
2005-09-09,1,1
2005-09-10,1,1
2005-09-16,2,2
2005-10-06,1,1
2005-10-17,1,1
2005-10-30,1,1
2005-11-02,1,1
2005-11-04,1,1
2005-11-28,1,1
2005-12-04,1,1
2005-12-21,1,1
2006-01-06,1,1
2006-01-13,1,1
2006-02-13,1,1
2006-03-07,1,1
2006-03-13,1,1
2006-04-03,1,1
2006-04-28,1,1
2006-05-21,1,1
2006-05-29,1,1
2006-05-30,1,1
2006-06-18,1,1
2006-07-09,1,1
2006-07-28,1,1
2006-07-30,1,1
2006-08-27,1,1
2006-09-02,1,1
2006-09-20,1,1
2006-09-27,1,1
2006-10-11,1,1
2006-10-29,1,1
2006-11-06,1,1
2006-11-11,1,1
2006-11-18,1,1
2006-12-01,1,1
2006-12-03,2,2
2006-12-09,1,1
2006-12-27,1,1
2006-12-31,1,1
2007-01-05,1,1
2007-01-14,1,1
2007-01-19,1,1
2007-01-23,2,2
2007-01-26,1,1
2007-01-29,1,1
2007-02-02,1,1
2007-02-05,1,1
2007-02-06,1,1
2007-02-10,1,1
2007-02-11,1,1
2007-02-13,1,1
2007-02-15,1,1
2007-02-18,1,1
2007-02-19,1,1
2007-02-25,1,1
2007-02-27,1,1
2007-02-28,1,1
2007-03-04,1,1
2007-03-05,1,1
2007-03-08,2,2
2007-03-10,1,1
2007-03-12,3,3
2007-03-15,2,2
2007-03-16,1,1
2007-03-18,1,1
2007-03-22,1,1
2007-03-24,1,1
2007-03-25,2,2
2007-03-26,1,1
2007-03-28,1,1
2007-03-29,1,1
2007-04-02,1,1
2007-04-03,2,2
2007-04-07,1,1
2007-04-10,1,1
2007-04-11,1,1
2007-04-12,1,1
2007-04-17,1,1
2007-04-25,1,1
2007-04-29,1,1
2007-05-07,1,1
2007-05-10,1,1
2007-05-12,1,1
2007-05-15,1,1
2007-05-24,2,2
2007-05-26,1,1
2007-05-30,1,1
2007-05-31,1,1
2007-06-03,1,1
2007-06-06,1,1
2007-06-09,1,1
2007-06-10,1,1
2007-06-18,1,1
2007-06-23,1,1
2007-06-26,1,1
2007-07-15,1,1
2007-07-21,1,1
2007-07-29,2,2
2007-08-19,1,1
2007-09-06,1,1
2007-09-13,1,1
2007-09-23,2,2
2007-09-26,1,1
2007-10-01,1,1
2007-10-18,1,1
2007-10-24,2,2
2007-10-27,1,1
2007-10-28,1,1
2007-10-29,1,1
2007-10-31,1,1
2007-11-04,2,2
2007-11-07,1,1
2007-11-12,1,1
2007-11-14,1,1
2007-11-19,1,1
2007-11-20,1,1
2007-11-26,1,1
2007-12-02,2,2
2007-12-03,1,1
2007-12-09,1,1
2007-12-12,1,1
2007-12-22,2,2
2007-12-27,1,1
2007-12-30,1,1
2008-01-18,1,1
2008-01-24,1,1
2008-02-17,1,1
2008-02-25,1,1
2008-02-26,1,1
2008-03-09,1,1
2008-03-13,2,2
2008-04-05,1,1
2008-04-14,1,1
2008-04-26,1,1
2008-04-29,1,1
2008-04-30,1,1
2008-05-05,2,2
2008-05-06,1,1
2008-05-09,1,1
2008-06-15,1,1
2008-06-19,1,1
2008-06-21,1,1
2008-07-03,1,1
2008-07-05,1,1
2008-07-07,1,1
2008-07-08,1,1
2008-07-18,1,1
2008-07-30,1,1
2008-09-12,1,1
2008-09-14,2,2
2008-10-06,1,1
2008-10-20,1,1
2008-10-25,1,1
2008-11-02,1,1
2008-11-11,1,1
2008-11-22,1,1
2008-11-23,1,1
2008-11-29,1,1
2008-12-11,1,1
2008-12-14,1,1
2008-12-17,1,1
2008-12-22,1,1
2008-12-30,1,1
2009-01-03,1,1
2009-01-11,1,1
2009-01-25,1,1
2009-02-01,1,1
2009-02-07,1,1
2009-02-11,1,1
2009-03-27,1,1
2009-03-30,2,2
2009-03-31,1,1
2009-04-07,1,1
2009-04-12,1,1
2009-04-18,1,1
2009-05-06,1,1
2009-05-28,1,1
2009-06-07,1,1
2009-06-12,1,1
2009-06-28,1,1
2009-06-29,2,2
2009-07-02,1,1
2009-07-16,1,1
2009-07-18,1,1
2009-07-22,1,1
2009-08-08,1,1
2009-08-26,1,1
2009-08-28,1,1
2009-09-01,1,1
2009-09-04,1,1
2009-09-06,1,1
2009-09-13,1,1
2009-09-24,1,1
2009-09-30,1,1
2009-10-08,1,1
2009-10-18,1,1
2009-10-25,1,1
2009-11-11,1,1
2009-11-20,2,2
2009-11-29,1,1
2009-11-30,1,1
2009-12-06,2,2
2009-12-07,2,2
2009-12-12,2,2
2009-12-14,1,1
2009-12-16,1,1
2009-12-28,1,1
2009-12-30,1,1
2010-02-03,1,1
2010-02-05,1,1
2010-02-18,1,1
2010-02-27,1,1
2010-03-08,1,1
2010-03-19,1,1
2010-03-24,1,1
2010-03-31,1,1
2010-04-04,1,1
2010-04-12,1,1
2010-04-17,1,1
2010-04-26,1,1
2010-04-30,1,1
2010-05-02,1,1
2010-05-16,1,1
2010-06-15,1,1
2010-06-20,1,1
2010-06-28,1,1
2010-06-29,1,1
2010-07-05,1,1
2010-07-07,1,1
2010-08-12,1,1
2010-08-16,1,1
2010-08-27,1,1
2010-09-04,1,1
2010-09-07,1,1
2010-09-08,2,2
2010-09-10,1,1
2010-09-18,1,1
2010-09-19,4,4
2010-09-20,1,1
2010-09-28,1,1
2010-10-01,1,1
2010-10-13,1,1
2010-10-21,1,1
2010-11-01,1,1
2010-11-05,1,1
2010-11-10,1,1
2010-11-11,1,1
2010-11-20,2,2
2010-11-21,1,1
2010-12-10,1,1
2011-02-08,1,1
2011-02-10,1,1
2011-03-13,1,1
2011-03-17,1,1
2011-03-20,1,1
2011-03-21,1,1
2011-03-31,1,1
2011-04-15,1,1
2011-04-16,1,1
2011-04-18,1,1
2011-04-19,1,1
2011-04-30,1,1
2011-05-05,1,1
2011-05-09,1,1
2011-05-15,1,1
2011-05-17,2,2
2011-05-30,1,1
2011-06-09,1,1
2011-06-19,1,1
2011-06-22,1,1
2011-06-28,1,1
2011-07-09,1,1
2011-07-27,1,1
2011-08-12,1,1
2011-08-20,1,1
2011-08-30,1,1
2011-11-12,1,1
2011-11-20,1,1
2011-11-28,1,1
2011-12-08,1,1
2011-12-11,1,1
2011-12-12,1,1
2012-01-11,1,1
2012-02-02,1,1
2012-02-06,1,1
2012-02-12,1,1
2012-02-18,1,1
2012-03-06,1,1
2012-03-17,1,1
2012-04-19,1,1
2012-04-29,1,1
2012-05-27,1,1
2012-06-17,1,1
2012-07-15,1,1
2012-07-17,1,1
2012-07-19,1,1
2012-08-17,1,1
2012-09-16,1,1
2012-09-26,1,1
2012-10-13,1,1
2012-11-09,1,1
2012-11-25,1,1
2012-12-04,1,1
2013-01-31,1,1
2013-02-25,1,1
2013-03-31,1,1
2013-05-04,1,1
2013-05-12,1,1
2013-05-14,1,1
2013-05-23,1,1
2013-05-26,1,1
2013-06-07,1,1
2013-06-10,1,1
2013-07-29,1,1
2013-08-10,1,1
2013-08-18,1,1
2013-10-06,1,1
2013-10-27,1,1
2013-10-29,1,1
2013-11-10,1,1
2013-11-12,1,1
2013-12-16,1,1
2013-12-17,1,1
2014-01-08,1,1
2014-01-18,1,1
2014-01-19,1,1
2014-01-22,2,2
2014-03-02,1,1
2014-03-18,1,1
2014-03-22,1,1
2014-03-29,1,1
2014-03-30,1,1
2014-04-01,1,1
2014-04-09,1,1
2014-04-14,1,1
2014-04-27,1,1
2014-05-25,2,2
2014-06-07,1,1
2014-06-24,1,1
2014-07-01,1,1
2014-07-17,1,1
2014-08-11,1,1
2014-08-12,1,1
2014-09-22,2,2
2014-10-04,2,2
