date,hit_count,text_count
2001-02-08,1,1
2001-07-16,2,2
2002-07-19,1,1
2004-02-24,1,1
2007-02-10,1,1
2007-02-20,1,1
2007-03-27,1,1
2007-04-07,2,2
2007-04-10,1,1
2007-05-05,1,1
2007-07-26,1,1
2007-10-17,1,1
2007-11-06,1,1
2007-12-03,2,2
2007-12-07,1,1
2008-01-25,1,1
2008-01-27,1,1
2008-04-05,1,1
2008-06-18,1,1
2008-09-02,1,1
2008-10-18,1,1
2009-03-15,1,1
2009-05-25,1,1
2009-06-06,1,1
2009-11-25,1,1
2009-12-05,1,1
2009-12-09,1,1
2009-12-17,1,1
2009-12-18,1,1
2009-12-31,1,1
2010-02-01,1,1
2010-05-27,2,2
2010-10-04,2,2
2010-10-10,1,1
2010-11-29,1,1
2010-12-05,1,1
2011-03-13,1,1
2011-03-19,1,1
2011-08-18,1,1
2011-09-20,2,2
2011-10-06,1,1
2011-11-28,1,1
2012-01-28,1,1
2013-01-13,1,1
2013-12-16,1,1
2015-01-14,1,1
2015-03-28,1,1
2015-11-30,1,1
2015-12-11,1,1
2016-01-21,1,1
2016-10-05,1,1
2017-08-09,1,1
2017-08-13,1,1
2017-10-13,1,1
2017-11-07,1,1
2018-07-23,1,1
2018-07-29,1,1
2018-09-05,1,1
2018-10-14,1,1
2018-11-21,1,1
2018-11-24,1,1
2018-11-29,1,1
2018-12-01,1,1
2018-12-03,3,3
2018-12-14,1,1
2018-12-17,1,1
2019-01-26,1,1
2019-04-08,1,1
2019-04-17,1,1
2019-05-08,1,1
2019-05-09,2,2
2019-05-18,1,1
2019-05-22,1,1
2019-05-29,2,2
2019-06-01,1,1
2019-06-08,1,1
2019-06-22,1,1
2019-06-23,1,1
2019-06-25,1,1
2019-06-27,2,2
2019-06-28,1,1
2019-06-29,1,1
2019-06-30,2,2
2019-07-01,1,1
2019-07-04,2,2
2019-07-05,3,3
2019-07-07,1,1
2019-07-10,1,1
2019-07-11,1,1
2019-07-12,6,6
2019-07-18,5,5
2019-07-19,10,10
2019-07-20,3,3
2019-07-23,1,1
2019-07-28,1,1
2019-07-30,4,4
2019-08-02,1,1
2019-08-03,1,1
2019-08-04,1,1
2019-08-05,1,1
2019-08-06,1,1
2019-08-09,2,2
2019-08-10,1,1
2019-08-11,1,1
2019-08-13,1,1
2019-08-14,1,1
2019-08-17,1,1
2019-08-19,1,1
2019-08-21,2,2
2019-08-22,1,1
2019-08-25,1,1
2019-08-31,1,1
2019-09-05,1,1
2019-09-06,2,2
2019-09-08,1,1
2019-09-11,1,1
2019-09-21,1,1
2019-09-22,1,1
2019-09-23,1,1
2019-09-24,3,3
2019-09-25,1,1
2019-09-27,4,4
2019-10-05,1,1
2019-10-06,2,2
2019-10-08,2,2
2019-10-10,2,2
2019-10-14,1,1
2019-10-17,3,3
2019-10-20,1,1
2019-10-22,1,1
2019-10-26,1,1
2019-11-02,1,1
2019-11-12,1,1
2019-11-15,1,1
2019-11-16,1,1
2019-11-17,1,1
2019-11-20,1,1
2019-11-24,1,1
2019-11-25,1,1
2019-11-27,2,2
2019-11-29,3,3
2019-11-30,1,1
2019-12-01,1,1
2019-12-02,1,1
2019-12-10,1,1
2019-12-12,1,1
2019-12-13,3,3
2019-12-15,1,1
2019-12-16,1,1
2019-12-17,1,1
2019-12-19,1,1
2020-01-05,1,1
2020-01-10,2,2
