date,hit_count,text_count
2001-04-06,1,1
2001-05-04,1,1
2001-07-16,1,1
2001-07-24,1,1
2001-08-03,1,1
2002-10-02,1,1
2002-10-12,1,1
2002-10-31,1,1
2002-12-30,1,1
2003-07-10,1,1
2003-10-23,1,1
2005-02-12,1,1
2005-02-16,1,1
2005-09-24,1,1
2005-12-09,1,1
2005-12-10,1,1
2006-09-16,1,1
2007-02-20,1,1
2007-02-21,1,1
2007-03-10,1,1
2007-03-17,1,1
2007-03-21,1,1
2007-03-28,1,1
2007-03-29,1,1
2007-06-01,2,2
2007-06-02,1,1
2007-06-04,1,1
2007-06-05,1,1
2007-08-10,1,1
2007-09-28,1,1
2007-11-28,2,2
2007-11-30,1,1
2007-12-07,1,1
2007-12-10,1,1
2007-12-14,1,1
2007-12-17,1,1
2007-12-19,1,1
2008-01-13,2,2
2008-01-14,1,1
2008-01-24,1,1
2008-03-11,1,1
2008-03-15,1,1
2008-04-15,1,1
2008-04-17,1,1
2008-04-18,1,1
2008-05-05,1,1
2008-05-06,1,1
2008-05-24,1,1
2008-06-07,1,1
2008-06-18,1,1
2008-07-09,1,1
2008-07-12,1,1
2008-09-20,1,1
2008-10-08,1,1
2008-10-24,1,1
2008-12-11,2,2
2008-12-13,1,1
2008-12-14,1,1
2008-12-17,1,1
2008-12-18,1,1
2009-01-03,1,1
2009-01-31,1,1
2009-03-05,1,1
2009-03-08,1,1
2009-04-06,1,1
2009-04-08,1,1
2009-04-22,1,1
2009-04-28,1,1
2009-07-12,1,1
2009-08-31,1,1
2009-11-03,1,1
2009-11-14,1,1
2009-11-17,1,1
2009-11-19,1,1
2009-12-07,2,2
2009-12-08,1,1
2009-12-09,1,1
2009-12-10,1,1
2009-12-11,1,1
2009-12-12,1,1
2009-12-15,1,1
2009-12-17,1,1
2009-12-18,2,2
2009-12-19,3,3
2009-12-20,1,1
2010-02-01,1,1
2010-02-14,1,1
2010-02-19,1,1
2010-02-26,1,1
2010-05-27,3,3
2010-06-19,1,1
2010-07-24,1,1
2010-10-04,1,1
2010-10-11,1,1
2010-10-15,1,1
2010-11-29,1,1
2010-11-30,1,1
2010-12-05,1,1
2010-12-06,1,1
2010-12-07,1,1
2011-02-02,1,1
2011-03-07,1,1
2011-03-13,1,1
2011-04-23,1,1
2011-07-19,1,1
2011-08-19,1,1
2011-11-28,1,1
2011-12-07,1,1
2011-12-08,1,1
2011-12-09,2,2
2011-12-10,1,1
2011-12-14,2,2
2012-01-03,1,1
2012-04-15,1,1
2012-05-21,1,1
2012-05-27,1,1
2012-07-14,1,1
2012-08-24,1,1
2012-08-28,1,1
2012-09-20,1,1
2012-10-25,1,1
2012-11-22,1,1
2012-12-10,1,1
2013-02-03,2,2
2013-03-28,1,1
2013-05-04,1,1
2013-08-23,1,1
2013-10-03,1,1
2013-11-06,1,1
2013-11-11,1,1
2013-11-18,1,1
2013-11-20,1,1
2013-11-22,1,1
2013-12-14,1,1
2014-01-16,2,2
2014-01-23,1,1
2014-02-01,1,1
2014-02-06,1,1
2014-03-13,1,1
2014-04-03,1,1
2014-04-13,1,1
2014-04-14,1,1
2014-05-05,1,1
2014-05-17,1,1
2014-06-10,3,3
2014-06-11,2,2
2015-01-16,1,1
2015-01-24,1,1
2015-01-25,1,1
2015-03-14,1,1
2015-04-21,1,1
2015-05-31,1,1
2015-07-23,2,2
2015-08-05,1,1
2015-09-23,1,1
2015-09-28,1,1
2015-10-04,1,1
2015-10-21,1,1
2015-11-02,1,1
2015-11-12,1,1
2015-11-14,1,1
2015-11-18,1,1
2015-11-25,1,1
2015-11-28,1,1
2015-11-29,1,1
2015-11-30,1,1
2015-12-01,1,1
2015-12-06,1,1
2015-12-09,1,1
2015-12-10,1,1
2015-12-12,2,2
2015-12-13,3,3
2015-12-21,1,1
2016-01-11,1,1
2016-01-15,1,1
2016-04-02,1,1
2016-04-24,1,1
2016-05-27,1,1
2016-06-09,2,2
2016-06-16,1,1
2016-06-25,1,1
2016-07-30,1,1
2016-08-22,1,1
2016-08-23,1,1
2016-08-29,1,1
2016-09-01,1,1
2016-09-20,1,1
2016-10-10,2,2
2016-10-16,1,1
2016-11-04,1,1
2016-11-07,1,1
2016-11-08,1,1
2016-11-13,1,1
2016-11-23,1,1
2016-11-24,1,1
2016-12-11,1,1
2017-01-09,1,1
2017-01-18,1,1
2017-03-28,1,1
2017-03-30,1,1
2017-04-08,1,1
2017-05-26,1,1
2017-05-27,1,1
2017-05-31,1,1
2017-06-01,2,2
2017-06-02,1,1
2017-06-04,1,1
2017-06-07,1,1
2017-06-09,1,1
2017-06-11,1,1
2017-06-20,1,1
2017-06-21,1,1
2017-06-28,2,2
2017-06-29,1,1
2017-07-03,1,1
2017-07-06,1,1
2017-07-07,1,1
2017-07-30,1,1
2017-08-09,3,3
2017-09-19,1,1
2017-10-02,1,1
2017-10-23,1,1
2017-11-01,1,1
2017-11-03,1,1
2017-11-05,1,1
2017-11-06,2,2
2017-11-15,1,1
2017-11-16,2,2
2017-12-12,1,1
2017-12-13,2,2
2017-12-16,1,1
2018-01-05,1,1
2018-01-31,1,1
2018-02-10,1,1
2018-02-19,1,1
2018-04-03,2,2
2018-04-04,1,1
2018-04-09,1,1
2018-04-18,1,1
2018-04-21,1,1
2018-04-24,1,1
2018-06-05,1,1
2018-06-14,1,1
2018-06-17,1,1
2018-06-22,1,1
2018-07-22,1,1
2018-07-28,1,1
2018-07-29,1,1
2018-08-06,1,1
2018-08-08,2,2
2018-08-22,1,1
2018-09-18,1,1
2018-09-29,1,1
2018-10-02,1,1
2018-10-07,1,1
2018-10-09,2,2
2018-10-10,1,1
2018-10-11,2,2
2018-10-12,1,1
2018-10-14,1,1
2018-10-15,1,1
2018-10-17,2,2
2018-11-08,1,1
2018-11-15,1,1
2018-11-24,1,1
2018-11-25,1,1
2018-11-27,1,1
2018-11-28,1,1
2018-11-29,1,1
2018-12-01,1,1
2018-12-02,1,1
2018-12-03,1,1
2018-12-08,1,1
2018-12-12,1,1
2018-12-16,1,1
2018-12-17,2,2
2018-12-18,1,1
2019-01-06,1,1
2019-01-20,1,1
2019-01-31,2,2
2019-02-08,1,1
2019-02-18,1,1
2019-02-27,6,6
2019-04-01,1,1
2019-04-04,1,1
2019-04-05,1,1
2019-04-07,1,1
2019-04-15,1,1
2019-04-16,1,1
2019-04-27,2,2
2019-04-28,1,1
2019-05-04,1,1
2019-05-09,1,1
2019-05-10,1,1
2019-05-14,1,1
2019-05-16,1,1
2019-05-22,2,2
2019-05-23,1,1
2019-06-05,1,1
2019-06-13,1,1
2019-06-15,1,1
2019-06-18,1,1
2019-06-21,1,1
2019-06-23,2,2
2019-06-28,1,1
2019-06-30,1,1
2019-07-01,1,1
2019-07-02,1,1
2019-07-04,1,1
2019-07-10,1,1
2019-07-11,1,1
2019-07-14,1,1
2019-07-17,2,2
2019-07-20,1,1
2019-07-21,1,1
2019-07-22,1,1
2019-07-24,1,1
2019-08-01,1,1
2019-08-03,2,2
2019-08-04,1,1
2019-08-07,1,1
2019-08-08,1,1
2019-08-14,2,2
2019-08-18,1,1
2019-08-21,3,3
2019-08-22,1,1
2019-08-23,1,1
2019-08-27,1,1
2019-08-28,1,1
2019-08-29,1,1
2019-09-05,1,1
2019-09-08,1,1
2019-09-10,1,1
2019-09-11,1,1
2019-09-12,2,2
2019-09-13,1,1
2019-09-14,1,1
2019-09-16,2,2
2019-09-17,9,9
2019-09-20,2,2
2019-09-21,2,2
2019-09-22,1,1
2019-09-23,1,1
2019-09-24,3,3
2019-09-25,1,1
2019-09-27,1,1
2019-10-04,1,1
2019-10-06,1,1
2019-10-07,1,1
2019-10-11,2,2
2019-10-12,1,1
2019-10-14,1,1
2019-10-16,1,1
2019-10-22,1,1
