date,hit_count,text_count
2005-05-11,1,1
2006-06-06,1,1
2006-09-04,1,1
2006-10-31,1,1
2006-11-04,1,1
2006-11-07,1,1
2007-02-03,1,1
2007-02-17,1,1
2007-02-23,1,1
2007-03-30,1,1
2007-04-05,1,1
2007-04-21,1,1
2007-04-27,1,1
2007-05-05,2,2
2007-06-01,2,2
2007-06-08,1,1
2007-06-11,1,1
2007-08-03,1,1
2007-09-27,1,1
2007-09-28,1,1
2007-10-13,2,2
2007-11-21,1,1
2007-12-03,1,1
2007-12-07,1,1
2007-12-08,3,3
2007-12-10,1,1
2007-12-29,1,1
2007-12-31,1,1
2008-01-28,1,1
2008-11-06,1,1
2008-12-31,1,1
2009-03-13,1,1
2009-09-15,1,1
2009-12-18,1,1
2013-09-28,1,1
2014-09-24,1,1
2016-10-08,1,1
2018-01-23,1,1
2018-06-18,1,1
2018-06-20,1,1
2018-07-21,1,1
2018-08-07,1,1
2019-02-14,1,1
2019-03-02,1,1
2019-04-10,1,1
2019-06-13,1,1
2019-06-22,1,1
2019-06-27,1,1
2019-06-29,1,1
2019-07-03,1,1
2019-07-30,1,1
2019-07-31,1,1
2019-08-14,2,2
2019-08-21,1,1
2019-10-08,1,1
2019-11-04,1,1
2019-11-23,1,1
2019-11-30,1,1
2019-12-03,1,1
2019-12-05,1,1
2019-12-12,1,1
2019-12-27,1,1
2020-01-09,1,1
2020-01-16,1,1
2020-01-22,1,1
2020-01-25,1,1
2020-02-12,1,1
2020-02-13,1,1
2020-02-14,1,1
2020-02-15,1,1
2020-02-25,1,1
2020-02-29,1,1
2020-03-17,1,1
2020-04-09,1,1
2020-04-17,1,1
2020-04-22,1,1
2020-04-25,1,1
2020-04-27,1,1
2020-05-28,1,1
2020-06-18,1,1
2020-08-06,1,1
2020-08-21,1,1
2020-09-24,1,1
2020-09-26,1,1
2020-09-29,1,1
2020-10-12,1,1
2020-10-21,1,1
2020-10-22,1,1
2020-10-29,1,1
2020-11-14,1,1
2020-11-18,1,1
2020-11-24,1,1
2020-12-03,1,1
2020-12-11,1,1
2021-01-04,1,1
2021-01-11,2,2
2021-01-25,1,1
2021-01-28,1,1
2021-02-03,1,1
2021-02-11,1,1
2021-02-22,1,1
2021-03-06,1,1
2021-03-10,1,1
2021-03-11,1,1
2021-03-22,1,1
2021-03-24,1,1
2021-04-20,1,1
2021-04-23,1,1
2021-04-24,1,1
2021-04-30,1,1
2021-05-22,1,1
2021-07-08,1,1
2021-07-14,1,1
2021-07-16,2,2
2021-07-22,1,1
2021-07-24,1,1
2021-08-04,2,2
2021-08-07,1,1
2021-08-14,1,1
2021-08-16,1,1
2021-08-21,1,1
2021-08-26,1,1
2021-09-06,2,2
2021-09-08,1,1
2021-09-10,1,1
2021-09-11,1,1
2021-09-14,1,1
2021-09-17,1,1
2021-09-18,1,1
2021-09-29,1,1
2021-10-12,1,1
2021-10-20,2,2
2021-10-23,1,1
2021-10-26,1,1
2021-11-26,1,1
2021-11-27,1,1
2022-03-24,1,1
2022-05-07,1,1
2022-05-16,1,1
2022-06-11,1,1
2022-06-28,1,1
2022-07-13,1,1
2022-07-20,1,1
2022-07-22,1,1
2022-08-08,1,1
2022-08-19,1,1
2022-09-01,1,1
2022-09-23,1,1
2022-10-07,1,1
2022-10-12,1,1
2022-10-14,1,1
2022-10-19,1,1
2022-10-20,1,1
2022-10-21,1,1
2022-10-28,3,3
2022-11-04,1,1
2022-11-07,1,1
2022-11-10,1,1
2022-11-12,3,3
2022-11-18,2,2
2022-11-19,1,1
2022-11-22,2,2
2022-11-25,1,1
2022-12-07,1,1
2022-12-15,2,2
