date,hit_count,text_count
2002-05-02,1,1
2002-08-12,1,1
2002-08-26,1,1
2002-09-02,1,1
2002-11-23,1,1
2003-01-07,1,1
2003-06-18,1,1
2003-10-11,1,1
2004-03-01,1,1
2004-03-26,1,1
2004-04-03,1,1
2004-04-28,1,1
2004-06-02,1,1
2004-06-30,1,1
2004-10-25,1,1
2005-02-17,1,1
2005-03-05,1,1
2005-07-08,1,1
2005-09-03,1,1
2005-09-10,1,1
2005-09-22,1,1
2005-12-01,1,1
2005-12-05,2,2
2005-12-10,1,1
2005-12-12,1,1
2006-04-04,1,1
2006-04-08,1,1
2006-06-20,1,1
2006-08-26,1,1
2006-09-06,1,1
2006-11-03,1,1
2006-11-16,1,1
2007-01-19,1,1
2007-01-20,1,1
2007-01-23,1,1
2007-01-29,1,1
2007-01-30,1,1
2007-02-03,1,1
2007-02-19,1,1
2007-03-02,2,2
2007-03-03,1,1
2007-03-09,1,1
2007-04-04,1,1
2007-04-24,2,2
2007-04-25,1,1
2007-04-28,1,1
2007-05-05,2,2
2007-06-01,1,1
2007-06-04,1,1
2007-06-06,1,1
2007-06-09,1,1
2007-06-12,2,2
2007-06-16,1,1
2007-06-20,1,1
2007-07-04,1,1
2007-07-07,2,2
2007-07-12,1,1
2007-07-17,1,1
2007-08-01,1,1
2007-08-22,1,1
2007-08-24,1,1
2007-08-30,1,1
2007-09-21,1,1
2007-09-27,1,1
2007-10-13,1,1
2007-10-17,1,1
2007-12-04,1,1
2007-12-06,1,1
2007-12-11,1,1
2007-12-31,1,1
2008-01-19,1,1
2008-01-31,1,1
2008-02-02,1,1
2008-02-05,1,1
2008-02-11,1,1
2008-02-27,1,1
2008-03-03,1,1
2008-03-17,1,1
2008-03-27,1,1
2008-04-01,1,1
2008-04-02,1,1
2008-04-08,1,1
2008-04-15,1,1
2008-04-17,1,1
2008-04-19,2,2
2008-04-21,1,1
2008-04-25,1,1
2008-05-22,1,1
2008-05-27,1,1
2008-06-02,1,1
2008-06-12,1,1
2008-06-30,1,1
2008-07-02,1,1
2008-07-07,1,1
2008-07-09,1,1
2008-07-12,1,1
2008-07-14,1,1
2008-07-23,1,1
2008-07-26,1,1
2008-08-07,1,1
2008-10-16,1,1
2008-10-23,1,1
2008-10-25,2,2
2008-11-29,1,1
2009-01-15,1,1
2009-01-19,1,1
2009-01-20,1,1
2009-01-24,1,1
2009-02-05,1,1
2009-03-16,1,1
2009-03-30,1,1
2009-04-03,1,1
2009-04-07,1,1
2009-05-05,1,1
2009-05-30,1,1
2009-06-17,1,1
2009-06-19,1,1
2009-06-23,1,1
2009-06-26,1,1
2009-07-09,1,1
2009-08-29,1,1
2009-09-17,1,1
2009-09-22,1,1
2009-09-24,1,1
2009-09-25,1,1
2009-10-12,1,1
2009-10-17,1,1
2009-10-29,1,1
2009-11-13,1,1
2009-11-14,1,1
2009-11-20,1,1
2009-12-03,1,1
2009-12-07,1,1
2009-12-10,1,1
2009-12-12,1,1
2009-12-14,1,1
2009-12-16,1,1
2009-12-17,1,1
2009-12-18,1,1
2009-12-22,1,1
2010-01-14,1,1
2010-04-16,1,1
2010-04-19,1,1
2010-06-25,1,1
2010-06-28,1,1
2010-07-09,1,1
2010-11-20,1,1
2010-11-22,1,1
2010-12-11,1,1
2010-12-13,1,1
2011-01-20,1,1
2011-02-10,1,1
2011-02-16,1,1
2011-03-19,1,1
2011-03-28,1,1
2011-04-11,1,1
2011-05-10,1,1
2011-06-18,1,1
2011-07-01,1,1
2011-09-17,1,1
2011-10-20,1,1
2011-12-09,1,1
2011-12-10,1,1
2011-12-12,1,1
2012-02-14,2,2
2012-02-23,1,1
2012-03-20,1,1
2012-05-02,2,2
2012-06-25,1,1
2012-08-18,1,1
2012-09-19,2,2
2012-09-25,1,1
2012-09-27,1,1
2012-11-10,1,1
2013-03-01,1,1
2013-05-16,1,1
2013-06-29,1,1
2013-09-05,1,1
2013-09-12,1,1
2013-09-28,1,1
2014-01-30,1,1
2014-02-15,1,1
2014-03-03,1,1
2014-03-21,1,1
2014-03-22,1,1
2014-05-17,1,1
2014-05-26,1,1
2014-09-15,1,1
2014-09-18,1,1
2014-09-20,1,1
2014-10-11,2,2
2014-10-17,1,1
2014-10-24,1,1
2014-11-15,1,1
2014-11-21,1,1
2014-12-15,1,1
2014-12-20,1,1
2014-12-27,1,1
2015-01-29,1,1
2015-06-04,1,1
2015-09-28,1,1
2015-10-29,1,1
2015-11-14,2,2
2015-11-20,1,1
2015-11-30,1,1
2015-12-01,1,1
2015-12-19,1,1
2016-03-19,2,2
2016-04-15,1,1
2016-04-26,2,2
2016-05-28,2,2
2016-06-03,1,1
2016-06-04,1,1
2016-08-23,1,1
2016-08-27,1,1
2016-10-10,1,1
2016-10-15,1,1
2016-11-09,1,1
2016-11-11,1,1
2016-12-30,1,1
2017-03-20,1,1
2017-03-25,2,2
2017-04-21,1,1
2017-05-09,1,1
2017-05-20,1,1
2017-05-25,1,1
2017-05-27,1,1
2017-05-30,1,1
2017-06-02,1,1
2017-06-03,1,1
2017-06-08,1,1
2017-06-30,1,1
2017-07-03,1,1
2017-07-07,1,1
2017-07-08,1,1
2017-07-10,1,1
2017-08-09,1,1
2017-10-03,1,1
2017-11-04,1,1
2017-11-13,1,1
2017-11-15,1,1
2017-11-18,1,1
2017-11-30,1,1
2017-12-19,1,1
2018-02-02,1,1
2018-03-22,1,1
2018-03-26,1,1
2018-03-29,2,2
2018-05-15,1,1
2018-07-09,1,1
2018-08-01,1,1
2018-08-11,1,1
2018-08-22,1,1
2018-08-28,2,2
2018-09-17,1,1
2018-09-20,1,1
2018-09-25,1,1
2018-09-27,1,1
2018-10-06,1,1
2018-10-09,1,1
2018-10-19,1,1
2018-10-24,1,1
2018-11-12,1,1
2018-11-16,1,1
2018-11-19,1,1
2018-11-26,1,1
2018-11-30,1,1
2018-12-01,1,1
2018-12-03,1,1
2018-12-04,1,1
2018-12-05,1,1
2018-12-10,1,1
2018-12-20,1,1
2019-01-10,1,1
2019-01-22,1,1
2019-01-25,1,1
2019-01-26,1,1
2019-02-09,1,1
2019-02-11,1,1
2019-02-16,1,1
2019-02-21,1,1
2019-02-23,1,1
2019-03-02,1,1
2019-03-07,1,1
2019-03-12,1,1
2019-03-13,1,1
2019-03-15,2,2
2019-03-16,1,1
2019-03-18,3,3
2019-03-19,2,2
2019-03-20,1,1
2019-03-23,2,2
2019-03-27,1,1
2019-03-30,1,1
2019-04-01,2,2
2019-04-02,1,1
2019-04-04,1,1
2019-04-11,1,1
2019-04-15,1,1
2019-04-16,1,1
2019-04-17,1,1
2019-04-18,3,3
2019-04-19,1,1
2019-04-20,1,1
2019-04-25,3,3
2019-04-27,4,4
2019-05-02,1,1
2019-05-04,1,1
2019-05-10,1,1
2019-05-16,2,2
2019-05-17,1,1
2019-05-18,1,1
2019-05-29,1,1
2019-06-01,1,1
2019-06-04,1,1
2019-06-13,1,1
