date,hit_count,text_count
2009-01-02,1,1
2009-01-03,2,1
2009-01-08,2,1
2009-01-09,3,2
2009-01-10,4,4
2009-01-12,1,1
2009-01-14,2,1
2009-01-15,2,2
2009-01-16,3,3
2009-01-19,3,2
2009-01-20,1,1
2009-01-22,2,2
2009-01-23,3,2
2009-01-26,2,2
2009-01-27,1,1
2009-01-29,3,1
2009-01-30,5,3
2009-01-31,1,1
2009-02-03,2,2
2009-02-05,1,1
2009-02-06,3,2
2009-02-07,1,1
2009-02-09,1,1
2009-02-10,8,4
2009-02-12,4,2
2009-02-13,7,4
2009-02-14,2,1
2009-02-16,1,1
2009-02-17,1,1
2009-02-18,1,1
2009-02-19,3,1
2009-02-21,2,1
2009-02-24,4,3
2009-02-25,1,1
2009-02-26,1,1
2009-02-27,1,1
2009-03-03,1,1
2009-03-05,1,1
2009-03-06,5,2
2009-03-07,4,3
2009-03-10,1,1
2009-03-11,1,1
2009-03-13,5,2
2009-03-16,1,1
2009-03-17,3,1
2009-03-19,1,1
2009-03-20,1,1
2009-03-21,3,3
2009-03-23,3,2
2009-03-25,5,1
2009-03-26,4,3
2009-03-28,2,1
2009-03-30,7,3
2009-03-31,2,2
2009-04-02,2,2
2009-04-03,3,2
2009-04-06,1,1
2009-04-08,4,3
2009-04-09,1,1
2009-04-15,6,2
2009-04-16,3,3
2009-04-17,2,1
2009-04-21,4,3
2009-04-22,4,2
2009-04-23,3,3
2009-04-24,2,2
2009-04-25,3,2
2009-04-28,2,2
2009-04-29,1,1
2009-04-30,1,1
2009-05-02,12,4
2009-05-05,2,1
2009-05-06,2,2
2009-05-07,1,1
2009-05-09,1,1
2009-05-11,1,1
2009-05-12,2,2
2009-05-13,7,6
2009-05-14,2,2
2009-05-15,1,1
2009-05-16,6,3
2009-05-18,1,1
2009-05-20,5,4
2009-05-25,1,1
2009-05-26,1,1
2009-05-27,1,1
2009-05-28,4,2
2009-06-02,1,1
2009-06-03,3,1
2009-06-04,1,1
2009-06-05,1,1
2009-06-06,1,1
2009-06-08,1,1
2009-06-09,1,1
2009-06-17,1,1
2009-06-18,6,1
2009-06-19,1,1
2009-06-20,1,1
2009-06-23,2,2
2009-06-24,1,1
2009-06-25,1,1
2009-06-26,2,1
2009-06-27,2,1
2009-06-30,5,3
2009-07-01,6,3
2009-07-03,6,5
2009-07-04,3,1
2009-07-08,3,3
2009-07-09,5,2
2009-07-11,3,3
2009-07-15,2,1
2009-07-16,6,4
2009-07-18,1,1
2009-07-20,1,1
2009-07-21,6,2
2009-07-22,1,1
2009-07-23,1,1
2009-07-24,4,4
2009-07-25,4,2
