date,hit_count,text_count
2010-04-29,1,1
2010-05-05,1,1
2010-06-03,1,1
2010-06-05,1,1
2010-09-21,1,1
2010-10-04,1,1
2010-10-07,1,1
2010-11-18,1,1
2010-12-01,1,1
2010-12-04,1,1
2010-12-08,1,1
2011-01-13,1,1
2011-03-09,1,1
2011-05-04,1,1
2011-09-13,1,1
2011-11-10,1,1
2011-12-08,1,1
2012-03-10,2,2
2012-03-17,1,1
2012-03-27,1,1
2012-05-15,1,1
2012-05-31,1,1
2012-12-03,1,1
2012-12-20,1,1
2013-03-18,1,1
2013-03-21,1,1
2013-09-10,1,1
2013-09-14,1,1
2013-09-20,1,1
2013-10-25,1,1
2013-10-30,1,1
2013-11-04,1,1
2014-05-15,1,1
2014-07-01,1,1
2014-07-31,1,1
2014-11-29,1,1
2015-01-24,1,1
2018-09-14,2,2
2018-09-15,1,1
2018-09-26,1,1
2018-10-11,1,1
2018-10-19,2,2
2018-10-24,3,3
2018-10-25,1,1
2018-10-30,1,1
2018-11-07,3,3
2018-11-13,1,1
2018-12-06,1,1
2018-12-11,1,1
2018-12-12,1,1
2018-12-19,1,1
2019-01-11,1,1
2019-01-15,1,1
2019-01-19,1,1
2019-01-31,2,2
2019-02-03,1,1
2019-02-06,1,1
2019-02-15,1,1
2019-02-21,1,1
2019-03-13,2,2
2019-03-15,2,2
2019-03-22,1,1
2019-04-03,1,1
2019-04-06,1,1
2019-04-11,1,1
2019-04-15,1,1
2019-04-18,2,2
2019-04-21,3,3
2019-04-23,1,1
2019-04-24,1,1
2019-05-04,1,1
2019-05-05,1,1
2019-05-07,1,1
2019-05-09,1,1
2019-05-12,1,1
2019-05-16,1,1
2019-05-17,2,2
2019-05-20,1,1
2019-05-21,1,1
2019-05-22,1,1
2019-05-23,1,1
2019-05-24,3,3
2019-05-25,4,4
2019-05-30,1,1
2019-06-01,2,2
2019-06-04,2,2
2019-06-05,2,2
2019-06-06,1,1
2019-06-07,1,1
2019-06-13,2,2
2019-06-14,1,1
2019-06-15,1,1
2019-06-18,1,1
2019-06-19,2,2
2019-06-24,1,1
2019-06-26,4,4
2019-06-27,2,2
2019-06-29,5,5
2019-07-02,2,2
2019-07-03,2,2
2019-07-06,3,3
2019-07-08,1,1
2019-07-09,3,3
2019-07-10,2,2
2019-07-11,4,4
2019-07-12,3,3
2019-07-13,7,7
2019-07-18,1,1
2019-07-19,2,2
2019-07-20,2,2
2019-07-22,2,2
2019-07-24,2,2
2019-07-25,1,1
2019-07-27,2,2
2019-07-29,1,1
2019-08-01,4,4
2019-08-02,1,1
