date,hit_count,text_count
2010-04-29,2,2
2010-05-08,1,1
2010-05-12,1,1
2010-05-21,1,1
2010-06-29,1,1
2010-07-08,1,1
2010-07-09,1,1
2010-07-21,1,1
2010-08-14,1,1
2010-09-01,1,1
2010-09-21,1,1
2010-11-04,2,2
2010-11-06,1,1
2010-11-20,1,1
2010-12-10,1,1
2010-12-13,2,2
2010-12-15,1,1
2011-01-08,1,1
2011-01-15,3,3
2011-01-18,1,1
2011-01-19,1,1
2011-01-26,1,1
2011-02-03,2,2
2011-02-04,1,1
2011-02-09,1,1
2011-02-11,1,1
2011-02-16,1,1
2011-02-21,1,1
2011-02-23,1,1
2011-03-03,1,1
2011-03-10,2,2
2011-03-11,1,1
2011-03-16,1,1
2011-03-21,1,1
2011-04-09,3,3
2011-04-19,1,1
2011-05-20,1,1
2011-06-10,1,1
2011-06-23,1,1
2011-06-25,2,2
2011-07-04,3,3
2011-07-08,1,1
2011-07-21,1,1
2011-07-26,1,1
2011-08-03,1,1
2011-08-16,2,2
2011-08-24,1,1
2011-09-24,1,1
2011-09-28,2,2
2011-09-30,1,1
2011-10-19,1,1
2011-10-22,1,1
2011-10-29,1,1
2011-11-30,1,1
2011-12-09,1,1
2011-12-12,3,3
2011-12-14,3,3
2011-12-16,1,1
2011-12-19,3,3
2011-12-28,1,1
2011-12-31,1,1
2012-01-10,1,1
2012-01-26,1,1
2012-03-01,1,1
2012-03-16,1,1
2012-03-21,1,1
2012-03-24,2,2
2012-03-27,1,1
2012-04-25,1,1
2012-05-07,2,2
2012-05-10,1,1
2012-05-15,1,1
2012-05-23,1,1
2012-06-07,1,1
2012-06-13,1,1
2012-06-15,1,1
2012-07-03,1,1
2012-07-09,1,1
2012-07-11,1,1
2012-07-14,1,1
2012-07-17,1,1
2012-07-19,1,1
2012-10-25,1,1
2012-11-06,1,1
2012-11-26,1,1
2012-11-28,2,2
2012-11-30,1,1
2012-12-05,1,1
2012-12-07,2,2
2012-12-08,1,1
2012-12-13,1,1
2012-12-15,2,2
2012-12-28,1,1
2012-12-29,1,1
2013-01-12,1,1
2013-02-27,1,1
2013-03-02,1,1
2013-03-06,1,1
2013-03-15,1,1
2013-06-13,1,1
2013-06-22,1,1
2013-07-05,1,1
2013-07-10,3,3
2013-07-31,1,1
2013-08-03,1,1
2013-09-04,1,1
2013-09-20,1,1
2013-10-01,1,1
2013-10-05,1,1
2013-10-26,1,1
2013-10-29,1,1
2013-10-30,1,1
2013-10-31,1,1
2013-11-04,1,1
2013-11-05,1,1
2013-11-22,1,1
2013-11-27,1,1
2013-11-28,1,1
2013-12-05,1,1
2013-12-13,1,1
2013-12-21,1,1
2014-01-22,1,1
2014-02-11,2,2
2014-02-28,1,1
2014-03-08,1,1
2014-03-10,1,1
2014-03-15,3,3
2014-04-07,1,1
2014-04-14,1,1
2014-04-16,1,1
2014-04-18,1,1
2014-05-22,1,1
2014-05-28,1,1
2014-06-03,1,1
2014-06-21,1,1
2014-06-25,2,2
2014-08-20,1,1
2014-08-21,1,1
2014-08-23,2,2
2014-08-27,1,1
2014-08-28,1,1
2014-08-30,1,1
2014-09-22,1,1
2014-09-23,2,2
2014-09-29,1,1
2014-10-25,1,1
2014-10-31,1,1
2014-11-04,1,1
2014-11-07,1,1
2014-11-13,1,1
2014-11-14,1,1
2014-11-18,3,3
2014-11-24,2,2
2014-11-25,1,1
2014-11-26,1,1
2014-11-28,2,2
2014-11-29,1,1
2014-12-05,1,1
2014-12-12,1,1
2014-12-15,1,1
2014-12-16,1,1
2015-01-02,1,1
2015-01-10,1,1
2015-01-20,1,1
2015-01-30,1,1
2015-02-17,1,1
2015-02-20,1,1
2015-02-27,1,1
2015-03-03,1,1
2015-03-11,1,1
2015-03-25,1,1
2015-03-30,1,1
2015-04-02,2,2
2015-04-07,1,1
2015-04-09,1,1
2015-04-17,1,1
2015-04-21,1,1
2015-06-09,1,1
2018-09-17,3,3
2018-09-18,3,3
2018-09-20,1,1
2018-09-22,1,1
2018-09-24,2,2
2018-09-28,1,1
2018-09-29,2,2
2018-10-03,1,1
2018-10-04,1,1
2018-10-06,1,1
2018-10-08,1,1
2018-10-09,2,2
2018-10-10,2,2
2018-10-11,4,4
2018-10-12,3,3
2018-10-14,3,3
2018-10-19,1,1
2018-10-23,1,1
2018-10-24,3,3
2018-10-25,3,3
2018-10-27,1,1
2018-10-28,1,1
2018-10-31,1,1
2018-11-10,1,1
2018-11-19,1,1
2018-11-22,2,2
2018-11-27,1,1
2018-11-29,2,2
2018-11-30,2,2
2018-12-04,1,1
2018-12-06,1,1
2018-12-10,1,1
2018-12-11,1,1
2018-12-12,1,1
2018-12-13,1,1
2018-12-15,1,1
2018-12-17,2,2
2018-12-18,1,1
2018-12-20,1,1
2018-12-28,1,1
2019-01-09,1,1
2019-01-10,3,3
2019-01-16,1,1
2019-01-17,2,2
2019-01-19,1,1
2019-01-22,1,1
2019-01-23,1,1
2019-01-24,1,1
2019-01-28,2,2
2019-01-29,1,1
2019-01-30,1,1
2019-01-31,1,1
2019-02-07,2,2
2019-02-09,2,2
2019-02-13,1,1
2019-02-15,2,2
2019-02-19,1,1
2019-02-21,2,2
2019-02-25,1,1
2019-02-28,2,2
2019-03-02,3,3
2019-03-04,1,1
2019-03-06,1,1
2019-03-12,1,1
2019-03-13,1,1
2019-03-15,1,1
2019-03-16,3,3
2019-03-20,1,1
2019-03-23,1,1
2019-03-26,1,1
2019-03-27,2,2
2019-03-29,2,2
2019-04-01,1,1
2019-04-03,1,1
2019-04-04,1,1
2019-04-06,2,2
2019-04-08,1,1
2019-04-09,2,2
