date,hit_count,text_count
2010-04-30,2,2
2010-05-01,1,1
2010-05-07,1,1
2010-05-12,1,1
2010-06-09,1,1
2010-06-11,1,1
2010-06-25,2,2
2010-06-26,1,1
2010-07-07,1,1
2010-07-16,1,1
2010-07-24,1,1
2010-07-31,1,1
2010-08-19,1,1
2010-09-07,2,2
2010-09-20,1,1
2010-09-25,1,1
2010-09-28,1,1
2010-09-29,2,2
2010-09-30,2,2
2010-10-02,1,1
2010-10-22,2,2
2010-10-23,2,2
2010-11-10,1,1
2010-11-11,1,1
2010-11-13,1,1
2010-11-16,1,1
2010-11-17,1,1
2010-11-22,1,1
2010-11-30,1,1
2010-12-07,1,1
2010-12-13,2,2
2010-12-30,1,1
2010-12-31,1,1
2011-01-08,1,1
2011-01-21,1,1
2011-01-27,1,1
2011-01-29,1,1
2011-02-17,1,1
2011-02-18,2,2
2011-03-04,1,1
2011-03-15,1,1
2011-03-16,1,1
2011-04-02,1,1
2011-04-04,1,1
2011-04-13,1,1
2011-04-20,1,1
2011-05-06,1,1
2011-05-10,1,1
2011-05-13,1,1
2011-05-20,2,2
2011-05-25,2,2
2011-05-28,2,2
2011-06-01,2,2
2011-06-22,1,1
2011-07-01,1,1
2011-07-04,1,1
2011-07-07,1,1
2011-07-08,1,1
2011-07-15,1,1
2011-08-04,1,1
2011-09-21,1,1
2011-10-13,1,1
2011-10-19,1,1
2011-11-11,1,1
2011-11-19,2,2
2011-11-24,1,1
2011-11-28,2,2
2011-11-29,1,1
2011-12-08,1,1
2011-12-10,1,1
2011-12-12,3,3
2011-12-14,1,1
2011-12-15,1,1
2011-12-22,1,1
2011-12-24,1,1
2011-12-28,1,1
2011-12-29,1,1
2011-12-30,2,2
2011-12-31,1,1
2012-01-12,1,1
2012-01-14,1,1
2012-02-06,1,1
2012-02-08,1,1
2012-02-18,1,1
2012-02-21,1,1
2012-02-22,1,1
2012-03-13,1,1
2012-03-14,1,1
2012-03-22,1,1
2012-03-24,1,1
2012-04-18,1,1
2012-04-28,1,1
2012-05-03,1,1
2012-05-04,1,1
2012-05-05,1,1
2012-05-11,1,1
2012-05-23,1,1
2012-05-30,1,1
2012-06-05,1,1
2012-06-23,1,1
2012-06-25,1,1
2012-07-07,1,1
2012-07-09,1,1
2012-07-11,1,1
2012-07-12,1,1
2012-07-16,2,2
2012-07-17,1,1
2012-07-23,1,1
2012-08-23,2,2
2012-09-06,1,1
2012-09-20,1,1
2012-09-26,1,1
2012-10-13,1,1
2012-11-17,1,1
2012-11-19,1,1
2012-11-26,1,1
2012-11-29,1,1
2012-12-03,2,2
2012-12-12,1,1
2012-12-20,1,1
2013-01-11,1,1
2013-01-17,1,1
2013-01-25,1,1
2013-01-31,1,1
2013-02-05,1,1
2013-02-06,1,1
2013-02-09,1,1
2013-02-11,1,1
2013-02-20,1,1
2013-03-11,1,1
2013-03-15,1,1
2013-03-21,3,3
2013-05-04,1,1
2013-05-07,1,1
2013-05-09,3,3
2013-05-18,1,1
2013-06-06,1,1
2013-06-20,1,1
2013-06-22,2,2
2013-06-26,1,1
2013-06-27,2,2
2013-07-05,1,1
2013-07-16,1,1
2013-07-18,1,1
2013-09-04,1,1
2013-09-23,1,1
2013-09-27,1,1
2013-10-05,1,1
2013-10-07,1,1
2013-10-26,1,1
2013-11-16,1,1
2013-11-22,1,1
2013-11-28,1,1
2013-11-30,1,1
2013-12-14,1,1
2013-12-28,1,1
2014-01-09,1,1
2014-01-20,1,1
2014-01-21,1,1
2014-01-31,1,1
2014-02-04,1,1
2014-02-11,1,1
2014-02-12,1,1
2014-02-13,1,1
2014-02-17,1,1
2014-02-18,1,1
2014-02-19,1,1
2014-02-26,1,1
2014-03-06,1,1
2014-03-08,2,2
2014-03-13,1,1
2014-03-17,1,1
2014-03-18,1,1
2014-03-19,2,2
2014-03-20,1,1
2014-03-25,1,1
