date,hit_count,text_count
2010-04-29,1,1
2010-05-05,1,1
2010-05-15,1,1
2010-06-25,2,2
2010-07-08,1,1
2010-07-10,1,1
2010-07-21,1,1
2010-08-07,1,1
2010-08-10,1,1
2010-08-28,1,1
2010-09-22,1,1
2010-09-25,1,1
2010-10-07,1,1
2010-11-26,1,1
2010-12-24,3,3
2010-12-27,3,3
2010-12-28,2,2
2010-12-30,3,3
2011-01-03,2,2
2011-01-05,1,1
2011-01-06,1,1
2011-01-11,2,2
2011-01-19,1,1
2011-01-22,1,1
2011-01-27,1,1
2011-02-16,1,1
2011-02-17,2,2
2011-03-05,1,1
2011-04-13,1,1
2011-04-28,1,1
2011-04-29,1,1
2011-05-20,1,1
2011-06-10,1,1
2011-06-25,1,1
2011-06-30,1,1
2011-07-08,1,1
2011-07-16,1,1
2011-07-29,1,1
2011-08-02,1,1
2011-08-10,1,1
2011-09-02,1,1
2011-09-16,1,1
2011-09-21,1,1
2011-09-29,1,1
2011-09-30,1,1
2011-10-05,1,1
2011-10-10,1,1
2011-10-13,1,1
2011-10-15,1,1
2011-10-21,1,1
2011-10-24,1,1
2011-11-09,1,1
2011-11-23,1,1
2011-12-19,2,2
2011-12-30,1,1
2012-01-17,1,1
2012-01-21,1,1
2012-01-25,1,1
2012-02-04,1,1
2012-02-10,1,1
2012-02-29,1,1
2012-03-01,1,1
2012-03-17,1,1
2012-03-29,1,1
2012-05-03,2,2
2012-05-07,2,2
2012-05-08,1,1
2012-05-11,2,2
2012-05-15,1,1
2012-05-17,1,1
2012-05-19,1,1
2012-05-24,1,1
2012-06-01,1,1
2012-06-14,1,1
2012-06-21,1,1
2012-07-05,1,1
2012-07-06,1,1
2012-07-09,1,1
2012-07-11,2,2
2012-08-09,1,1
2012-08-20,1,1
2012-09-11,1,1
2012-09-27,1,1
2012-10-10,1,1
2012-11-08,1,1
2012-11-15,1,1
2012-11-28,1,1
2013-01-11,1,1
2013-01-17,2,2
2013-01-25,1,1
2013-01-30,2,2
2013-02-05,1,1
2013-02-14,1,1
2013-02-26,1,1
2013-03-15,1,1
2013-04-06,2,2
2013-05-17,1,1
2013-05-21,1,1
2013-06-26,1,1
2013-07-03,2,2
2013-07-30,1,1
2013-07-31,1,1
2013-08-16,1,1
2013-08-17,1,1
2013-08-20,1,1
2013-08-29,1,1
2013-09-03,1,1
2013-09-04,1,1
2013-09-13,1,1
2013-11-06,1,1
2013-11-07,3,3
2013-11-27,1,1
2013-12-14,1,1
2014-01-08,1,1
2014-01-15,1,1
2014-01-16,1,1
2014-01-18,1,1
