date,hit_count,text_count
2002-03-13,1,1
2004-10-20,1,1
2006-08-29,1,1
2006-11-08,1,1
2006-11-25,1,1
2007-01-04,1,1
2007-01-27,1,1
2007-01-31,1,1
2007-02-06,1,1
2007-02-14,1,1
2007-02-23,2,2
2007-05-05,1,1
2007-06-02,1,1
2007-09-28,1,1
2007-12-11,1,1
2007-12-20,1,1
2007-12-29,1,1
2007-12-31,1,1
2008-01-22,1,1
2008-03-11,1,1
2008-03-29,1,1
2008-05-07,1,1
2008-07-08,1,1
2008-12-03,1,1
2009-02-26,1,1
2009-07-16,1,1
2009-07-21,1,1
2009-11-03,1,1
2009-11-14,1,1
2009-12-10,1,1
2009-12-17,1,1
2009-12-19,1,1
2010-12-31,1,1
2011-11-29,1,1
2012-09-22,1,1
2012-12-04,1,1
2013-05-21,1,1
2013-09-04,1,1
2013-10-15,1,1
2014-03-26,1,1
2014-06-04,1,1
2014-11-04,1,1
2015-03-07,1,1
2015-03-28,1,1
2015-11-13,1,1
2015-12-09,1,1
2016-02-16,1,1
2016-11-29,1,1
2017-01-21,1,1
2017-03-18,1,1
2017-03-24,1,1
2017-06-20,1,1
2017-08-09,3,3
2017-10-03,1,1
2017-10-16,1,1
2017-12-02,1,1
2017-12-12,1,1
2018-04-21,1,1
2018-08-11,1,1
2018-08-24,1,1
2018-08-29,1,1
2018-10-13,1,1
2018-10-19,1,1
2018-11-24,1,1
2018-11-28,2,2
2018-12-04,3,3
2018-12-14,1,1
2018-12-18,1,1
2018-12-19,1,1
2019-01-26,2,2
2019-01-31,1,1
2019-02-19,1,1
2019-02-20,1,1
2019-02-23,1,1
2019-03-22,1,1
2019-03-26,1,1
2019-03-27,1,1
2019-03-29,1,1
2019-04-13,2,2
2019-04-27,1,1
2019-05-07,2,2
2019-05-09,1,1
2019-05-15,1,1
2019-05-16,1,1
2019-05-17,1,1
2019-05-23,2,2
2019-05-29,2,2
2019-06-01,2,2
2019-06-04,1,1
2019-06-15,1,1
2019-06-18,1,1
2019-06-25,1,1
2019-06-26,1,1
2019-06-27,1,1
2019-06-29,1,1
2019-07-03,3,3
2019-07-04,1,1
2019-07-05,1,1
2019-07-10,1,1
2019-07-17,2,2
2019-07-20,1,1
2019-07-23,1,1
2019-07-24,3,3
2019-07-26,1,1
2019-08-01,1,1
