date,hit_count,text_count
2000-01-08,4,1
2000-01-10,2,2
2000-01-11,3,1
2000-01-25,1,1
2000-02-14,1,1
2000-03-10,1,1
2000-03-11,1,1
2000-03-17,3,2
2000-03-24,2,1
2000-04-07,1,1
2000-04-13,1,1
2000-04-15,2,1
2000-04-20,2,1
2000-04-22,1,1
2000-04-29,2,2
2000-05-01,1,1
2000-05-09,1,1
2000-05-30,1,1
2000-06-03,1,1
2000-06-06,1,1
2000-07-14,3,1
2000-07-19,1,1
2000-07-25,1,1
2000-07-27,3,2
2000-08-05,1,1
2000-09-07,1,1
2000-09-09,1,1
2000-09-16,1,1
2000-09-29,1,1
2000-10-19,2,1
2000-10-27,2,1
2000-11-10,3,1
2000-11-14,3,2
2000-11-17,1,1
2000-11-18,1,1
2000-11-22,1,1
2000-11-27,1,1
2000-12-08,4,1
2000-12-14,2,1
2000-12-15,1,1
2001-01-22,2,1
2001-02-02,3,1
2001-02-20,1,1
2001-02-24,1,1
2001-03-06,1,1
2001-03-08,5,2
2001-03-12,1,1
2001-03-15,1,1
2001-03-30,2,2
2001-03-31,4,2
2001-04-07,1,1
2001-04-09,2,1
2001-04-17,1,1
2001-05-09,2,1
2001-05-14,1,1
2001-05-19,1,1
2001-06-02,1,1
2001-06-05,3,3
2001-06-08,2,2
2001-06-13,1,1
2001-06-22,1,1
2001-06-26,1,1
2001-07-06,1,1
2001-07-10,1,1
2001-07-12,1,1
2001-07-14,3,3
2001-07-17,5,1
2001-07-18,4,2
2001-07-20,1,1
2001-07-28,1,1
2001-08-06,2,2
2001-08-07,5,1
2001-08-10,3,1
2001-08-13,1,1
2001-08-16,1,1
2001-09-03,2,1
2001-09-04,2,2
2001-09-18,1,1
2001-09-25,1,1
2001-10-17,1,1
2001-10-19,1,1
2001-10-24,2,1
2001-11-12,6,2
2001-11-22,2,1
2001-11-27,1,1
2001-11-29,2,1
2001-11-30,1,1
2001-12-04,1,1
2001-12-15,1,1
2001-12-18,3,2
2003-12-03,1,1
2003-12-10,2,1
2004-01-03,1,1
2004-01-10,1,1
2004-01-26,1,1
2004-02-25,1,1
2004-03-13,1,1
2004-03-19,3,1
2004-03-20,1,1
2004-03-23,2,1
2004-03-25,4,2
2004-03-27,1,1
2004-03-29,6,3
2004-03-30,2,1
2004-03-31,9,4
2004-04-01,1,1
2004-04-03,1,1
2004-04-10,2,1
2004-05-06,1,1
2004-05-22,3,1
2004-05-29,2,1
2004-06-01,1,1
2004-06-05,2,2
2004-07-27,1,1
2004-07-29,1,1
2004-08-24,2,1
2004-08-27,2,1
2004-08-30,2,2
2004-09-07,2,2
2004-09-08,1,1
2004-10-01,1,1
2004-10-02,1,1
2004-10-09,3,1
2004-10-15,2,2
2004-10-19,1,1
2004-10-23,3,1
2004-10-25,1,1
2004-10-27,1,1
2004-10-28,1,1
2004-10-30,1,1
2004-11-03,1,1
2004-11-04,1,1
2004-11-05,1,1
2004-11-06,2,1
2004-11-09,1,1
2004-11-19,4,3
2004-12-07,1,1
2004-12-08,4,1
2004-12-10,1,1
2004-12-18,8,1
2004-12-27,1,1
2004-12-28,1,1
2005-01-10,6,3
2005-01-20,1,1
2005-01-25,3,2
2005-01-29,1,1
2005-02-05,1,1
2005-02-10,4,2
2005-02-16,3,3
2005-02-24,4,2
2005-03-23,2,1
2005-04-02,5,1
2005-04-12,2,1
2005-04-14,1,1
2005-04-19,1,1
2005-04-20,1,1
2005-04-30,2,1
2005-06-04,4,1
2005-07-01,2,1
2005-07-02,2,1
2005-07-05,2,1
2005-07-08,3,2
2005-07-09,2,2
2005-07-12,1,1
2005-07-13,1,1
2005-07-14,2,1
2005-07-28,2,1
2005-08-04,1,1
2005-08-12,1,1
2005-08-17,1,1
2005-08-20,2,1
2005-08-25,3,2
2005-08-30,1,1
2005-09-01,1,1
2005-09-03,4,1
2005-09-06,2,1
2005-09-08,1,1
2005-09-12,3,1
2005-09-29,1,1
2005-09-30,1,1
2005-10-05,2,1
2005-10-06,2,1
2005-10-14,2,2
2005-10-15,1,1
2005-10-18,1,1
2005-10-27,1,1
2005-10-29,1,1
2005-11-08,1,1
2005-11-10,1,1
2005-11-17,1,1
2005-11-23,1,1
2005-11-28,7,2
2005-11-29,9,4
2005-11-30,1,1
2005-12-01,8,3
2005-12-02,2,1
2005-12-08,3,1
2005-12-10,1,1
2005-12-12,9,2
2005-12-13,1,1
2006-01-04,1,1
2006-01-06,1,1
2006-01-07,1,1
2006-01-12,1,1
2006-01-13,3,2
2006-01-17,1,1
2006-01-18,2,1
2006-01-20,1,1
2006-01-21,1,1
2006-01-25,1,1
2006-01-26,2,2
2006-01-30,1,1
2006-02-07,1,1
2006-02-21,4,2
2006-02-23,1,1
2006-02-24,1,1
2006-02-28,1,1
2006-03-08,1,1
2006-03-17,7,1
2006-03-27,4,1
2006-03-30,1,1
2006-03-31,3,1
2006-04-01,2,2
2006-04-03,1,1
2006-04-04,1,1
2006-04-05,1,1
2006-04-07,1,1
2006-04-15,1,1
2006-04-18,1,1
2006-04-21,1,1
2006-04-25,1,1
2006-04-26,1,1
2006-04-28,1,1
2006-05-06,1,1
2006-05-11,2,1
2006-05-27,1,1
2006-05-29,1,1
2006-06-06,1,1
2006-06-29,3,2
2006-07-08,1,1
2006-07-10,1,1
2006-07-11,1,1
2006-07-12,1,1
2006-07-18,1,1
2006-07-20,1,1
2006-07-21,1,1
2006-07-22,2,2
2006-07-28,1,1
2006-08-01,2,1
2006-08-04,5,2
2006-08-05,4,2
2006-08-19,2,2
2006-08-29,1,1
2006-09-01,1,1
2006-09-05,1,1
2006-09-06,3,1
2006-09-11,3,1
2006-09-15,1,1
2006-09-27,2,2
2006-10-05,1,1
2006-10-19,1,1
2006-10-20,1,1
2006-10-24,1,1
2006-10-28,1,1
2006-11-03,3,2
2006-11-08,6,2
2006-11-11,1,1
2006-12-01,1,1
2006-12-02,1,1
2006-12-08,2,2
2006-12-16,1,1
2006-12-22,1,1
2007-01-04,1,1
2007-01-15,4,2
2007-01-17,2,1
2007-01-18,1,1
2007-01-22,1,1
