date,hit_count,text_count
2001-04-09,1,1
2001-07-18,1,1
2001-10-19,1,1
2001-11-27,1,1
2003-12-10,1,1
2004-03-29,1,1
2004-03-31,1,1
2004-04-01,1,1
2004-04-03,1,1
2004-06-01,2,2
2004-06-05,1,1
2004-11-19,1,1
2005-02-16,1,1
2005-04-30,1,1
2005-07-28,1,1
2005-08-25,1,1
2005-10-06,1,1
2005-12-02,1,1
2006-01-04,1,1
2006-01-21,1,1
2006-04-01,1,1
2006-04-03,1,1
2006-04-04,2,2
2006-11-08,1,1
2007-04-18,1,1
2007-05-16,1,1
2007-07-26,1,1
2007-08-04,1,1
2007-09-18,1,1
2007-11-26,3,3
2008-01-12,1,1
2008-01-19,1,1
2008-01-31,1,1
2008-03-22,1,1
2008-04-10,2,2
2008-04-18,1,1
2008-04-23,1,1
2008-04-25,1,1
2008-04-30,1,1
2008-05-21,1,1
2008-05-24,1,1
2008-05-30,1,1
2008-06-07,1,1
2008-06-19,1,1
2008-06-21,1,1
2008-06-27,3,3
2008-07-05,1,1
2008-07-07,1,1
2008-07-09,1,1
2008-07-10,1,1
2008-09-06,1,1
2008-09-25,1,1
2008-09-29,2,2
2008-09-30,1,1
2008-11-18,2,2
2008-12-30,1,1
2009-01-17,1,1
2009-02-27,1,1
2009-05-11,1,1
2009-05-16,1,1
2009-05-20,1,1
2009-08-06,1,1
2009-08-08,1,1
2009-08-13,1,1
2009-09-11,1,1
2009-09-29,1,1
2009-10-22,3,3
2009-10-28,1,1
2009-12-01,1,1
2009-12-05,1,1
2009-12-09,1,1
2009-12-11,1,1
2009-12-17,1,1
2009-12-22,1,1
2010-01-05,1,1
2010-10-05,1,1
2010-10-06,1,1
2010-10-27,1,1
2010-10-28,1,1
2010-11-27,2,2
2010-12-01,1,1
2010-12-02,1,1
2011-01-12,1,1
2011-01-31,1,1
2011-03-23,1,1
2011-05-07,1,1
2011-05-18,1,1
2011-05-26,1,1
2011-06-14,1,1
2011-08-04,1,1
2011-08-09,1,1
2011-09-14,1,1
2011-09-15,1,1
2011-10-15,1,1
2011-12-09,1,1
2012-01-09,1,1
2012-01-16,1,1
2012-01-21,2,2
2012-01-26,1,1
2012-01-27,1,1
2012-04-05,1,1
2012-06-06,1,1
2012-06-08,1,1
2012-07-07,1,1
2012-08-17,2,2
2012-09-03,1,1
2012-09-13,1,1
2012-10-08,1,1
2012-10-11,1,1
2012-11-02,1,1
2012-12-13,1,1
2012-12-14,1,1
2013-02-01,1,1
2013-02-02,1,1
2013-02-07,1,1
2013-02-16,1,1
2013-03-15,1,1
2013-03-19,1,1
2013-04-05,1,1
2013-06-20,1,1
2013-06-27,1,1
2013-08-10,1,1
2013-10-09,1,1
2013-12-03,1,1
2013-12-04,2,2
2013-12-18,1,1
2014-02-03,1,1
2014-02-07,1,1
2014-02-27,1,1
2014-05-28,1,1
2014-07-03,2,2
2014-07-24,1,1
2014-08-29,1,1
2014-09-09,1,1
2014-09-11,1,1
2014-09-16,1,1
2014-09-22,1,1
2014-09-24,1,1
2014-10-04,1,1
2014-10-28,1,1
2014-12-04,1,1
2014-12-09,2,2
2015-03-28,1,1
2015-05-04,1,1
2015-07-04,1,1
2015-07-07,1,1
2015-09-10,1,1
2015-09-12,1,1
2015-10-24,2,2
2015-10-26,1,1
2015-11-24,1,1
2015-12-12,1,1
2015-12-18,1,1
2016-02-16,1,1
2016-02-17,1,1
2016-02-23,1,1
2016-02-26,1,1
2016-02-29,1,1
2016-04-27,1,1
2016-06-28,1,1
2016-07-21,1,1
2016-08-27,1,1
2016-09-23,1,1
2016-10-21,1,1
2016-10-26,1,1
2016-11-07,1,1
2016-11-08,2,2
2016-11-12,1,1
2016-11-18,1,1
2016-11-30,1,1
2016-12-21,1,1
2016-12-28,1,1
2017-01-07,1,1
2017-01-20,1,1
2017-03-30,1,1
2017-05-11,1,1
2017-05-20,1,1
2017-05-23,1,1
2017-06-23,1,1
2017-08-18,1,1
2017-09-01,1,1
2017-09-16,1,1
2017-09-21,1,1
2017-10-27,1,1
2017-11-10,1,1
2017-11-11,1,1
2017-11-15,1,1
2017-11-17,1,1
2018-05-17,1,1
2018-06-15,1,1
2018-07-21,1,1
2018-08-07,1,1
2018-09-05,1,1
2018-09-10,1,1
2018-09-17,1,1
2018-09-19,1,1
2018-10-09,1,1
2018-12-11,1,1
2018-12-19,1,1
2019-01-11,1,1
2019-01-19,1,1
2019-01-23,2,2
2019-01-26,1,1
2019-01-29,1,1
2019-03-05,1,1
2019-03-26,1,1
2019-05-08,1,1
2019-05-09,1,1
2019-05-25,1,1
2019-06-14,1,1
2019-06-29,1,1
2019-07-16,1,1
2019-07-31,1,1
2019-08-29,1,1
2019-09-06,1,1
2019-09-19,1,1
2019-10-02,1,1
2019-10-09,2,2
2019-10-19,1,1
2019-10-23,1,1
2019-11-13,1,1
2019-11-15,1,1
2019-12-06,3,3
2019-12-09,1,1
2019-12-10,1,1
2019-12-11,1,1
2019-12-27,1,1
2020-01-15,1,1
2020-01-18,1,1
2020-01-25,1,1
2020-01-30,1,1
2020-02-03,1,1
2020-03-14,1,1
2020-03-17,1,1
2020-04-04,1,1
2020-04-27,1,1
2020-05-26,1,1
2020-06-18,1,1
2020-06-24,1,1
2020-07-28,1,1
2020-08-29,1,1
2020-09-12,1,1
2020-09-26,1,1
2020-10-14,1,1
2020-10-24,1,1
2020-10-30,1,1
2020-11-13,1,1
2020-11-16,1,1
2020-12-03,1,1
2020-12-04,1,1
2020-12-18,1,1
2021-01-09,1,1
2021-01-19,1,1
2021-01-27,1,1
2021-02-01,1,1
2021-02-08,1,1
2021-02-27,1,1
2021-03-02,1,1
2021-03-03,1,1
2021-03-20,1,1
2021-03-23,1,1
2021-04-22,1,1
2021-04-27,1,1
2021-05-03,1,1
2021-05-06,1,1
2021-05-21,1,1
2021-06-19,1,1
2021-06-26,1,1
2021-07-03,1,1
2021-07-14,2,2
2021-07-16,1,1
2021-07-21,1,1
2021-07-23,1,1
2021-07-28,1,1
2021-07-30,1,1
2021-07-31,2,2
2021-08-10,1,1
2021-08-12,1,1
2021-08-13,1,1
2021-08-16,1,1
2021-09-11,1,1
2021-09-16,1,1
2021-09-17,1,1
2021-09-20,1,1
2021-09-22,1,1
2021-10-04,1,1
2021-10-05,1,1
2021-10-08,2,2
2021-10-11,1,1
2021-10-14,1,1
2021-10-16,1,1
2021-10-26,1,1
2021-10-30,1,1
2021-11-05,1,1
