date,hit_count,text_count
2002-05-08,1,1
2002-06-06,1,1
2002-06-21,1,1
2002-08-22,1,1
2002-08-28,1,1
2002-09-19,1,1
2002-11-08,1,1
2002-11-16,1,1
2003-03-12,2,1
2003-04-01,1,1
2003-04-16,1,1
2003-05-13,1,1
2003-07-02,2,1
2003-07-04,1,1
2003-07-10,2,1
2003-07-24,1,1
2003-10-20,2,1
2003-11-26,1,1
2004-05-19,1,1
2004-05-28,3,1
2004-06-04,1,1
2004-07-15,1,1
2004-09-30,2,1
2004-11-04,2,2
2004-11-05,1,1
2004-11-12,1,1
2004-11-23,1,1
2004-12-03,1,1
2005-03-23,1,1
2005-05-05,2,1
2005-06-24,1,1
2005-10-08,1,1
2005-10-27,1,1
2005-11-03,6,1
2005-11-29,4,1
2006-03-10,1,1
2006-03-17,1,1
2006-04-07,1,1
2006-05-25,1,1
2006-05-30,1,1
2006-06-10,1,1
2006-06-22,2,1
2006-06-28,2,1
2006-07-07,2,1
2006-07-15,1,1
2006-09-15,1,1
2006-10-19,2,2
2006-10-31,1,1
2006-11-03,4,2
2006-11-18,2,2
2006-11-20,1,1
2006-11-22,1,1
2006-12-05,1,1
2006-12-15,2,1
2007-01-09,2,2
2007-01-17,2,1
2007-01-23,3,1
2007-01-30,1,1
2007-01-31,2,1
2007-02-01,1,1
2007-02-10,4,1
2007-02-13,1,1
2007-02-15,2,1
2007-02-19,2,2
2007-02-20,1,1
2007-02-22,1,1
2007-02-23,1,1
2007-03-05,1,1
2007-03-17,2,1
2007-03-19,1,1
2007-03-21,1,1
2007-03-22,1,1
2007-03-26,3,2
2007-03-29,1,1
2007-04-17,1,1
2007-04-19,1,1
2007-04-25,1,1
2007-04-27,3,2
2007-04-30,3,3
2007-05-05,1,1
2007-05-07,4,1
2007-05-08,1,1
2007-05-12,1,1
2007-05-16,1,1
2007-05-29,1,1
2007-05-30,1,1
2007-05-31,1,1
2007-06-01,2,2
2007-06-05,1,1
2007-06-07,1,1
2007-06-14,1,1
2007-06-15,3,1
2007-06-18,5,2
2007-06-20,1,1
2007-07-03,4,1
2007-07-05,2,1
2007-07-13,5,2
2007-07-17,3,1
2007-07-19,1,1
2007-07-24,1,1
2007-07-26,1,1
2007-07-28,3,1
2007-08-01,2,1
2007-08-15,2,1
2007-08-21,2,1
2007-08-23,3,1
2007-08-25,1,1
2007-08-30,1,1
2007-09-01,1,1
2007-09-05,2,1
2007-09-07,1,1
2007-09-11,4,1
2007-09-13,4,3
2007-09-15,4,1
2007-09-17,4,1
2007-09-19,4,1
2007-09-21,4,2
2007-09-25,1,1
2007-09-27,2,2
2007-10-05,2,2
2007-10-23,2,1
2007-10-24,3,2
