date,hit_count,text_count
2002-01-19,1,1
2002-12-02,1,1
2003-10-24,1,1
2005-03-05,1,1
2005-10-05,1,1
2005-11-18,1,1
2005-11-26,1,1
2006-11-15,1,1
2006-11-29,1,1
2007-02-24,1,1
2007-03-08,2,2
2007-03-12,1,1
2007-03-19,1,1
2007-03-21,1,1
2007-03-26,1,1
2007-04-11,1,1
2007-04-18,1,1
2007-04-26,1,1
2007-05-08,2,2
2007-05-14,2,2
2007-06-19,1,1
2007-08-13,1,1
2007-09-08,1,1
2007-09-18,1,1
2007-10-01,1,1
2007-11-21,1,1
2008-01-17,1,1
2008-01-28,1,1
2008-01-31,1,1
2008-02-21,1,1
2008-04-19,1,1
2008-05-20,1,1
2008-06-19,1,1
2008-06-23,2,2
2008-08-29,1,1
2008-10-29,1,1
2008-11-19,1,1
2008-12-09,1,1
2009-02-23,1,1
2009-03-02,1,1
2009-04-08,1,1
2009-04-17,1,1
2009-05-04,1,1
2009-05-16,1,1
2009-06-06,1,1
2009-09-23,1,1
2009-10-29,1,1
2009-11-06,1,1
2010-01-26,1,1
2010-06-24,1,1
2010-08-04,1,1
2010-08-09,1,1
2010-08-26,1,1
2010-10-12,1,1
2010-11-06,1,1
2010-11-10,1,1
2011-04-05,1,1
2011-05-13,1,1
2011-09-06,1,1
2011-09-19,1,1
2011-11-16,1,1
2011-12-19,1,1
2011-12-20,1,1
2011-12-28,1,1
2012-02-01,1,1
2012-02-07,1,1
2012-02-17,1,1
2012-03-01,1,1
2012-04-24,1,1
2012-09-24,1,1
2012-10-09,1,1
2012-11-15,1,1
2013-01-12,1,1
2013-04-10,1,1
2013-06-27,1,1
2013-07-04,1,1
2013-10-09,1,1
2013-11-19,1,1
2014-01-08,1,1
2014-01-17,1,1
2014-01-31,1,1
2014-03-28,1,1
2014-04-02,1,1
2014-04-11,1,1
2014-07-14,1,1
2014-09-25,1,1
2014-10-08,1,1
2014-12-15,1,1
2015-01-23,1,1
2015-02-11,1,1
2015-03-07,1,1
2015-03-09,1,1
2015-04-15,1,1
2015-05-15,1,1
2015-05-16,1,1
2015-05-29,1,1
2015-06-11,1,1
2015-06-22,1,1
2015-07-09,1,1
2015-10-01,1,1
2015-11-16,1,1
2015-11-30,1,1
2016-01-27,1,1
2016-03-07,1,1
2016-07-22,1,1
2016-09-17,1,1
2016-09-27,1,1
2016-11-10,1,1
2016-12-12,1,1
2016-12-29,1,1
2017-01-27,1,1
2017-02-09,1,1
2017-05-26,1,1
2017-09-20,1,1
2017-10-11,1,1
2017-10-12,1,1
2017-11-02,2,2
2017-11-09,1,1
2017-11-10,1,1
2017-11-13,1,1
2018-01-12,1,1
2018-01-23,1,1
2018-01-30,1,1
2018-02-01,1,1
2018-02-16,1,1
2018-03-29,1,1
2018-04-19,1,1
2018-06-07,1,1
2018-06-13,1,1
2018-08-14,1,1
2018-08-15,2,2
2018-09-14,1,1
2018-09-21,1,1
2018-09-26,1,1
2018-09-29,1,1
2018-10-02,1,1
2018-10-08,2,2
2018-10-20,1,1
2018-10-29,2,2
2018-11-14,1,1
2018-11-30,1,1
2018-12-20,1,1
2019-01-07,1,1
2019-01-12,1,1
2019-01-19,1,1
2019-01-23,1,1
2019-01-26,1,1
2019-01-29,1,1
2019-02-25,1,1
2019-02-26,1,1
2019-03-06,1,1
2019-03-09,2,2
2019-03-13,1,1
2019-03-15,1,1
2019-03-16,2,2
2019-03-19,1,1
2019-03-22,1,1
2019-03-23,1,1
2019-03-29,1,1
2019-03-30,1,1
2019-04-03,1,1
2019-04-11,1,1
2019-04-13,1,1
2019-04-16,1,1
2019-04-20,1,1
2019-04-25,1,1
2019-04-27,1,1
2019-05-02,2,2
2019-05-04,1,1
