Datum,Ende,Ort,Thema
2019-01-04,2019-01-04,Marktpatz,Umweltschutz / Klimawandel
2019-01-04,2019-01-04,DGB Haus Marktplatz,Streik Geld- und Wertdienster
2019-01-05,2019-01-05,Domshof,Gegen den Vekauf von Südfrüchten aus israelisch Besetzten Gebieten.
2019-01-05,2019-01-05,Marktpatz,Christentum in der Welt
2019-01-05,2019-01-05,Domshof,Gegen den Vekauf von Südfrüchten aus israelisch Besetzten Gebieten.
2019-01-07,2019-01-07,Marktpatz,"Gegen Hartz 4 Agenda 2010, Stuttgart 21 (…)"
2019-01-11,2019-01-11,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-01-12,2019-01-12,Domshof,Gegen den Vekauf von Südfrüchten aus israelisch Besetzten Gebieten.
2019-01-12,2019-01-12,Ansgarikirchhof,Solidarität mit dem syrischen Volk
2019-01-12,2019-01-12,Marktpatz,"17. Jahrestag ""Guantanamo"""
2019-01-12,2019-01-12,Hanseatenhof,Veganismus
2019-01-14,2019-01-14,Marktpatz,"Gegen Hartz 4 Agenda 2010, Stuttgart 21 (…)"
2019-01-14,2019-01-14,Platz vor dem Goethetheater,Gegen Lügen und rechte Hetze
2019-01-14,2019-01-14,Platz vor dem Goethetheater,Die elementare Bedrohung der Demokratie durch die zunehmende Gewalt gegen politisch anders Denkende
2019-01-16,2019-01-16,Vor dem Rathauseingang,Klimawandel
2019-01-16,2019-01-16,Marktplatz,Pelze
2019-01-18,2019-01-18,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-01-18,2019-01-18,Kapitel 8,Rüstungsmahnwache
2019-01-18,2019-01-18,Marktplatz,Klimaschutz und Klimagerechtigkeit
2019-01-19,2019-01-19,Domshof,Gegen den Vekauf von Südfrüchten aus israelisch Besetzten Gebieten.
2019-01-19,2019-01-19,Domshof,"Internationale Grüne Woche ""Dialog statt Protest"""
2019-01-19,2019-01-19,Hanseatenhof,Veganismus
2019-01-19,2019-01-19,Neben dem Congress Centrum Bremen,"Protestaktion ""Frauen beim Eiswettfest"""
