Veranstalter,Thema,Ort,Datum,Uhrzeit der Versammlung,sheet_name
"Die Rechte Thüringen

ABGESAGT",Gerechte Löhne für harte Arbeit  Heraus zum 01. Mai,Aufzug: Willy-Brandt-Platz à Domplatz,2019-05-01 00:00:00,12.00 – 20.00 Uhr,2019
Einzelperson,Heraus zum 01.Mai,Zwischen Stadtparktreppe und Bahnhofstunnel,2019-05-01 00:00:00,09.00 – 18.00 Uhr,2019
Einzelperson,Heraus zum 01. Mai,Willy-Brandt-Platz,2019-05-01 00:00:00,09.00 – 18.00 Uhr,2019
AfD Thüringen,,Löberstraße --> Landtag,2019-05-01 00:00:00,11.00 – 15.00 Uhr,2019
DGB Region Thüringen,2019-05-01 00:00:00,Aufzug Staatskanzlei --> Anger; Anger Abschlusskundgebung,2019-05-01 00:00:00,09.30 – 18.00 Uhr,2019
DIE LINKE Erfurt ABGESAGT,Thüringen rockt,Vor Anger 1,2019-05-17 00:00:00,09.30 – 21.30 Uhr,2019
DIE LINKE Erfurt,Wahlkampfabschluss zur Europa- und Kommunalwahl - Thüringen rockt ,Vor Anger 1,2019-05-24 00:00:00,09.30 – 21.30 Uhr,2019
DIE LINKE Erfurt,Wahlkampfabschluss Landtagswahl,Vor Anger 1,"25.10.2019
26.10.2019",09.30 – 21.30 Uhr,2019
AfD Thüringen,Wahlkampfabschlusskundgebung Landtagswahl 2019,Domplatz,2019-10-26 00:00:00,14.00 – 18.00 Uhr,2019
Ver.di Thüringen,1. Mai – Feiertag der Arbeitenden,Schillerstraße (vor dem verdi-Haus) Ecke Arnstädter Straße,2019-05-01 00:00:00,09.00 – 18.00 Uhr,2019
DGB Thüringen,1. Mai 2019 – Tag der Arbeit,Anger --> Beethovenpark,2019-05-01 00:00:00,06.00 – 20.00 Uhr,2019
Marsch des Lebens e.V.,Marsch des Lebens – Gedenk- und Versöhnungsveranstaltung anlässlich Yom Ha Shoa,Max-Cars-Platz --> Innenstadt --> Fischmarkt,2019-05-08 00:00:00,17.30 – 19.00 Uhr,2019
DIE LINKE Erfurt,Die Zukunft liegt in Europa,Vor Anger 1,2019-05-10 00:00:00,08.00 – 20.30 Uhr,2019
"Aufstehen Thüringen
ABGESAGT          ","Gedenkdemonstration  zum Gedenktag der UNO ""Holocaust""",Domplatz,2019-01-27 00:00:00,12.00 – 18.00 Uhr,2019
DIE LINKE Erfurt,Ehrungsveranstaltung Luxemmburg / Liebknecht,Rosa-Luxemburg-Denkmal (Rosa-Luxemburg-Platz),2019-01-20 00:00:00,10.00 - 10.30 Uhr,2019
Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismsus,Angerdreieck,2019-01-19 00:00:00,15.00 - 18.00 Uhr,2019
Bündnis Frauenkampftage Thüringen,"Frauenrechte, Gleichberechtigung aller Geschlechter, Frauenstreik",Aufzug Willy-Brandt-Platz --> Innenstadt--> Anger 1,2019-03-08 00:00:00,16.00 - 19.00 Uhr,2019
Brennessel e.V. - Zentrum gegen Gewalt an Frauen,One Billion Risisng,Angerdreieck,2019-02-14 00:00:00,16.30 - 18.30 Uhr,2019
Seebrücke Erfurt,Solidarität statt Abschottung,Fischmarkt,2019-01-12 00:00:00,14.00 - 16.00 Uhr,2019
Erfurter Bündnis für soziale Gerechtigkeit- gegen Rechtsextremismus,Donnerstagsdemos,Angerdreieck,"31.01.2019
07.02.2019

07.03.2019
28.03.2019
18.04.2019
16.05.2019
13.06.2019
11.07.2019
08.08.2019
05.09.2019
26.09.2019
24.10.2019","17.00 - 17.30 Uhr
17.00 - 18.00 Uhr

17.00 - 18.30 Uhr
17.30 - 18.30 Uhr
17.30 - 18.30 Uhr
17.30 - 18.30 Uhr
17.30 - 18.30 Uhr
17.30 - 18.30 Uhr
17.30 - 18.30 Uhr
17.30 - 18.30 Uhr
17.30 - 18.30 Uhr
17.30 - 18.30 Uhr",2019
Arbeitsgemeinschaft bäuerliche Landwirtschaft Mitteldeutschland (AbL),"Pressetermin zur Verabschiedung der Trecker, die aus Thüringen zur Landwirtschaftsdemo nach Berlin fahren",vor Thüringer Landtag,2019-01-17 00:00:00,09.30 - 11.00 Uhr,2019
Fridays for Future Thüringen,Fridays for Future - Klimastreik,Angerdreieck ,2019-01-18 00:00:00,11:00 -13:00 Uhr,2019
Critical Mass Erfurt,"Wir behindern nicht den Verkehr, wir sind der Verkehr!",Aufzug: Willy-Brandt-Platz --> Stadtgebiet --> Fischmarkt,2019-01-25 00:00:00,18.30 - 20.00 Uhr,2019
Mehrwertstadt Erfurt,Geschäftsordnung des Stadtrates,Fischmarkt,2019-01-22 00:00:00,10.00 - 10.15 Uhr,2019
GEW Thüringen,# hermitmehr - Tarifrunde TV-L 2019,"Staatskanzlei, Regierungsstraße",2019-02-07 00:00:00,15:30 - 17:30 Uhr,2019
Albert Schweitzer Stiftung für unsere Welt,Mahnwache: Tierschutz/gegen Massentierhaltung,Angerdreieck (Maus und Elefantfiguren) bis Schlösserstraße 4,2019-02-02 00:00:00,13:00 - 16:00 Uhr,2019
Die PARTEI,"Ein ""Moppi"" für Erfurt",Fischmarkt,2019-01-26 00:00:00,11.00 - 12.00 Uhr,2019
AfD-Fraktion im Thüringer Landtag,Spaziergang gegen die Anholzung des Nordparks,Adalbertstraße --> Auenstraße --> Im Nordpark - Radweg in Richtung Karlstraße,2019-01-28 00:00:00,16.30 - 18.00 Uhr,2019
"Projektgruppe ""Erfurt im Nationalsozialismus"" beim DGB-Bildungswerk Thüringen e.V.",Erinnern heißt handeln. Mahngang Erfurt im Nationalsozialismus,Willy-Brandt-Platz --> Innenstadt --> Haus zum Regenbogen,2019-04-30 00:00:00,18.00 - 21.00 Uhr,2019
