Anmeldung vom,Datum,Zeit,Versammlungsort,Teilnehmer,Veranstalter,Art,Thema
05.01.2022,2/6/22,14:00 - 17:00,Parkplatz Hermgesberg,70,Initiative Osterholz bleibt,Aufzug,Waldspaziergang - Osterholz bleibt!
05.01.2022,06.03.2022,14:00 - 17:00,Parkplatz Hermgesberg,70,Initiative Osterholz bleibt,Aufzug,Waldspaziergang - Osterholz bleibt!
05.01.2022,03.04.2022,14:00 - 17:00,Parkplatz Hermgesberg,70,Initiative Osterholz bleibt,Aufzug,Waldspaziergang - Osterholz bleibt!
05.01.2022,05.06.2022,14:00 - 17:00,Parkplatz Hermgesberg,70,Initiative Osterholz bleibt,Aufzug,Waldspaziergang - Osterholz bleibt!
06.01.2022,08.01.2022,14:00 - 16:00,Bahnhof,10-20,Arbeiterkommunistische Partei des Iran,Versammlung,Jahrestag der Tötung von 167 Passagieren des Fluges PS725 vom islamischen Regime des Iran
07.01.2022,26.02.2022,14:00 - 16:00,Döppersberg,40,Solidaritätsnetzwerk Wuppertal,Aufzug,Stoppt die Preiserhöhungen! Für eine Anpassung der Löhne an die Preisentwicklung! Für kostenlosen öffentlichen Nahverkehr und bezahlbaren Kraftstoff!
09.01.2022,12.01.2022,17:45-18:40,Johannes-Rau-Platz,10,Fridays for Future,Versammlung,Osterholz bleibt! - Sitzung der Bezierksvertretung
12.01.2022,22.01.2022,15:00 - 18:00,Geschwister-Scholl-Platz,50,,Versammlung,Mahnwachen zum Gedenken an den Holocaust und die Geschwister Scholl sowie gegen den Missbrauch des Holocaustes durch Queerdenker
12.01.2022,05.02.2022,15:00 - 18:00,Geschwister-Scholl-Platz,50,,Versammlung,Mahnwachen zum Gedenken an den Holocaust und die Geschwister Scholl sowie gegen den Missbrauch des Holocaustes durch Queerdenker
12.01.2022,12.02.2022,15:00 - 18:00,Geschwister-Scholl-Platz,50,,Versammlung,Mahnwachen zum Gedenken an den Holocaust und die Geschwister Scholl sowie gegen den Missbrauch des Holocaustes durch Queerdenker
13.01.2022,19.01.2022,19:00 - 21:30,Döppersberg,350,,Aufzug,gegen den fortschreitenden Abbau von Grundrechten und die darauf basierenden Maßnahmen
17.01.2022,22.02.2022,15:00 - 17:00,Geschwister-Scholl-Platz,450,,Aufzug,"Mahnwache für Freiheit, Frieden, Demokratie und individuelle Impfentscheidung"
18.01.2022,19.01.2022,19:00 - 21:00,Rathaus Elberfeld,10,Wuppertal von Links,Versammlung,gegen Verharmlosung der Pandemie
19.01.2022,26.01.2022,19:00 - 21:30,Döppersberg,350,,Aufzug,gegen den fortschreitenden Abbau von Grundrechten und die darauf basierenden Maßnahmen
19.01.2022,02.02.2022,19:00 - 21:30,Lienhardtplatz,350,,Aufzug,gegen den fortschreitenden Abbau von Grundrechten und die darauf basierenden Maßnahmen
19.01.2022,09.02.2022,19:00 - 21:30,P&R Unterbarmen,350,,Aufzug,gegen den fortschreitenden Abbau von Grundrechten und die darauf basierenden Maßnahmen
19.01.2022,16.02.2022,19:00 - 21:30,Johannes-Rau-Platz,350,,Aufzug,gegen den fortschreitenden Abbau von Grundrechten und die darauf basierenden Maßnahmen
19.01.2022,23.02.2022,19:00 - 21:30,Döppersberg,350,,Aufzug,gegen den fortschreitenden Abbau von Grundrechten und die darauf basierenden Maßnahmen
19.01.2022,02.03.2022,19:00 - 21:30,Döppersberg,350,,Aufzug,gegen den fortschreitenden Abbau von Grundrechten und die darauf basierenden Maßnahmen
19.01.2022,09.03.2022,19:00 - 21:30,Döppersberg,350,,Aufzug,gegen den fortschreitenden Abbau von Grundrechten und die darauf basierenden Maßnahmen
19.01.2022,16.03.2022,19:00 - 21:30,Döppersberg,350,,Aufzug,gegen den fortschreitenden Abbau von Grundrechten und die darauf basierenden Maßnahmen
21.01.2022,26.01.2022,18:30 - 20:30,Döppersberg,30,Volt,Versammlung,Kundgebung für Demokratie und Dialog
21.01.2022,29.01.2022,11:00 - 15:00,Laurentiusplatz,12,Pax Europa,Versammlung,"politischen Islam stoppen, keine DITIB-Großmoschee"
23.01.2022,04.02.2022,17:00 - 19:00,Döppersberg,80,Fridays for Future,Versammlung,Klimanotstand - jetzt ausrufen!
23.01.2022,10.02.2022,15:00 - 16:10,Johannes-Rau-Platz,10,Fridays for Future,Versammlung,Klimanotstand - jetzt ausrufen!
24.01.2022,28.01.2022,18:00 - 20:30,Geschwister-Scholl-Platz,450,,Aufzug,"Mahnwache für Freiheit, Frieden, Demokratie und individuelle Impfentscheidung"
24.01.2022,28.01.2022,15:00 - 22:00,Geschwister-Scholl-Platz,100,,Versammlung,Mahnwachen zum Gedenken an den Holocaust und die Geschwister Scholl sowie gegen den Missbrauch des Holocaustes durch Queerdenker
25.01.2022,25.01.2022,18:00 - 22:00,Vohwinkel Bahnhof,50,Osterholz bleibt,Aufzug,Wälder schützen! Osterholz bleibt!
25.01.2022,25.01.2022,07:00 - 18:00,Vohwinkel Bahnhof,15,Osterholz bleibt,Versammlung,Protest gegen die Rodung des Osterholz
25.01.2022,25.01.2022,20:00 - 24:00,Polizeipräsidium,5,Fridays for Future,Versammlung,Osterholz bleibt! - Mahnwache für die Waldbesetzer*innen
26.01.2022,26.01.2022,11:30 - 00:00,Polizeipräsidium,5,Osterholz bleibt,Versammlung,Osterholz bleibt - Mahnwache für die Waldbesetzer
25.01.2022,26.02.2022,14:00 - 16:00,entlang der B7,300,Verein Ealam Tamilen,Versammlung,gegen Menschenrechtsverletzung in Sri Lanka
27.01.2022,19.02.2022,14:00 - 18:00,Döppersberg,100,Rise-up Wuppertal,Aufzug,Gedenkdemonstration bezüglich des rassistischen Anschlags in Hanau (19 Februar)
27.01.2022,29.01.2022,13:00 - 17:00,Parkplatz Hermgesberg,20,Naturrettung e. V.,Versammlung,Die letzten Waldschützer:innen mussten das Osterholz verlassen - nun ist der Wald der Zerstörung schutzlos ausgeliefert
30.01.2022,05.02.2022,15:00 - 18:15,Johannes-Rau-Platz,500,,Aufzug,"Mahnwache für Freiheit, Frieden, Demokratie und individuelle Impfentscheidung"
31.01.2022,22.02.2022,18:00 - 20:00,Mirker Bahnhof,200,,Aufzug,Friedensmarsch
08.02.2022,12.02.2022,15:00 - 18:15,Johannes-Rau-Platz,500,,Aufzug,"Mahnwache für Freiheit, Frieden, Demokratie und individuelle Impfentscheidung"
08.02.2022,08.03.2022,17:30 - 22:00,Karlsplatz,50,,Aufzug,int. Weltfrauentag
08.02.2022,08.03.2022,17:00 - 19:00,von-der-Heydt-Platz,100,Frauenverband Courage,Versammlung,internationaler Frauentag
08.02.2022,09.02.2022,13:00 - 16:00,vor dem Ausländeramt,keine Angabe,,Versammlung,gegen Abschiebung
09.02.2022,25.03.2022,15:00 - 18:30,Döppersberg,500,Fridays for Future,Aufzug,Globaler Klimastreik
17.02.2022,19.02.2022,15:00 - 18:00,Johannes-Rau-Platz,350,,Aufzug,für freie Impfentscheidung
20.02.2022,26.02.2022,15:00 - 18:00,Johannes-Rau-Platz,350,,Aufzug,für freie Impfentscheidung
20.02.2022,05.03.2022,15:00 - 18:00,Johannes-Rau-Platz,350,,Aufzug,für freie Impfentscheidung
22.02.2022,24.02.2022,17:00 - 19:00,Johannes-Rau-Platz,200,SPD,Versammlung,"Ukrainekonflikt, Friedensdemo"
23.02.2022,23.02.2022,17:30 - 20:00,Johannes-Rau-Platz,100 - 150,Internationalistisches Bündnis,Aufzug,Gegen jede Kriegstreiberei im Ukraine- Russland- Konflikt
24.02.2022,25.02.2022,18:00 - 20:00,Döppersberg,100 - 150,Internationalistisches Bündnis,Aufzug,Gegen jede Kriegstreiberei im Ukraine- Russland- Konflikt
24.02.2022,05.03.2022,14:00 - 15:00,Döppersberg,10,,Versammlung,Gefangene in der Türkei
28.02.2022,02.03.2022,18:00 - 18:30,Stadtgarten Ronsdorf,20,Naturfreunde e.V.,Versammlung,Friedenskundgebung
28.02.2022,25.06.2022,14:30 - 15:30,Mahnmal Kemna,15-40,Jugendring Wuppertal e.V,Versammlung,Gedenkfeier KZ Kemna
28.02.2022,02.03.2022,17:30 - 20:00,Döppersberg,100 -,Internationalistisches Bündnis,Aufzug,gegen akute Weltkriegsgefahr
02.03.2022,03.03.2022,10:30 - 12:30,Rathaus Barmen,300,,Aufzug,Friedensmarsch
02.03.2022,04.03.2022,09:00 - 10:30,Höhenstraße,600,,Aufzug,Solidaritätsmarsch mit der Ukraine
02.03.2022,08.03.2022,09:30 - 14:30,Johannes-Rau-Platz,100 -,Verdi,Versammlung,"Weltfrauentag, Sozial- und Erziehungsberufe"
03.03.2022,12.03.2022,13:00 - 15:00,Laurentiusplatz,200,SPD,Versammlung,Gegen Krieg. Für Frieden. Wir stehen an der Seite der Ukraine.
03.03.2022,17.03.2022,17:30 - 19:00,Johannes-Rau-Platz,100,SPD,Versammlung,Gedenken der Opfer in der Ukraine
04.03.2022,26.03.2022,14:00 - 16:00,Rathaus-Barmen,30,Palästinensische Gemeinde Wuppertal e.V.,Versammlung,Solidarität für Palästina
08.03.2022,19.03.2022,14:00 - 21:00,Hardt,300,,Versammlung,Bass gegen Hass
08.03.2022,19.03.2022,11:00 - 13:00,Döppersberg,15,Parents for future,Versammlung,Klimafolgeschäden
20.02.2022,12.03.2022,15:00 - 18:00,Johannes-Rau-Platz,350,,Aufzug,für freie Impfentscheidung
10.03.2022,14.03.2022,18:00 - 19:00,Döppersberg,30,,Versammlung,gegen Ukraine-Krieg
11.03.2022,17.03.2022,15:00 - 16:00,Johannes-Rau-Platz,10,Fridays for Future,Versammlung,Klimanotstand - jetzt ausrufen!
11.03.2022,01.05.2022,10:30 - 14:00,Barmen Bahnhof,750,DGB,Aufzug,Tag der Arbeit
14.03.2022,18.03.2022,08:30 - 14:00,Geschwister-Scholl-Platz,400,Verdi,Aufzug,Mehr braucht mehr
14.03.2022,18.03.2022,12:00 - 13:15,Bachstr. 17 (Schulhof),300,,Aufzug,Luftballons für Frieden in der Ukraine
20.02.2022,19.03.2022,15:00 - 18:00,Johannes-Rau-Platz,450,,Aufzug,für freie Impfentscheidung
16.03.2022,23.03.2022,17:00 - 19:30,Laurentiusplatz,10,Fridays for Future,Versammlung,Klimaschutz
16.03.2022,23.03.2022,15:00 - 16:00,Johannes-Rau-Platz,10,Fridays for Future,Versammlung,Ausrufung des Klimanotstands
16.03.2022,19.03.2022,18:30 - 20:00,Nordbahnstr/Sand-Platz,Apr 40,Greenpeace,Versammlung,Mahnwache für Frieden in der Ukraine
