Datum,Uhrzeit,Thema,Standort,Teilnehmer,sheet_name
2021-03-26 00:00:00,15.00-16.00,"Austritt aus der Istanbuler Konvention ist nicht akzeptabel, sie wird zurückkommen",Schevenbrücke/Europapl.,50,2021
2021-03-27 00:00:00,12.05-13.05,Mahnwache/Kundgebung für Naturschutz an der Höffner Baustelle,Prüner Schlag/Höffner,50 - 100,2021
2021-03-27 00:00:00,10.00-13.00,Kieler Friedensforum,Kl. Kuhberg/Knooper Weg,3,2021
2021-03-28 00:00:00,14.00-16.00,Eure Krisen-nicht auf unserem Nacken,Aufzug/Hauptbahnhof,40,2021
2021-03-28 00:00:00,14.00-17.00,10. Jahrestag der syrischen Revolution,Stresemannplatz,50 - 100,2021
2021-03-28 00:00:00,10.30-17.30,Falun Gong-Verbrechen der kommunistischen Partei Chinas aufdecken,neben Nordwind,8,2021
2021-03-29 00:00:00,17.00-19.00,Für Lebensfreude + Selbstbestimmung - gegen den Lockdown,Exerzierplatz/Aufzug,100,2021
2021-03-30 00:00:00,12.00-14.00,Zukunft sichern - IG Metall Tarifbewegung Metall- und Elektroindustrie,Germaniahafen/Aufzug,100,2021
2021-03-30 00:00:00,12.00-14.00,Demonstration für Wirtschaft und Pflege,Landtag,100,2021
2021-03-31 00:00:00,15.00-17.00,Trans Day of Visibility,"Kiellinie, Rückseite Landtag",5-10,2021
2021-04-01 00:00:00,18.30-19.45,Mega-Lockdown? Nicht mit uns,Exer/Aufzug,,2021
2021-04-03 00:00:00,11.00-13.00,Ostermarsch 2021/Menschenkette,"Aufzug, Menschenkette",100 - 200,2021
2021-04-04 00:00:00,,"Freiheit auf zwei Rädern, Gegen Kontaktbeschränkungen, gegen Motorradfahrverbote",Rastorfer Kreuz,entfällt,2021
2021-04-04 00:00:00,10.30-18.00,Falun Gong-Verbrechen der kommunistischen Partei Chinas aufdecken,Kiellinie neben Nordwind,3-8,2021
2021-04-04 00:00:00,14.00-16.00,Freiheit für Abdullah Öcalan,Platz der Matrosen,30,2021
2021-04-05 00:00:00,17.00-18.30,Spaziergang für unsere Grundrechte,Exer/Aufzug,100,2021
2021-04-06 00:00:00,12.00-14.00,für Wirtschaft und Pflege,Landtag,100,2021
2021-04-08 00:00:00,18:30-20:00,"Für Grundgesetz -
Gegen den Lockdown-Wahnsinn",Exer/Aufzug,100,2021
2021-04-12 00:00:00,17:00-18:45,"Für ein selbstbestimmtes,
eigenverantwortliches Leben
ohne Lockdown-Bevormundung",Exer/Aufzug,100,2021
2021-04-13 00:00:00,18:00-20:00,"Gegen Rechtsextremismus, Rassismus und Antisemitismus",Rathausplatz,250,2021
2021-04-13 00:00:00,12:00-14:00,Für Wirtschaft und Pflege,Landeshaus,100,2021
2021-04-15 00:00:00,18:30-20:30,Ist Schweigen verhältnismäßig?,Exer/Aufzug,50-150,2021
2021-04-16 00:00:00,17:00-20:00,Für eine solidarische Lösung der Krisen,Vinetaplatz,50,2021
2021-04-16 00:00:00,16:00-17:30,No Covid! Exponentielles Wachstum wirklich stoppen! Jetzt auf die Wissenschaft hören!,Rathausplatz,100,2021
2021-04-16 00:00:00,14:30-16:00,Jugend gegen Corona,Schevenbrücke,35-40,2021
2021-04-17 00:00:00,12.00-15.00,Schluß mit Lockdown,Reventlouwiese/Aufzug,200,2021
2021-04-17 00:00:00,16.00-18:00,Schluß mit Lockdown,Reventlouwiese,200,2021
2021-04-17 00:00:00,14.00-18.00,"Ein Jahr Pandemie-Lockdown, es reicht",Reventlouwiese/Aufzug und Versammlung,100+,2021
2021-04-17 00:00:00,10.00-11:30,Es reicht uns mit dem Lockdown!,Exer/Aufzug,500,2021
2021-04-17 00:00:00,13:00-16:00,Solidarisch kämpfen statt Verschwörungsmärchen,Aufzug/B.Minetti-Platz,100,2021
2021-04-17 00:00:00,10:00 - 18:00,Verfolgung von Falun Gong,Revenlouwiese neben Nordwind,3-8,2021
2021-04-18 00:00:00,14:00-18:00,Profiteure der Corona-Krise,Kiellinie/Landtag,20,2021
2021-04-19 00:00:00,17:00-18:45,Gegen die extrem unverhältnismäßigen Corona-Maßnahhmen,Aufzug/Exerzierplatz,100,2021
2021-04-20 00:00:00,13:00-15:00,Ohne uns geht nix - Reinigungskräfte machen auf sich aufmerksam,Platz der Kieler Matrosen,50,2021
2021-04-21 00:00:00,09:30-12:30,Tarifverhandlungen ServiceSternNord/Gewerkschaft der Servicekräfte,Hospitalstarße/Arnold Heller-Straße,300,2021
2021-04-21 00:00:00,09.30-10:30,Tarifvertrag Studentische Beschäftigte/Forderungen an Lasse Petersdotter,Finanzministerium,10,2021
2021-04-22 00:00:00,08:30-12:00,Antirepression und solidarische Prozessbegleitung,Landgericht,50,2021
