protest_date,region,location,actor,size,notes
2018-12-01,Berlin,Berlin,OTHER_CLIMATE_GROUP,36000.0,Thousands of people in Berlin and Cologne demonstrate against coal-fired power plants and for climate protection ahead of the climate summit in Katowice.
2018-12-01,Nordrhein-Westfalen,Cologne,OTHER_CLIMATE_GROUP,20000.0,Thousands of people in Berlin and Cologne demonstrate against coal-fired power plants and for climate protection ahead of the climate summit in Katowice.
2018-01-20,Berlin,Berlin,OTHER_CLIMATE_GROUP,10000.0,"Tens of thousands demonstrate in Berlin for a change in agricultural policy - Protesters demand a more sustainable agriculture for humans and animals, with a protest march and the use of tractors and cooking pots, calling for a ban on the herbicide glyphosate and more funding for the transformation of animal husbandry."
2017-08-26,Rheinland-Pfalz,Kerpen,OTHER_CLIMATE_GROUP,3000.0,"Around 3000 citizens, along with environmental organizations, formed a human chain in the Hambach lignite mining area in North Rhine-Westphalia to demand an immediate exit from coal mining."
2019-07-15,Niedersachsen,Winsen (Luhe),GP,,Greenpeace activists protested against the destruction of returned goods at Amazon's logistics center in Winsen (Luhe).
2019-07-15,,Various,ALG,2000.0,Verdi organized strikes at Amazon's logistics centers in various cities in Germany to demand fair wages and a collective agreement.
2020-07-11,Nordrhein-Westfalen,Düsseldorf,FFF,800.0,"Fridays for Future protest in Düsseldorf demanding coal phase-out by 2030, with 800 participants marching from IHZ-Platz to the Landtag, expressing their disappointment with the government's decision to end coal mining in 2038 and calling for an earlier end in order to meet the goals of the Paris Climate Agreement."
2019-08-30,,New York,OTHER_CLIMATE_GROUP,100.0,Greta Thunberg and around 100 youth activists demonstrated in New York for more climate protection in front of the United Nations headquarters.
2020-01-18,Berlin,Berlin,OTHER_CLIMATE_GROUP,27000.0,"Thousands of people marched through Berlin under the motto 'We've had enough!' to demand a more environmentally friendly agriculture, with demands such as 'Subsidies only for organic!' and for the preservation of biodiversity on German fields."
2017-07-02,Hamburg,Hamburg,OTHER_CLIMATE_GROUP,10000.0,"Around 10,000 people demonstrated in Hamburg against the G20 summit, calling for more climate protection and a fairer globalization."
2020-09-26,Nordrhein-Westfalen,Erkelenz/Aachen,OTHER_CLIMATE_GROUP,3000.0,"Climate activists protested for an immediate end to coal and gas power generation in the Rhineland coal mining region, with clashes between protesters and police."
2020-09-26,Nordrhein-Westfalen,Düsseldorf,OTHER_CLIMATE_GROUP,200.0,Approximately 200 demonstrators protested against a gas power plant in Düsseldorf.
2020-09-26,Nordrhein-Westfalen,Keyenberg,OTHER_CLIMATE_GROUP,,"Protesters mobilized against the demolition plans of several villages in the Keyenberg area, accusing RWE of systematically dividing communities."
2020-09-26,Baden-Württemberg,Unknown,OTHER_CLIMATE_GROUP,,"Demonstrators occupied a construction site for a new pipeline between the Netherlands and Westphalia, arguing that gas is also extremely harmful to the climate and that an immediate exit from all fossil fuels is necessary."
